PU_Borough,PUHour,Trip_distance
Manhattan,11,16.37
Brooklyn,3,16.37
Brooklyn,11,16.37
Manhattan,22,16.37
Unknown,8,16.37
Unknown,22,16.37
Manhattan,19,16.37
Unknown,10,16.37
Unknown,9,16.37
Queens,15,16.37
Manhattan,17,16.37
Brooklyn,0,16.37
Manhattan,21,16.37
Manhattan,1,16.37
Unknown,0,16.37
Manhattan,18,16.37
Manhattan,9,16.37
Manhattan,23,16.37
Unknown,21,16.37
Brooklyn,1,16.37
Queens,17,16.37
Queens,16,16.37
Queens,23,16.37
Manhattan,7,16.37
Queens,18,16.37
Manhattan,0,16.37
Brooklyn,13,16.37
Bronx,16,16.37
Bronx,7,16.37
Queens,8,16.37
Queens,22,16.37
Manhattan,4,16.37
Queens,11,16.37
Queens,12,16.37
Manhattan,8,16.37
Unknown,14,16.37
Manhattan,3,16.37
Queens,19,16.37
Queens,3,16.37
Manhattan,6,16.37
Queens,5,16.37
Manhattan,13,16.37
Queens,0,16.37
Queens,7,16.37
Manhattan,16,16.37
Unknown,17,16.37
Manhattan,5,16.37
Brooklyn,2,16.37
Queens,6,16.37
Queens,2,16.37
Queens,13,16.37
Unknown,7,16.37
Manhattan,20,16.37
Unknown,13,16.37
Manhattan,2,16.37
Queens,10,16.37
Manhattan,15,16.37
Manhattan,14,16.37
Brooklyn,15,16.37
Unknown,15,16.37
Brooklyn,9,16.37
Queens,1,16.37
Brooklyn,8,16.37
Brooklyn,5,16.37
Manhattan,10,16.37
Queens,9,16.37
Queens,4,16.37
Queens,21,16.37
Unknown,3,16.37
Queens,14,16.37
Manhattan,12,16.37
Unknown,19,16.37
Queens,20,16.37
Unknown,18,16.37
Brooklyn,2,16.36
Queens,2,16.36
Unknown,0,16.36
Brooklyn,16,16.36
Unknown,8,16.36
Queens,23,16.36
Manhattan,3,16.36
Queens,11,16.36
Brooklyn,7,16.36
Unknown,23,16.36
Brooklyn,0,16.36
Unknown,10,16.36
Brooklyn,22,16.36
Manhattan,22,16.36
Manhattan,17,16.36
Manhattan,8,16.36
Manhattan,15,16.36
Manhattan,5,16.36
Manhattan,1,16.36
Manhattan,19,16.36
Brooklyn,23,16.36
Queens,8,16.36
Queens,19,16.36
Unknown,14,16.36
Queens,14,16.36
Queens,6,16.36
Unknown,21,16.36
Queens,21,16.36
Manhattan,9,16.36
Queens,22,16.36
Queens,9,16.36
Unknown,18,16.36
Unknown,5,16.36
Bronx,19,16.36
Unknown,13,16.36
Queens,16,16.36
Queens,7,16.36
Queens,5,16.36
Manhattan,10,16.36
Manhattan,18,16.36
Brooklyn,13,16.36
Manhattan,20,16.36
Manhattan,0,16.36
Unknown,11,16.36
Queens,4,16.36
Brooklyn,8,16.36
Manhattan,11,16.36
Brooklyn,20,16.36
Unknown,15,16.36
Manhattan,21,16.36
Manhattan,7,16.36
Manhattan,13,16.36
Queens,18,16.36
Queens,1,16.36
Manhattan,6,16.36
Queens,10,16.36
Manhattan,14,16.36
Manhattan,2,16.36
Manhattan,12,16.36
Queens,17,16.36
Queens,0,16.36
Manhattan,16,16.36
Queens,15,16.36
EWR,8,16.36
Queens,3,16.36
Queens,20,16.36
Manhattan,23,16.36
Queens,12,16.36
Bronx,7,16.36
Queens,13,16.36
Manhattan,4,16.36
Queens,6,16.35
Queens,20,16.35
Queens,7,16.35
Unknown,6,16.35
Queens,23,16.35
Manhattan,15,16.35
Queens,11,16.35
EWR,8,16.35
Manhattan,3,16.35
Manhattan,23,16.35
Queens,21,16.35
Manhattan,0,16.35
Queens,10,16.35
Queens,22,16.35
Unknown,8,16.35
Brooklyn,8,16.35
Bronx,18,16.35
Queens,14,16.35
Manhattan,14,16.35
Manhattan,1,16.35
Queens,19,16.35
Manhattan,21,16.35
Queens,13,16.35
Manhattan,6,16.35
Brooklyn,6,16.35
Manhattan,17,16.35
Queens,8,16.35
Manhattan,19,16.35
Manhattan,2,16.35
Brooklyn,5,16.35
Queens,5,16.35
Queens,12,16.35
Brooklyn,19,16.35
Unknown,9,16.35
Unknown,11,16.35
Queens,17,16.35
Bronx,23,16.35
Queens,16,16.35
Brooklyn,18,16.35
Unknown,18,16.35
Manhattan,22,16.35
Unknown,15,16.35
Manhattan,18,16.35
Queens,1,16.35
Unknown,7,16.35
Manhattan,16,16.35
Manhattan,7,16.35
Manhattan,4,16.35
Unknown,23,16.35
Queens,15,16.35
Manhattan,20,16.35
Queens,0,16.35
Manhattan,12,16.35
Queens,2,16.35
Manhattan,13,16.35
Queens,4,16.35
Manhattan,8,16.35
Queens,3,16.35
Unknown,16,16.35
Manhattan,5,16.35
Manhattan,10,16.35
Queens,9,16.35
Manhattan,11,16.35
Manhattan,9,16.35
Unknown,13,16.35
Queens,18,16.35
Brooklyn,19,16.34
Brooklyn,17,16.34
Queens,2,16.34
Brooklyn,23,16.34
Unknown,20,16.34
Queens,16,16.34
Manhattan,17,16.34
Manhattan,23,16.34
Manhattan,2,16.34
Manhattan,18,16.34
Bronx,23,16.34
Manhattan,1,16.34
Manhattan,8,16.34
Unknown,11,16.34
Manhattan,3,16.34
Manhattan,19,16.34
Queens,7,16.34
Brooklyn,4,16.34
Brooklyn,16,16.34
Queens,18,16.34
Queens,17,16.34
Unknown,17,16.34
Brooklyn,20,16.34
Manhattan,0,16.34
Brooklyn,9,16.34
Queens,19,16.34
Queens,15,16.34
Manhattan,12,16.34
Manhattan,7,16.34
Manhattan,11,16.34
Queens,11,16.34
Unknown,15,16.34
Queens,22,16.34
Bronx,5,16.34
Manhattan,15,16.34
Manhattan,9,16.34
Unknown,13,16.34
Manhattan,13,16.34
Manhattan,6,16.34
Queens,6,16.34
Manhattan,16,16.34
Brooklyn,2,16.34
Queens,8,16.34
Queens,5,16.34
Queens,13,16.34
Manhattan,10,16.34
Brooklyn,14,16.34
Queens,10,16.34
Queens,20,16.34
Queens,12,16.34
Brooklyn,22,16.34
Queens,0,16.34
Queens,14,16.34
Manhattan,20,16.34
Queens,23,16.34
Manhattan,22,16.34
Queens,1,16.34
Manhattan,5,16.34
Queens,3,16.34
Manhattan,14,16.34
Queens,21,16.34
Queens,9,16.34
Brooklyn,18,16.34
Queens,4,16.34
Unknown,22,16.34
Manhattan,21,16.34
Manhattan,4,16.34
Brooklyn,1,16.34
Queens,5,16.33
Manhattan,22,16.33
Unknown,5,16.33
Manhattan,19,16.33
Manhattan,21,16.33
Manhattan,17,16.33
Queens,7,16.33
Manhattan,13,16.33
Queens,17,16.33
Manhattan,11,16.33
Manhattan,10,16.33
Manhattan,18,16.33
Brooklyn,22,16.33
Queens,16,16.33
Manhattan,14,16.33
Queens,11,16.33
Brooklyn,14,16.33
Queens,23,16.33
Unknown,12,16.33
Queens,10,16.33
Unknown,7,16.33
Unknown,19,16.33
Queens,4,16.33
Manhattan,3,16.33
Queens,1,16.33
Manhattan,6,16.33
Queens,12,16.33
Queens,20,16.33
Manhattan,15,16.33
Unknown,17,16.33
Unknown,20,16.33
Brooklyn,21,16.33
