PU_Borough,PUHour,Trip_distance
Queens,0,5.57
Brooklyn,16,5.57
Bronx,22,5.57
Brooklyn,0,5.57
Bronx,6,5.57
Bronx,15,5.57
Bronx,9,5.57
Manhattan,9,5.57
Brooklyn,2,5.57
Queens,9,5.57
Unknown,13,5.57
Unknown,10,5.57
Manhattan,7,5.57
Unknown,2,5.57
Manhattan,5,5.57
Brooklyn,18,5.57
Manhattan,22,5.57
Brooklyn,11,5.57
Brooklyn,6,5.57
Unknown,15,5.57
Manhattan,20,5.57
Unknown,7,5.57
Queens,3,5.57
Unknown,14,5.57
Brooklyn,14,5.57
Manhattan,21,5.57
Brooklyn,7,5.57
Bronx,5,5.57
Queens,10,5.57
Bronx,12,5.57
Brooklyn,3,5.57
Bronx,14,5.57
Manhattan,16,5.57
Unknown,4,5.57
Manhattan,3,5.57
Queens,12,5.57
Manhattan,1,5.57
Brooklyn,8,5.57
Brooklyn,4,5.57
Brooklyn,22,5.57
Manhattan,13,5.57
Queens,15,5.57
Brooklyn,10,5.57
Bronx,8,5.57
Queens,17,5.57
Unknown,23,5.57
Queens,2,5.57
Unknown,1,5.57
Manhattan,8,5.57
Brooklyn,5,5.57
Unknown,11,5.57
Queens,21,5.57
Queens,20,5.57
Brooklyn,13,5.57
Bronx,19,5.57
Manhattan,23,5.57
Queens,6,5.57
Unknown,8,5.57
Bronx,16,5.57
Bronx,2,5.57
Queens,5,5.57
Queens,14,5.57
Unknown,22,5.57
Queens,13,5.57
Manhattan,2,5.57
Queens,11,5.57
Manhattan,17,5.57
Brooklyn,21,5.57
Manhattan,18,5.57
Brooklyn,19,5.57
Brooklyn,15,5.57
Unknown,6,5.57
Unknown,5,5.57
Queens,7,5.57
Queens,18,5.57
Brooklyn,23,5.57
Manhattan,6,5.57
Unknown,9,5.57
Bronx,0,5.57
Manhattan,15,5.57
Manhattan,12,5.57
Manhattan,11,5.57
Brooklyn,20,5.57
Manhattan,10,5.57
Manhattan,19,5.57
Brooklyn,9,5.57
Brooklyn,12,5.57
Unknown,3,5.57
Bronx,17,5.57
Unknown,18,5.57
Unknown,16,5.57
Queens,16,5.57
Manhattan,4,5.57
Unknown,21,5.57
Unknown,12,5.57
Queens,1,5.57
Queens,22,5.57
Unknown,19,5.57
Manhattan,0,5.57
Queens,19,5.57
Brooklyn,17,5.57
Bronx,11,5.57
Queens,4,5.57
Unknown,0,5.57
Queens,8,5.57
Queens,23,5.57
Brooklyn,1,5.57
Manhattan,14,5.57
Unknown,20,5.57
Unknown,16,5.56
Queens,3,5.56
Queens,5,5.56
Brooklyn,19,5.56
Bronx,2,5.56
Unknown,17,5.56
Unknown,2,5.56
Queens,17,5.56
Manhattan,21,5.56
Bronx,5,5.56
Bronx,21,5.56
Unknown,12,5.56
Queens,21,5.56
Brooklyn,8,5.56
Queens,19,5.56
Brooklyn,16,5.56
Brooklyn,13,5.56
Bronx,11,5.56
Manhattan,1,5.56
Manhattan,20,5.56
Unknown,21,5.56
Manhattan,19,5.56
Brooklyn,22,5.56
Brooklyn,3,5.56
Queens,0,5.56
Brooklyn,2,5.56
Queens,8,5.56
Brooklyn,11,5.56
Bronx,22,5.56
Unknown,9,5.56
Brooklyn,1,5.56
Bronx,23,5.56
Unknown,18,5.56
Unknown,15,5.56
Bronx,15,5.56
Manhattan,7,5.56
Brooklyn,15,5.56
Queens,7,5.56
Brooklyn,7,5.56
Brooklyn,9,5.56
Queens,2,5.56
Unknown,23,5.56
Queens,18,5.56
Unknown,4,5.56
Queens,14,5.56
Manhattan,12,5.56
Queens,16,5.56
Unknown,1,5.56
Brooklyn,14,5.56
Bronx,0,5.56
Unknown,3,5.56
Brooklyn,21,5.56
Brooklyn,23,5.56
Brooklyn,6,5.56
Bronx,19,5.56
Bronx,17,5.56
Brooklyn,20,5.56
Queens,4,5.56
Unknown,0,5.56
Unknown,14,5.56
Queens,12,5.56
Queens,6,5.56
Manhattan,15,5.56
Unknown,7,5.56
Bronx,3,5.56
Queens,9,5.56
Manhattan,0,5.56
Brooklyn,10,5.56
Unknown,19,5.56
Queens,10,5.56
Unknown,20,5.56
Manhattan,22,5.56
Queens,20,5.56
Unknown,8,5.56
Manhattan,8,5.56
Queens,22,5.56
Manhattan,17,5.56
Manhattan,13,5.56
Brooklyn,17,5.56
Queens,11,5.56
Unknown,11,5.56
Bronx,9,5.56
Bronx,13,5.56
Bronx,16,5.56
Manhattan,4,5.56
Brooklyn,0,5.56
Manhattan,10,5.56
Queens,13,5.56
Brooklyn,12,5.56
Manhattan,14,5.56
Unknown,13,5.56
Queens,1,5.56
Staten Island,14,5.56
Manhattan,5,5.56
Unknown,22,5.56
Unknown,6,5.56
Manhattan,2,5.56
Unknown,5,5.56
Manhattan,18,5.56
Manhattan,9,5.56
