PU_Borough,PUHour,Trip_distance
Queens,8,9.51
Brooklyn,14,9.51
Brooklyn,16,9.51
Brooklyn,19,9.51
Brooklyn,0,9.51
Manhattan,22,9.51
Unknown,10,9.51
Unknown,1,9.51
Queens,2,9.51
Manhattan,21,9.51
Queens,12,9.51
Brooklyn,6,9.51
Unknown,9,9.51
Manhattan,2,9.51
Queens,3,9.51
Queens,14,9.51
Unknown,16,9.51
Manhattan,6,9.51
Queens,6,9.51
Queens,0,9.51
Manhattan,14,9.51
Queens,13,9.51
Queens,5,9.51
Unknown,18,9.51
Unknown,17,9.51
Brooklyn,13,9.51
Brooklyn,3,9.51
Unknown,5,9.51
Manhattan,19,9.51
Brooklyn,9,9.51
Unknown,13,9.51
Unknown,0,9.51
Brooklyn,1,9.51
Unknown,22,9.51
Queens,11,9.51
Brooklyn,10,9.51
Manhattan,9,9.51
Queens,4,9.51
Unknown,2,9.51
Queens,16,9.51
Unknown,14,9.51
Unknown,11,9.51
Queens,15,9.51
Brooklyn,12,9.51
Manhattan,5,9.51
Manhattan,17,9.51
Brooklyn,4,9.51
Manhattan,18,9.51
Manhattan,16,9.51
Brooklyn,21,9.51
Manhattan,20,9.51
Manhattan,10,9.51
Manhattan,12,9.51
Bronx,0,9.51
Brooklyn,18,9.51
Manhattan,23,9.51
Brooklyn,22,9.51
Brooklyn,8,9.51
Unknown,15,9.51
Manhattan,8,9.51
Manhattan,11,9.51
Queens,23,9.51
Brooklyn,2,9.51
Brooklyn,11,9.51
Brooklyn,7,9.51
Brooklyn,15,9.51
Queens,18,9.51
Brooklyn,5,9.51
Brooklyn,23,9.51
Manhattan,15,9.51
Queens,19,9.51
Brooklyn,20,9.51
Queens,22,9.51
Manhattan,4,9.51
Bronx,7,9.51
Brooklyn,17,9.51
Unknown,6,9.51
Manhattan,13,9.51
Bronx,13,9.51
Bronx,16,9.51
Unknown,12,9.51
Queens,1,9.51
Queens,9,9.51
Queens,7,9.51
Unknown,21,9.51
Manhattan,0,9.51
Unknown,23,9.51
Manhattan,7,9.51
Unknown,20,9.51
Manhattan,3,9.51
Queens,10,9.51
Queens,17,9.51
Unknown,19,9.51
Queens,21,9.51
Manhattan,1,9.51
Unknown,8,9.51
Queens,20,9.51
Queens,21,9.5
Bronx,12,9.5
Brooklyn,9,9.5
Manhattan,20,9.5
Queens,10,9.5
Manhattan,8,9.5
Unknown,23,9.5
Manhattan,2,9.5
Queens,17,9.5
Bronx,20,9.5
EWR,4,9.5
Unknown,11,9.5
Staten Island,8,9.5
Manhattan,17,9.5
Brooklyn,8,9.5
Unknown,18,9.5
Bronx,17,9.5
Bronx,8,9.5
Brooklyn,14,9.5
Manhattan,19,9.5
Queens,11,9.5
Queens,12,9.5
Queens,16,9.5
Unknown,3,9.5
Manhattan,16,9.5
Unknown,2,9.5
Manhattan,13,9.5
Brooklyn,4,9.5
Unknown,15,9.5
Brooklyn,1,9.5
Brooklyn,5,9.5
Queens,8,9.5
Manhattan,21,9.5
Manhattan,0,9.5
Manhattan,11,9.5
Unknown,12,9.5
Unknown,0,9.5
Brooklyn,18,9.5
Bronx,0,9.5
Unknown,21,9.5
Brooklyn,21,9.5
Queens,13,9.5
Unknown,22,9.5
Manhattan,23,9.5
Bronx,5,9.5
Unknown,20,9.5
Unknown,14,9.5
Brooklyn,0,9.5
Unknown,16,9.5
Bronx,7,9.5
Manhattan,14,9.5
Unknown,17,9.5
Queens,18,9.5
Bronx,23,9.5
Queens,19,9.5
Manhattan,6,9.5
Queens,0,9.5
Queens,4,9.5
Queens,20,9.5
Brooklyn,10,9.5
Bronx,1,9.5
Brooklyn,15,9.5
Manhattan,1,9.5
Bronx,16,9.5
Brooklyn,6,9.5
Unknown,6,9.5
EWR,16,9.5
Queens,23,9.5
Manhattan,12,9.5
Queens,2,9.5
Bronx,3,9.5
Queens,3,9.5
Brooklyn,22,9.5
Unknown,19,9.5
Bronx,21,9.5
Unknown,5,9.5
Bronx,9,9.5
Manhattan,22,9.5
Unknown,4,9.5
Bronx,22,9.5
Brooklyn,12,9.5
Queens,22,9.5
Queens,7,9.5
Unknown,13,9.5
Queens,9,9.5
Manhattan,15,9.5
Bronx,14,9.5
Manhattan,3,9.5
EWR,15,9.5
Manhattan,9,9.5
Brooklyn,11,9.5
Unknown,7,9.5
Brooklyn,23,9.5
Queens,15,9.5
Manhattan,5,9.5
Manhattan,4,9.5
Bronx,13,9.5
Manhattan,10,9.5
Manhattan,18,9.5
Unknown,8,9.5
Bronx,18,9.5
Queens,1,9.5
Queens,14,9.5
Unknown,9,9.5
Queens,5,9.5
Brooklyn,2,9.5
Brooklyn,17,9.5
Brooklyn,16,9.5
Unknown,1,9.5
Unknown,10,9.5
Brooklyn,19,9.5
Bronx,11,9.5
Brooklyn,3,9.5
Brooklyn,20,9.5
Brooklyn,7,9.5
Queens,6,9.5
Staten Island,5,9.5
Bronx,15,9.5
Brooklyn,13,9.5
Manhattan,7,9.5
Bronx,4,9.5
Unknown,0,9.49
Queens,20,9.49
Queens,23,9.49
Manhattan,19,9.49
Brooklyn,19,9.49
Unknown,11,9.49
Brooklyn,15,9.49
Brooklyn,9,9.49
Queens,15,9.49
Unknown,2,9.49
Brooklyn,20,9.49
Manhattan,16,9.49
Bronx,23,9.49
Brooklyn,21,9.49
Manhattan,5,9.49
Manhattan,13,9.49
Queens,2,9.49
Bronx,4,9.49
Unknown,17,9.49
Unknown,14,9.49
Brooklyn,0,9.49
Manhattan,0,9.49
Queens,11,9.49
Queens,7,9.49
Brooklyn,8,9.49
Manhattan,2,9.49
Brooklyn,14,9.49
Queens,9,9.49
Unknown,5,9.49
Manhattan,12,9.49
Brooklyn,23,9.49
Manhattan,1,9.49
Bronx,15,9.49
Bronx,18,9.49
Manhattan,4,9.49
Manhattan,6,9.49
Queens,12,9.49
Unknown,13,9.49
Queens,5,9.49
Bronx,17,9.49
Brooklyn,18,9.49
Queens,22,9.49
Queens,14,9.49
Manhattan,14,9.49
Unknown,7,9.49
Manhattan,15,9.49
Manhattan,11,9.49
Unknown,18,9.49
Queens,18,9.49
Queens,0,9.49
Brooklyn,1,9.49
Unknown,23,9.49
Manhattan,18,9.49
Queens,16,9.49
Unknown,15,9.49
Queens,19,9.49
Unknown,9,9.49
Unknown,19,9.49
Queens,8,9.49
Queens,17,9.49
Unknown,16,9.49
Bronx,12,9.49
Manhattan,3,9.49
Brooklyn,17,9.49
Brooklyn,12,9.49
Queens,10,9.49
Manhattan,17,9.49
Unknown,21,9.49
Brooklyn,10,9.49
Unknown,3,9.49
Manhattan,20,9.49
Unknown,1,9.49
Queens,4,9.49
Brooklyn,2,9.49
Manhattan,22,9.49
Brooklyn,6,9.49
Brooklyn,5,9.49
Manhattan,23,9.49
Manhattan,9,9.49
Brooklyn,3,9.49
Unknown,22,9.49
Manhattan,21,9.49
Bronx,2,9.49
Bronx,6,9.49
Manhattan,8,9.49
Queens,3,9.49
Queens,1,9.49
Queens,21,9.49
Unknown,10,9.49
Brooklyn,11,9.49
Queens,6,9.49
Brooklyn,13,9.49
Unknown,12,9.49
Manhattan,7,9.49
Manhattan,10,9.49
Brooklyn,4,9.49
Brooklyn,16,9.49
Brooklyn,7,9.49
Unknown,6,9.49
Bronx,19,9.49
Unknown,20,9.49
Queens,13,9.49
Brooklyn,22,9.49
Manhattan,13,9.48
Queens,23,9.48
Manhattan,15,9.48
Manhattan,14,9.48
Brooklyn,17,9.48
Queens,21,9.48
Queens,11,9.48
Manhattan,23,9.48
Brooklyn,15,9.48
Manhattan,10,9.48
Unknown,5,9.48
Brooklyn,4,9.48
Queens,4,9.48
Unknown,21,9.48
Unknown,18,9.48
Manhattan,20,9.48
Brooklyn,18,9.48
Manhattan,2,9.48
Unknown,22,9.48
Manhattan,6,9.48
Manhattan,7,9.48
Queens,13,9.48
Brooklyn,14,9.48
Unknown,23,9.48
Bronx,14,9.48
Brooklyn,20,9.48
Unknown,14,9.48
Brooklyn,8,9.48
Manhattan,19,9.48
Queens,19,9.48
Brooklyn,10,9.48
Brooklyn,5,9.48
Brooklyn,21,9.48
Manhattan,8,9.48
Queens,20,9.48
Queens,6,9.48
Manhattan,21,9.48
Queens,17,9.48
Bronx,23,9.48
Brooklyn,6,9.48
Unknown,0,9.48
Unknown,12,9.48
Unknown,20,9.48
Queens,18,9.48
Queens,0,9.48
Bronx,17,9.48
Brooklyn,13,9.48
Manhattan,4,9.48
Brooklyn,2,9.48
Queens,5,9.48
Queens,8,9.48
Manhattan,12,9.48
Unknown,7,9.48
Unknown,9,9.48
Bronx,2,9.48
Queens,15,9.48
Unknown,3,9.48
Manhattan,5,9.48
Manhattan,18,9.48
Manhattan,22,9.48
Manhattan,17,9.48
Brooklyn,23,9.48
Brooklyn,9,9.48
Unknown,8,9.48
Queens,7,9.48
Manhattan,11,9.48
Queens,2,9.48
Queens,3,9.48
Unknown,17,9.48
Unknown,15,9.48
Manhattan,16,9.48
Brooklyn,12,9.48
Brooklyn,11,9.48
Queens,22,9.48
Brooklyn,16,9.48
Brooklyn,0,9.48
Manhattan,9,9.48
Bronx,19,9.48
Queens,1,9.48
Unknown,11,9.48
Manhattan,3,9.48
Brooklyn,22,9.48
Queens,16,9.48
Manhattan,1,9.48
Brooklyn,1,9.48
Queens,9,9.48
Unknown,13,9.48
Manhattan,0,9.48
Unknown,19,9.48
Queens,12,9.48
Queens,14,9.48
Queens,10,9.48
Brooklyn,7,9.48
Unknown,16,9.48
Bronx,9,9.48
Unknown,10,9.48
Bronx,16,9.48
Brooklyn,3,9.48
Brooklyn,19,9.48
Unknown,21,9.47
Brooklyn,23,9.47
Unknown,18,9.47
Bronx,13,9.47
Queens,1,9.47
Brooklyn,15,9.47
Manhattan,18,9.47
Queens,6,9.47
Manhattan,13,9.47
Manhattan,22,9.47
Queens,7,9.47
Queens,12,9.47
Queens,19,9.47
Manhattan,4,9.47
Manhattan,23,9.47
Bronx,21,9.47
Queens,0,9.47
Manhattan,2,9.47
Brooklyn,0,9.47
Bronx,12,9.47
