PU_Borough,PUHour,Trip_distance
Queens,23,30.85
Manhattan,23,30.85
Manhattan,22,30.85
Manhattan,4,30.85
Queens,6,30.85
Queens,17,30.85
Queens,0,30.85
Manhattan,2,30.85
Manhattan,16,30.85
Manhattan,0,30.85
Queens,13,30.85
Queens,20,30.85
Manhattan,21,30.85
Queens,15,30.85
Manhattan,14,30.85
Manhattan,8,30.85
Manhattan,12,30.85
Queens,16,30.85
Manhattan,18,30.85
Queens,1,30.85
Queens,22,30.85
Queens,19,30.85
Manhattan,17,30.85
Manhattan,6,30.85
Queens,7,30.84
Queens,19,30.84
Queens,18,30.84
Manhattan,20,30.84
Manhattan,12,30.84
Queens,15,30.84
Queens,1,30.84
Manhattan,11,30.84
Manhattan,0,30.84
Manhattan,15,30.84
Brooklyn,23,30.84
Queens,2,30.84
Manhattan,14,30.84
Manhattan,18,30.84
Queens,21,30.84
Queens,23,30.84
Queens,12,30.84
Queens,13,30.84
Queens,22,30.83
Queens,12,30.83
Brooklyn,0,30.83
Queens,11,30.83
Manhattan,10,30.83
Queens,0,30.83
Queens,13,30.83
Queens,8,30.83
Queens,17,30.83
Manhattan,13,30.83
Queens,18,30.83
Queens,9,30.83
Manhattan,14,30.83
Queens,16,30.83
Manhattan,23,30.83
Queens,7,30.83
Manhattan,16,30.83
Manhattan,6,30.83
Manhattan,15,30.83
Manhattan,8,30.83
Queens,15,30.83
Queens,14,30.83
Queens,6,30.83
Queens,19,30.83
Manhattan,9,30.83
Manhattan,12,30.83
Manhattan,2,30.83
Queens,20,30.83
Manhattan,20,30.83
Queens,9,30.82
Queens,10,30.82
Manhattan,3,30.82
Queens,8,30.82
Manhattan,7,30.82
Queens,15,30.82
Queens,14,30.82
Queens,22,30.82
Queens,0,30.82
Queens,13,30.82
Manhattan,18,30.82
Queens,7,30.82
Unknown,23,30.82
Queens,19,30.82
Queens,16,30.82
Manhattan,1,30.82
Queens,23,30.82
Queens,18,30.82
Queens,21,30.82
Manhattan,7,30.81
Queens,12,30.81
Manhattan,18,30.81
Queens,18,30.81
Queens,9,30.81
Manhattan,14,30.81
Queens,15,30.81
Queens,1,30.81
Queens,21,30.81
Manhattan,11,30.81
Queens,8,30.81
Manhattan,4,30.81
Manhattan,2,30.81
Manhattan,5,30.8
Brooklyn,11,30.8
EWR,12,30.8
Manhattan,6,30.8
Manhattan,8,30.8
Unknown,4,30.8
Unknown,3,30.8
Unknown,19,30.8
Unknown,6,30.8
Manhattan,2,30.8
Manhattan,11,30.8
Unknown,16,30.8
Manhattan,4,30.8
Manhattan,18,30.8
Queens,11,30.8
Brooklyn,20,30.8
Queens,10,30.8
Queens,9,30.8
Manhattan,13,30.8
Queens,22,30.8
Unknown,0,30.8
Unknown,17,30.8
Manhattan,15,30.8
Queens,8,30.8
Queens,7,30.8
Brooklyn,0,30.8
Manhattan,1,30.8
Manhattan,22,30.8
Queens,21,30.8
Unknown,9,30.8
Manhattan,19,30.8
Unknown,1,30.8
Queens,13,30.8
Queens,1,30.8
Staten Island,9,30.8
Manhattan,9,30.8
Queens,20,30.8
Manhattan,16,30.8
Queens,19,30.8
Manhattan,17,30.8
Unknown,12,30.8
Brooklyn,3,30.8
Manhattan,20,30.8
Manhattan,21,30.8
Queens,15,30.8
Manhattan,14,30.8
Queens,6,30.8
Unknown,13,30.8
Manhattan,3,30.8
Unknown,18,30.8
Queens,12,30.8
Queens,17,30.8
Queens,23,30.8
Manhattan,10,30.8
Queens,2,30.8
Queens,14,30.8
Queens,16,30.8
Queens,4,30.8
Queens,3,30.8
Manhattan,12,30.8
Queens,18,30.8
Manhattan,0,30.8
Queens,0,30.8
Manhattan,23,30.8
Manhattan,7,30.8
Unknown,20,30.8
Queens,10,30.79
Queens,11,30.79
Queens,17,30.79
Queens,21,30.79
Queens,15,30.79
Queens,0,30.79
Queens,6,30.79
Queens,19,30.79
Queens,13,30.79
Queens,23,30.79
Manhattan,12,30.79
Queens,14,30.79
Manhattan,13,30.79
Manhattan,15,30.79
Manhattan,21,30.79
Manhattan,11,30.79
Queens,16,30.79
Manhattan,3,30.79
Manhattan,20,30.79
Manhattan,16,30.79
Queens,7,30.79
Manhattan,22,30.78
Queens,2,30.78
Queens,21,30.78
Queens,23,30.78
Manhattan,8,30.78
Queens,10,30.78
Queens,15,30.78
Queens,18,30.78
Queens,13,30.78
Manhattan,3,30.78
Queens,8,30.78
Manhattan,6,30.78
Manhattan,18,30.78
Queens,11,30.78
Manhattan,10,30.78
Manhattan,7,30.78
Queens,14,30.78
Manhattan,15,30.78
Queens,3,30.78
Manhattan,11,30.78
Unknown,12,30.78
Queens,19,30.78
Queens,17,30.78
Manhattan,13,30.78
Manhattan,16,30.78
