PU_Borough,PUHour,Trip_distance
Queens,2,17.42
Manhattan,19,17.42
Manhattan,3,17.42
Unknown,18,17.42
Manhattan,0,17.42
Queens,1,17.42
Unknown,6,17.42
Queens,4,17.42
Unknown,9,17.42
Manhattan,12,17.42
Brooklyn,0,17.42
Manhattan,6,17.42
Manhattan,15,17.42
Brooklyn,4,17.42
Queens,0,17.42
Brooklyn,12,17.42
Unknown,5,17.42
Manhattan,21,17.42
Unknown,4,17.42
Unknown,14,17.42
Queens,6,17.42
Unknown,7,17.42
Manhattan,2,17.42
Manhattan,22,17.42
Queens,11,17.42
Manhattan,23,17.42
Manhattan,20,17.42
Unknown,16,17.42
Manhattan,17,17.42
Queens,21,17.42
Brooklyn,14,17.42
Unknown,1,17.42
Unknown,10,17.42
Manhattan,16,17.42
Queens,19,17.42
Bronx,18,17.42
Manhattan,9,17.42
Unknown,19,17.42
Queens,20,17.42
Queens,10,17.42
Manhattan,4,17.42
Manhattan,10,17.42
Bronx,11,17.42
Manhattan,8,17.42
Manhattan,5,17.42
Queens,12,17.42
Unknown,20,17.42
Queens,5,17.42
Manhattan,13,17.42
Brooklyn,7,17.42
Bronx,15,17.42
Brooklyn,8,17.42
Manhattan,14,17.42
Bronx,23,17.42
Queens,17,17.42
Brooklyn,13,17.42
Unknown,15,17.42
Queens,22,17.42
Manhattan,11,17.42
Queens,15,17.42
Queens,8,17.42
Unknown,17,17.42
Queens,3,17.42
Queens,18,17.42
Queens,14,17.42
Manhattan,18,17.42
Brooklyn,2,17.42
Brooklyn,5,17.42
Brooklyn,9,17.42
Brooklyn,1,17.42
Unknown,8,17.42
Brooklyn,11,17.42
Queens,13,17.42
Brooklyn,22,17.42
Queens,7,17.42
Queens,9,17.42
Manhattan,7,17.42
Queens,23,17.42
Queens,16,17.42
Unknown,23,17.42
Manhattan,1,17.42
Bronx,16,17.42
Unknown,21,17.42
Brooklyn,6,17.42
Brooklyn,19,17.41
Queens,17,17.41
Manhattan,5,17.41
Queens,12,17.41
Brooklyn,1,17.41
Bronx,23,17.41
Unknown,12,17.41
Brooklyn,2,17.41
Manhattan,1,17.41
Manhattan,18,17.41
Queens,18,17.41
Queens,15,17.41
Unknown,5,17.41
Queens,4,17.41
Unknown,20,17.41
Brooklyn,6,17.41
Manhattan,19,17.41
Brooklyn,14,17.41
Queens,7,17.41
Unknown,17,17.41
Manhattan,20,17.41
Queens,10,17.41
Manhattan,10,17.41
Queens,1,17.41
Queens,14,17.41
Manhattan,3,17.41
Manhattan,14,17.41
Brooklyn,4,17.41
Queens,6,17.41
Queens,3,17.41
Manhattan,17,17.41
Unknown,18,17.41
Unknown,23,17.41
Manhattan,21,17.41
Queens,5,17.41
Brooklyn,18,17.41
Brooklyn,15,17.41
Unknown,19,17.41
Unknown,11,17.41
Unknown,16,17.41
Queens,22,17.41
Manhattan,12,17.41
Queens,13,17.41
Unknown,0,17.41
Manhattan,16,17.41
Manhattan,7,17.41
Brooklyn,9,17.41
Bronx,17,17.41
Queens,2,17.41
Queens,8,17.41
Unknown,13,17.41
Manhattan,13,17.41
Manhattan,0,17.41
Manhattan,2,17.41
Manhattan,15,17.41
Brooklyn,7,17.41
Queens,19,17.41
Queens,23,17.41
Manhattan,8,17.41
Brooklyn,11,17.41
Brooklyn,5,17.41
Unknown,15,17.41
Unknown,14,17.41
Manhattan,4,17.41
Brooklyn,8,17.41
Queens,16,17.41
Manhattan,6,17.41
Manhattan,9,17.41
Queens,0,17.41
Unknown,9,17.41
Bronx,0,17.41
Manhattan,11,17.41
Queens,20,17.41
Queens,21,17.41
Manhattan,23,17.41
Unknown,22,17.41
Queens,9,17.41
Brooklyn,0,17.41
Unknown,21,17.41
Manhattan,22,17.41
Brooklyn,10,17.41
Queens,11,17.41
Unknown,4,17.41
Queens,10,17.4
Brooklyn,14,17.4
Queens,16,17.4
Manhattan,19,17.4
Brooklyn,22,17.4
Brooklyn,17,17.4
Queens,21,17.4
Unknown,21,17.4
Queens,0,17.4
Unknown,18,17.4
EWR,5,17.4
Brooklyn,12,17.4
EWR,16,17.4
Unknown,23,17.4
Manhattan,0,17.4
Unknown,20,17.4
Brooklyn,19,17.4
Brooklyn,10,17.4
Brooklyn,18,17.4
Bronx,19,17.4
Unknown,2,17.4
Manhattan,8,17.4
Manhattan,15,17.4
Bronx,11,17.4
Manhattan,9,17.4
Brooklyn,15,17.4
Manhattan,12,17.4
Manhattan,2,17.4
Queens,14,17.4
Queens,11,17.4
Unknown,5,17.4
Brooklyn,11,17.4
Manhattan,20,17.4
Queens,2,17.4
Brooklyn,8,17.4
Queens,4,17.4
Brooklyn,5,17.4
Unknown,6,17.4
Brooklyn,7,17.4
EWR,14,17.4
Manhattan,17,17.4
Unknown,0,17.4
Queens,12,17.4
Bronx,20,17.4
EWR,20,17.4
Manhattan,13,17.4
Queens,17,17.4
Bronx,22,17.4
Queens,6,17.4
Bronx,21,17.4
Unknown,11,17.4
Unknown,3,17.4
Manhattan,22,17.4
Queens,3,17.4
Brooklyn,4,17.4
Queens,18,17.4
Manhattan,16,17.4
Queens,5,17.4
Manhattan,18,17.4
Queens,13,17.4
Unknown,10,17.4
EWR,15,17.4
EWR,7,17.4
Unknown,17,17.4
Bronx,7,17.4
Queens,22,17.4
Queens,7,17.4
Queens,15,17.4
Manhattan,5,17.4
Unknown,13,17.4
Unknown,9,17.4
Queens,1,17.4
Manhattan,10,17.4
Brooklyn,20,17.4
Manhattan,4,17.4
Unknown,12,17.4
Brooklyn,9,17.4
Unknown,22,17.4
Bronx,15,17.4
Brooklyn,0,17.4
Manhattan,6,17.4
Brooklyn,2,17.4
Bronx,5,17.4
Queens,8,17.4
Unknown,15,17.4
Brooklyn,3,17.4
Unknown,14,17.4
Brooklyn,1,17.4
Manhattan,7,17.4
Unknown,19,17.4
Queens,19,17.4
Manhattan,11,17.4
Bronx,9,17.4
EWR,18,17.4
Manhattan,3,17.4
Brooklyn,13,17.4
Queens,9,17.4
Manhattan,1,17.4
Brooklyn,16,17.4
Unknown,7,17.4
EWR,8,17.4
Manhattan,21,17.4
Queens,20,17.4
Queens,23,17.4
Unknown,1,17.4
Unknown,8,17.4
EWR,6,17.4
Unknown,4,17.4
Manhattan,23,17.4
EWR,11,17.4
Brooklyn,6,17.4
Bronx,18,17.4
EWR,22,17.4
Brooklyn,23,17.4
Manhattan,14,17.4
EWR,12,17.4
Brooklyn,21,17.4
Unknown,16,17.4
Queens,18,17.39
Queens,21,17.39
Manhattan,4,17.39
Unknown,3,17.39
Brooklyn,13,17.39
Manhattan,16,17.39
Unknown,22,17.39
Unknown,13,17.39
Queens,20,17.39
Manhattan,14,17.39
Queens,3,17.39
Brooklyn,18,17.39
Brooklyn,8,17.39
Manhattan,21,17.39
Queens,0,17.39
Queens,12,17.39
Manhattan,1,17.39
Queens,6,17.39
Unknown,16,17.39
Unknown,8,17.39
Manhattan,9,17.39
Queens,11,17.39
Unknown,9,17.39
Manhattan,5,17.39
Manhattan,6,17.39
Brooklyn,6,17.39
Queens,15,17.39
Manhattan,7,17.39
Queens,4,17.39
Unknown,15,17.39
Manhattan,2,17.39
Queens,2,17.39
Brooklyn,12,17.39
Manhattan,13,17.39
Manhattan,20,17.39
Manhattan,18,17.39
Brooklyn,22,17.39
Queens,5,17.39
Brooklyn,9,17.39
Manhattan,22,17.39
Manhattan,19,17.39
Unknown,2,17.39
Queens,8,17.39
Queens,19,17.39
Manhattan,12,17.39
Manhattan,23,17.39
Queens,9,17.39
Manhattan,17,17.39
Brooklyn,15,17.39
Manhattan,15,17.39
Queens,7,17.39
Unknown,20,17.39
Queens,1,17.39
Manhattan,0,17.39
Unknown,21,17.39
Manhattan,11,17.39
Manhattan,10,17.39
Manhattan,3,17.39
Unknown,0,17.39
Bronx,17,17.39
Unknown,17,17.39
Unknown,12,17.39
Queens,17,17.39
Queens,16,17.39
