PU_Borough,PUHour,Trip_distance
Queens,20,55.99
Manhattan,22,55.99
Manhattan,3,55.99
Queens,11,55.98
Queens,17,55.97
Manhattan,9,55.96
Queens,17,55.96
Queens,0,55.95
Queens,7,55.93
Queens,11,55.93
Queens,22,55.92
Queens,7,55.92
Queens,14,55.92
Manhattan,1,55.91
Queens,19,55.9
Manhattan,2,55.9
Queens,11,55.9
Brooklyn,17,55.9
Queens,3,55.9
Queens,14,55.9
Manhattan,0,55.9
Manhattan,14,55.9
Queens,12,55.89
Queens,18,55.88
Queens,7,55.87
Manhattan,9,55.87
Brooklyn,23,55.86
Queens,22,55.86
Queens,16,55.85
Manhattan,21,55.84
Queens,14,55.83
Queens,9,55.83
Queens,16,55.82
Queens,10,55.82
Queens,15,55.81
Manhattan,22,55.81
Manhattan,8,55.8
Manhattan,23,55.8
Queens,1,55.8
Queens,16,55.8
Queens,21,55.8
Manhattan,0,55.8
Manhattan,13,55.8
Queens,7,55.8
Manhattan,16,55.8
Queens,9,55.79
Unknown,11,55.79
Queens,21,55.78
Queens,10,55.77
Queens,13,55.77
Manhattan,2,55.77
Queens,23,55.76
Queens,0,55.74
Manhattan,15,55.74
Queens,18,55.73
Queens,22,55.72
Queens,22,55.71
Unknown,0,55.71
Queens,16,55.71
Unknown,16,55.7
Queens,12,55.7
Queens,10,55.7
Manhattan,21,55.7
Unknown,18,55.7
Manhattan,1,55.7
Queens,16,55.7
Queens,7,55.7
Queens,20,55.69
Queens,9,55.69
Brooklyn,23,55.69
Queens,18,55.68
Queens,11,55.68
Manhattan,13,55.68
Queens,23,55.68
Manhattan,4,55.67
Queens,14,55.67
Queens,17,55.67
Queens,18,55.66
Queens,0,55.65
Queens,18,55.65
Queens,7,55.65
Manhattan,15,55.64
Queens,1,55.63
Queens,18,55.63
Queens,15,55.62
Manhattan,13,55.62
Manhattan,9,55.6
Manhattan,23,55.6
Queens,13,55.6
Queens,12,55.6
Manhattan,13,55.6
Queens,22,55.6
Queens,21,55.6
Queens,18,55.6
Queens,17,55.59
Queens,16,55.58
Bronx,2,55.58
Queens,11,55.58
Manhattan,2,55.58
Manhattan,19,55.58
Queens,21,55.58
Manhattan,20,55.58
Queens,13,55.58
Queens,16,55.57
Queens,18,55.56
Queens,6,55.56
Queens,15,55.55
Queens,18,55.55
Manhattan,14,55.54
Queens,15,55.52
Queens,18,55.52
Manhattan,13,55.51
Queens,16,55.51
Queens,20,55.51
Queens,7,55.5
Manhattan,8,55.5
Queens,9,55.5
Queens,12,55.5
Queens,21,55.5
Queens,20,55.5
Manhattan,18,55.49
Queens,19,55.48
Manhattan,2,55.48
Queens,15,55.48
Queens,18,55.47
Queens,21,55.46
Queens,21,55.44
Queens,13,55.44
Manhattan,2,55.44
Queens,15,55.44
Queens,12,55.42
Bronx,18,55.42
Queens,7,55.41
Manhattan,20,55.4
Queens,0,55.4
Manhattan,18,55.4
Manhattan,14,55.4
Queens,9,55.39
Queens,16,55.39
Queens,21,55.38
Queens,16,55.38
Queens,22,55.37
Manhattan,11,55.36
Manhattan,10,55.36
Queens,11,55.36
Manhattan,0,55.36
Queens,16,55.35
Queens,22,55.35
Queens,11,55.35
Queens,0,55.34
Queens,15,55.34
Queens,7,55.34
Queens,6,55.33
Manhattan,18,55.33
Manhattan,0,55.32
Queens,6,55.31
Queens,20,55.3
Manhattan,8,55.3
Queens,21,55.3
Manhattan,7,55.3
Unknown,5,55.3
Manhattan,23,55.3
Queens,19,55.3
Manhattan,11,55.3
Queens,14,55.3
Queens,11,55.3
Manhattan,20,55.3
Manhattan,3,55.3
Manhattan,14,55.3
Queens,1,55.3
Queens,15,55.3
Queens,6,55.29
Manhattan,12,55.29
Manhattan,0,55.28
Queens,11,55.28
Queens,7,55.27
Queens,19,55.27
Manhattan,20,55.27
Queens,0,55.27
Queens,13,55.26
Queens,0,55.26
Queens,15,55.25
Manhattan,4,55.23
Queens,17,55.22
Bronx,18,55.21
Queens,22,55.21
Queens,11,55.2
Manhattan,9,55.2
Manhattan,15,55.2
Manhattan,6,55.2
Queens,12,55.2
Queens,20,55.2
Manhattan,2,55.2
Manhattan,23,55.2
Manhattan,21,55.2
Queens,14,55.2
Unknown,12,55.2
Queens,13,55.2
Queens,0,55.2
Unknown,11,55.2
Queens,5,55.2
Manhattan,2,55.19
Manhattan,22,55.17
Queens,11,55.17
Queens,18,55.17
Queens,12,55.16
Queens,0,55.15
Queens,23,55.15
Manhattan,17,55.14
Queens,18,55.12
Queens,16,55.12
Manhattan,7,55.11
Queens,12,55.1
Queens,17,55.1
Queens,11,55.1
Queens,20,55.1
Manhattan,11,55.1
Unknown,14,55.1
Queens,15,55.1
Queens,13,55.1
Queens,0,55.1
Bronx,19,55.1
Unknown,19,55.1
Queens,18,55.1
Manhattan,0,55.1
Unknown,20,55.1
Queens,21,55.1
Queens,10,55.1
Manhattan,8,55.1
Queens,8,55.08
Queens,15,55.07
Queens,7,55.06
Queens,13,55.05
Manhattan,18,55.05
Queens,18,55.04
Manhattan,4,55.03
Queens,10,55.03
Queens,19,55.0
Unknown,21,55.0
Queens,18,55.0
Manhattan,1,55.0
Manhattan,3,55.0
Queens,17,55.0
Queens,20,55.0
Manhattan,2,55.0
Queens,2,55.0
Queens,22,55.0
Queens,14,55.0
Manhattan,3,54.99
Manhattan,6,54.97
Queens,7,54.97
Queens,11,54.96
Queens,15,54.95
Manhattan,18,54.95
Queens,19,54.93
Manhattan,15,54.92
Manhattan,4,54.9
Queens,17,54.9
Manhattan,23,54.9
Queens,18,54.9
Queens,19,54.9
Queens,23,54.9
Queens,11,54.9
Queens,16,54.9
Manhattan,20,54.9
Manhattan,3,54.9
Queens,5,54.89
Queens,8,54.86
