PU_Borough,PUHour,Trip_distance
Manhattan,16,29.5
Manhattan,21,29.5
Manhattan,18,29.5
Manhattan,5,29.5
Manhattan,20,29.5
Manhattan,22,29.5
Bronx,1,29.5
Manhattan,12,29.5
Queens,10,29.5
Queens,20,29.5
Manhattan,8,29.5
Queens,16,29.5
Unknown,18,29.5
Unknown,19,29.5
Queens,7,29.5
Queens,18,29.5
Queens,19,29.5
Queens,9,29.5
Queens,6,29.5
Queens,8,29.5
Manhattan,2,29.5
Unknown,14,29.5
Manhattan,17,29.5
Unknown,23,29.5
Manhattan,7,29.5
Queens,13,29.5
Queens,22,29.5
Queens,15,29.5
Queens,1,29.5
Manhattan,10,29.5
Manhattan,3,29.5
Manhattan,4,29.5
Queens,14,29.5
Bronx,0,29.5
Queens,4,29.5
Manhattan,0,29.5
Manhattan,13,29.5
Manhattan,11,29.5
Unknown,11,29.5
Manhattan,1,29.5
Queens,5,29.5
Unknown,17,29.5
Manhattan,23,29.5
Queens,23,29.5
Queens,11,29.5
Manhattan,15,29.5
Unknown,13,29.5
Manhattan,6,29.5
Unknown,21,29.5
Manhattan,9,29.5
Brooklyn,0,29.5
Manhattan,19,29.5
Queens,0,29.5
Queens,17,29.5
Queens,21,29.5
Queens,12,29.5
Manhattan,14,29.5
Unknown,20,29.5
Brooklyn,11,29.5
Queens,2,29.5
Bronx,3,29.5
Queens,19,29.49
Queens,23,29.49
Queens,15,29.49
Manhattan,20,29.49
Manhattan,9,29.49
Manhattan,7,29.49
Manhattan,21,29.49
Manhattan,10,29.49
Manhattan,17,29.49
Queens,8,29.49
Manhattan,5,29.49
Queens,14,29.49
Manhattan,3,29.49
Queens,17,29.49
Queens,18,29.49
Queens,6,29.49
Manhattan,12,29.49
Manhattan,13,29.49
Queens,9,29.49
Queens,21,29.49
Queens,11,29.49
Manhattan,18,29.49
Queens,10,29.49
Queens,20,29.49
Queens,13,29.49
Queens,16,29.49
Manhattan,4,29.49
Manhattan,16,29.49
Queens,7,29.49
Queens,4,29.49
Manhattan,4,29.48
Queens,22,29.48
Manhattan,9,29.48
Queens,6,29.48
Queens,16,29.48
Manhattan,1,29.48
Queens,14,29.48
Queens,21,29.48
Queens,17,29.48
Queens,1,29.48
Queens,10,29.48
Queens,20,29.48
Manhattan,19,29.48
Queens,15,29.48
Manhattan,7,29.48
Queens,8,29.48
Manhattan,8,29.48
Manhattan,12,29.48
Queens,23,29.48
Manhattan,22,29.48
Manhattan,13,29.48
Manhattan,11,29.48
Queens,5,29.48
Manhattan,21,29.48
Queens,9,29.48
Manhattan,3,29.48
Queens,11,29.48
Queens,13,29.48
Queens,7,29.48
Unknown,6,29.48
Queens,19,29.48
Manhattan,14,29.48
Manhattan,17,29.47
Queens,6,29.47
Queens,10,29.47
Manhattan,19,29.47
Manhattan,8,29.47
Manhattan,9,29.47
Manhattan,1,29.47
Queens,8,29.47
Manhattan,10,29.47
Manhattan,11,29.47
Manhattan,13,29.47
Manhattan,12,29.47
Manhattan,7,29.47
Manhattan,18,29.47
Manhattan,15,29.47
Queens,12,29.47
Queens,18,29.47
Queens,16,29.47
Manhattan,14,29.47
Queens,14,29.47
Queens,7,29.47
Brooklyn,18,29.47
Manhattan,16,29.47
Manhattan,4,29.47
Queens,23,29.47
Queens,0,29.47
Queens,19,29.47
Queens,21,29.47
Queens,17,29.47
Manhattan,0,29.47
Queens,13,29.47
Queens,20,29.47
Queens,22,29.47
Queens,11,29.47
Queens,15,29.47
Manhattan,20,29.47
Manhattan,2,29.46
Manhattan,8,29.46
Queens,23,29.46
Manhattan,4,29.46
Manhattan,0,29.46
Queens,16,29.46
Queens,19,29.46
Queens,14,29.46
Manhattan,13,29.46
Manhattan,10,29.46
Queens,12,29.46
Manhattan,7,29.46
Queens,15,29.46
Queens,20,29.46
Manhattan,18,29.46
Manhattan,14,29.46
Unknown,8,29.46
Manhattan,12,29.46
Queens,7,29.46
Queens,1,29.46
Queens,5,29.46
Queens,22,29.46
Manhattan,22,29.46
Manhattan,17,29.46
Queens,13,29.46
Queens,21,29.46
Queens,17,29.46
Manhattan,19,29.46
Queens,8,29.46
Manhattan,9,29.46
Manhattan,16,29.46
Queens,10,29.46
Queens,9,29.46
Manhattan,11,29.46
Manhattan,20,29.46
Queens,18,29.46
Unknown,21,29.46
Unknown,6,29.46
Manhattan,20,29.45
Queens,6,29.45
Queens,7,29.45
Manhattan,7,29.45
Queens,22,29.45
Manhattan,9,29.45
Queens,15,29.45
Manhattan,16,29.45
Manhattan,17,29.45
Queens,17,29.45
Manhattan,14,29.45
Queens,5,29.45
Queens,21,29.45
Queens,8,29.45
Queens,18,29.45
Queens,11,29.45
Queens,20,29.45
Queens,23,29.45
Queens,16,29.45
Brooklyn,5,29.45
Manhattan,0,29.45
Manhattan,4,29.45
Manhattan,3,29.45
Queens,13,29.45
Manhattan,23,29.45
Manhattan,19,29.45
EWR,16,29.45
Queens,14,29.45
Manhattan,15,29.45
Manhattan,21,29.45
Manhattan,8,29.45
Manhattan,10,29.45
Manhattan,11,29.45
Manhattan,13,29.45
Queens,17,29.44
Queens,6,29.44
Queens,2,29.44
Queens,14,29.44
Manhattan,16,29.44
Manhattan,12,29.44
Queens,22,29.44
Manhattan,19,29.44
