PU_Borough,PUHour,Trip_distance
Manhattan,0,25.07
Queens,22,25.07
Queens,12,25.07
Queens,11,25.07
Queens,23,25.07
Manhattan,16,25.07
Queens,5,25.07
Manhattan,17,25.07
Queens,16,25.07
Queens,21,25.07
Manhattan,10,25.07
Manhattan,7,25.07
Queens,13,25.07
Manhattan,13,25.07
Queens,20,25.07
Manhattan,9,25.07
Manhattan,18,25.07
Queens,8,25.07
Manhattan,19,25.07
Manhattan,22,25.07
Queens,18,25.07
Queens,7,25.07
Manhattan,12,25.07
Queens,17,25.07
Queens,19,25.07
Queens,9,25.07
Queens,10,25.07
Manhattan,20,25.07
Manhattan,21,25.07
Queens,1,25.07
Manhattan,2,25.07
Queens,0,25.07
Manhattan,14,25.07
Manhattan,1,25.07
Queens,15,25.07
Queens,14,25.07
Manhattan,4,25.07
Manhattan,1,25.06
Manhattan,16,25.06
Queens,1,25.06
Queens,6,25.06
Queens,19,25.06
Queens,9,25.06
Queens,17,25.06
Queens,16,25.06
Bronx,22,25.06
Queens,15,25.06
Manhattan,4,25.06
Manhattan,21,25.06
Manhattan,7,25.06
Manhattan,19,25.06
Bronx,14,25.06
Queens,22,25.06
Queens,7,25.06
Queens,11,25.06
Manhattan,20,25.06
Manhattan,12,25.06
Manhattan,11,25.06
Queens,18,25.06
Queens,12,25.06
Queens,14,25.06
Manhattan,22,25.06
Manhattan,23,25.06
Manhattan,0,25.06
Manhattan,14,25.06
Manhattan,2,25.06
Manhattan,3,25.06
Brooklyn,5,25.06
Manhattan,13,25.06
Manhattan,18,25.06
Queens,13,25.06
Queens,21,25.06
Queens,8,25.06
Queens,23,25.06
Queens,0,25.06
Queens,10,25.06
Manhattan,9,25.06
Queens,20,25.06
Brooklyn,7,25.06
Manhattan,17,25.06
Queens,3,25.06
Brooklyn,14,25.06
Unknown,18,25.06
Manhattan,1,25.05
Manhattan,4,25.05
Queens,21,25.05
Brooklyn,5,25.05
Queens,15,25.05
Queens,12,25.05
Manhattan,22,25.05
Queens,18,25.05
Manhattan,23,25.05
Manhattan,0,25.05
Queens,23,25.05
Queens,8,25.05
Queens,11,25.05
Manhattan,19,25.05
Queens,17,25.05
Queens,16,25.05
Queens,13,25.05
Queens,7,25.05
Queens,19,25.05
Manhattan,11,25.05
Queens,3,25.05
Queens,6,25.05
Queens,1,25.05
Manhattan,10,25.05
Manhattan,2,25.05
Manhattan,17,25.05
Manhattan,8,25.05
Brooklyn,16,25.05
Queens,10,25.05
Manhattan,16,25.05
Queens,22,25.05
Unknown,1,25.05
Manhattan,13,25.05
Manhattan,20,25.05
Manhattan,18,25.05
Queens,20,25.05
Queens,5,25.05
Queens,9,25.05
Queens,2,25.05
Queens,14,25.05
Queens,1,25.04
Manhattan,21,25.04
Queens,20,25.04
Manhattan,2,25.04
Queens,16,25.04
Queens,8,25.04
Manhattan,13,25.04
Manhattan,11,25.04
Manhattan,18,25.04
Queens,15,25.04
Manhattan,19,25.04
Queens,23,25.04
Manhattan,0,25.04
Queens,13,25.04
Queens,11,25.04
Queens,2,25.04
Manhattan,14,25.04
Queens,14,25.04
Queens,22,25.04
Queens,6,25.04
Brooklyn,23,25.04
Manhattan,9,25.04
Queens,18,25.04
Manhattan,23,25.04
Manhattan,15,25.04
Queens,9,25.04
Manhattan,1,25.04
Queens,0,25.04
Queens,21,25.04
Queens,5,25.04
Manhattan,3,25.04
Queens,12,25.04
Queens,17,25.04
Queens,10,25.04
Queens,7,25.04
Queens,19,25.04
Manhattan,10,25.04
Manhattan,8,25.04
Manhattan,11,25.03
Queens,5,25.03
Queens,11,25.03
Brooklyn,5,25.03
Manhattan,2,25.03
Unknown,5,25.03
Manhattan,7,25.03
Manhattan,14,25.03
Queens,15,25.03
Manhattan,22,25.03
Manhattan,8,25.03
Brooklyn,20,25.03
Manhattan,20,25.03
Queens,23,25.03
Queens,16,25.03
Manhattan,15,25.03
Queens,8,25.03
Unknown,22,25.03
Manhattan,18,25.03
Queens,18,25.03
Queens,14,25.03
Queens,7,25.03
Queens,19,25.03
Manhattan,23,25.03
Queens,3,25.03
Manhattan,21,25.03
Queens,13,25.03
Queens,6,25.03
Manhattan,6,25.03
Manhattan,4,25.03
Manhattan,16,25.03
Manhattan,13,25.03
Queens,21,25.03
Unknown,16,25.03
Manhattan,0,25.03
Queens,10,25.03
Queens,17,25.03
Brooklyn,1,25.03
Queens,20,25.03
Queens,4,25.03
