PU_Borough,PUHour,Trip_distance
Manhattan,19,20.2
Manhattan,21,20.2
Queens,8,20.2
Brooklyn,11,20.2
Manhattan,10,20.2
Brooklyn,3,20.2
Unknown,2,20.2
Bronx,4,20.2
Brooklyn,18,20.2
Brooklyn,14,20.2
Unknown,22,20.2
Brooklyn,13,20.2
Unknown,19,20.2
EWR,9,20.2
Manhattan,22,20.2
Manhattan,12,20.2
Unknown,11,20.2
Brooklyn,12,20.2
Manhattan,3,20.2
Bronx,2,20.2
Unknown,23,20.2
Manhattan,15,20.2
Unknown,21,20.2
Manhattan,7,20.2
Brooklyn,16,20.2
Queens,9,20.2
Unknown,13,20.2
Brooklyn,19,20.2
Unknown,9,20.2
Bronx,10,20.2
Queens,4,20.2
Queens,0,20.2
Manhattan,11,20.2
Unknown,16,20.2
Manhattan,0,20.2
Bronx,12,20.2
Manhattan,18,20.2
Queens,18,20.2
Unknown,3,20.2
Brooklyn,8,20.2
Brooklyn,6,20.2
Unknown,8,20.2
Queens,15,20.2
Queens,17,20.2
Bronx,8,20.2
Queens,7,20.2
Queens,20,20.2
Queens,22,20.2
Queens,21,20.2
Brooklyn,21,20.2
Brooklyn,17,20.2
Queens,6,20.2
Manhattan,14,20.2
Queens,1,20.2
Unknown,12,20.2
Unknown,14,20.2
Queens,13,20.2
Queens,3,20.2
Manhattan,16,20.2
Unknown,18,20.2
Staten Island,13,20.2
Queens,2,20.2
Brooklyn,10,20.2
Manhattan,9,20.2
EWR,6,20.2
Brooklyn,0,20.2
Manhattan,2,20.2
Unknown,20,20.2
Queens,12,20.2
Unknown,7,20.2
Unknown,17,20.2
Brooklyn,2,20.2
Queens,16,20.2
Manhattan,8,20.2
Unknown,10,20.2
Manhattan,20,20.2
Unknown,6,20.2
Manhattan,13,20.2
Bronx,0,20.2
Manhattan,17,20.2
Brooklyn,22,20.2
Bronx,1,20.2
Manhattan,6,20.2
Queens,11,20.2
Unknown,15,20.2
EWR,13,20.2
Brooklyn,20,20.2
Brooklyn,5,20.2
Queens,19,20.2
Queens,23,20.2
Unknown,1,20.2
Brooklyn,7,20.2
Unknown,5,20.2
Queens,5,20.2
Queens,14,20.2
Unknown,0,20.2
Manhattan,1,20.2
Brooklyn,9,20.2
Manhattan,4,20.2
Queens,10,20.2
Manhattan,5,20.2
Brooklyn,4,20.2
Staten Island,1,20.2
Manhattan,23,20.2
Unknown,4,20.2
Queens,1,20.19
Unknown,14,20.19
Queens,21,20.19
Manhattan,13,20.19
Queens,0,20.19
Manhattan,4,20.19
Queens,3,20.19
Manhattan,20,20.19
Queens,23,20.19
Brooklyn,15,20.19
Queens,13,20.19
Manhattan,19,20.19
Unknown,17,20.19
Queens,15,20.19
Manhattan,8,20.19
Manhattan,2,20.19
Queens,10,20.19
Manhattan,14,20.19
Manhattan,11,20.19
Manhattan,6,20.19
Unknown,5,20.19
Manhattan,15,20.19
Manhattan,22,20.19
Manhattan,16,20.19
Manhattan,5,20.19
Queens,17,20.19
Queens,4,20.19
Manhattan,18,20.19
Manhattan,0,20.19
Brooklyn,1,20.19
Unknown,0,20.19
Queens,12,20.19
Queens,5,20.19
Queens,20,20.19
Manhattan,17,20.19
Manhattan,21,20.19
Manhattan,3,20.19
Manhattan,7,20.19
