PU_Borough,PUHour,Trip_distance
Manhattan,9,20.56
Unknown,22,20.56
Queens,14,20.56
Queens,20,20.56
Queens,19,20.56
Queens,7,20.56
Manhattan,19,20.56
Manhattan,18,20.56
Unknown,10,20.56
Queens,15,20.56
Manhattan,4,20.56
Unknown,16,20.56
Manhattan,16,20.56
Manhattan,5,20.56
Manhattan,23,20.56
Manhattan,11,20.56
Queens,11,20.56
Brooklyn,3,20.56
Unknown,20,20.56
Queens,23,20.56
Queens,21,20.56
Queens,22,20.56
Queens,1,20.56
Manhattan,14,20.56
Queens,16,20.56
Queens,13,20.56
Manhattan,0,20.56
Queens,9,20.56
Queens,18,20.56
Manhattan,12,20.56
Unknown,19,20.56
Brooklyn,5,20.56
Queens,0,20.56
Manhattan,8,20.56
Brooklyn,19,20.56
Queens,12,20.56
Brooklyn,6,20.56
Manhattan,13,20.56
Unknown,23,20.56
Manhattan,17,20.56
Manhattan,10,20.56
Manhattan,15,20.56
Manhattan,2,20.56
Queens,3,20.56
Queens,6,20.56
Queens,5,20.56
Queens,8,20.56
Manhattan,20,20.56
Queens,17,20.56
Bronx,23,20.56
Manhattan,1,20.56
Queens,10,20.56
Manhattan,7,20.56
Queens,2,20.56
Queens,4,20.56
Manhattan,22,20.56
Manhattan,21,20.56
Unknown,12,20.56
Manhattan,6,20.56
Queens,3,20.55
Queens,2,20.55
Queens,12,20.55
Queens,21,20.55
Manhattan,7,20.55
Bronx,8,20.55
Manhattan,9,20.55
Manhattan,21,20.55
Queens,9,20.55
Manhattan,14,20.55
Queens,13,20.55
Manhattan,10,20.55
Manhattan,18,20.55
Manhattan,5,20.55
Unknown,21,20.55
Unknown,9,20.55
Queens,7,20.55
Queens,15,20.55
Bronx,19,20.55
Queens,19,20.55
Queens,5,20.55
Manhattan,13,20.55
Queens,1,20.55
Queens,8,20.55
Unknown,17,20.55
Manhattan,0,20.55
Brooklyn,10,20.55
Manhattan,12,20.55
Queens,20,20.55
Manhattan,19,20.55
Queens,10,20.55
Brooklyn,8,20.55
Queens,22,20.55
Manhattan,4,20.55
Bronx,21,20.55
Queens,11,20.55
Manhattan,11,20.55
Manhattan,2,20.55
Unknown,19,20.55
Unknown,23,20.55
Manhattan,6,20.55
Queens,16,20.55
Manhattan,15,20.55
Manhattan,22,20.55
Queens,23,20.55
