PU_Borough,PUHour,Trip_distance
Unknown,19,7.95
Queens,7,7.95
Bronx,6,7.95
Bronx,0,7.95
Queens,11,7.95
Brooklyn,12,7.95
Bronx,20,7.95
Queens,20,7.95
Brooklyn,2,7.95
Brooklyn,6,7.95
Manhattan,10,7.95
Manhattan,17,7.95
Manhattan,4,7.95
Manhattan,22,7.95
Brooklyn,13,7.95
Unknown,10,7.95
Brooklyn,8,7.95
Queens,22,7.95
Manhattan,8,7.95
Manhattan,3,7.95
Queens,5,7.95
Brooklyn,15,7.95
Manhattan,15,7.95
Unknown,6,7.95
Bronx,22,7.95
Queens,12,7.95
Manhattan,16,7.95
Unknown,23,7.95
Brooklyn,7,7.95
Unknown,4,7.95
Queens,4,7.95
Queens,9,7.95
Brooklyn,19,7.95
Bronx,3,7.95
Queens,17,7.95
Brooklyn,3,7.95
Queens,14,7.95
Queens,21,7.95
Manhattan,12,7.95
Brooklyn,4,7.95
Manhattan,5,7.95
Queens,16,7.95
Manhattan,21,7.95
Unknown,21,7.95
Queens,18,7.95
Unknown,13,7.95
Manhattan,6,7.95
Queens,13,7.95
Unknown,15,7.95
Queens,19,7.95
Brooklyn,1,7.95
Unknown,2,7.95
Unknown,22,7.95
Unknown,14,7.95
Unknown,17,7.95
Brooklyn,17,7.95
Manhattan,23,7.95
Manhattan,18,7.95
Brooklyn,20,7.95
Unknown,7,7.95
Bronx,23,7.95
Bronx,11,7.95
Brooklyn,22,7.95
Queens,1,7.95
Queens,23,7.95
Brooklyn,18,7.95
Bronx,5,7.95
Unknown,18,7.95
Bronx,21,7.95
Brooklyn,9,7.95
Queens,2,7.95
Unknown,12,7.95
Bronx,1,7.95
Manhattan,13,7.95
Bronx,18,7.95
Brooklyn,11,7.95
Brooklyn,0,7.95
Unknown,20,7.95
Bronx,16,7.95
Brooklyn,10,7.95
Queens,8,7.95
Manhattan,11,7.95
Unknown,16,7.95
Manhattan,14,7.95
Queens,3,7.95
Brooklyn,21,7.95
Queens,10,7.95
Manhattan,20,7.95
Queens,6,7.95
Manhattan,9,7.95
Brooklyn,23,7.95
Manhattan,2,7.95
Manhattan,1,7.95
Brooklyn,14,7.95
Manhattan,0,7.95
Queens,0,7.95
Manhattan,7,7.95
Manhattan,19,7.95
Unknown,0,7.95
Queens,15,7.95
Brooklyn,5,7.95
Unknown,22,7.94
Manhattan,15,7.94
Manhattan,22,7.94
Brooklyn,3,7.94
Queens,16,7.94
Manhattan,20,7.94
Unknown,0,7.94
Brooklyn,8,7.94
Unknown,16,7.94
Queens,8,7.94
Queens,22,7.94
Queens,21,7.94
Unknown,23,7.94
Manhattan,6,7.94
Brooklyn,22,7.94
Brooklyn,21,7.94
Unknown,17,7.94
Unknown,19,7.94
Manhattan,23,7.94
Brooklyn,5,7.94
Brooklyn,9,7.94
Queens,5,7.94
Queens,17,7.94
Bronx,16,7.94
Manhattan,16,7.94
Bronx,14,7.94
Unknown,10,7.94
Brooklyn,20,7.94
Queens,11,7.94
Brooklyn,18,7.94
Brooklyn,6,7.94
Bronx,6,7.94
Bronx,9,7.94
Brooklyn,16,7.94
Manhattan,3,7.94
Queens,9,7.94
Manhattan,8,7.94
Brooklyn,15,7.94
Manhattan,4,7.94
Manhattan,2,7.94
Bronx,22,7.94
Queens,7,7.94
Manhattan,9,7.94
Manhattan,18,7.94
Queens,6,7.94
Queens,12,7.94
Queens,2,7.94
Manhattan,19,7.94
Bronx,12,7.94
Queens,3,7.94
Queens,0,7.94
Unknown,18,7.94
Manhattan,11,7.94
Manhattan,7,7.94
Brooklyn,7,7.94
Queens,1,7.94
Manhattan,0,7.94
Queens,18,7.94
Brooklyn,2,7.94
Queens,14,7.94
Bronx,7,7.94
Brooklyn,1,7.94
Unknown,3,7.94
Unknown,12,7.94
Queens,10,7.94
Unknown,21,7.94
Manhattan,13,7.94
Manhattan,21,7.94
Manhattan,17,7.94
Brooklyn,11,7.94
Unknown,1,7.94
Unknown,9,7.94
Queens,19,7.94
Brooklyn,19,7.94
Brooklyn,4,7.94
Bronx,8,7.94
Manhattan,12,7.94
Queens,23,7.94
Brooklyn,12,7.94
Unknown,6,7.94
Unknown,20,7.94
Manhattan,1,7.94
Manhattan,14,7.94
Manhattan,5,7.94
Bronx,17,7.94
Unknown,15,7.94
Unknown,4,7.94
Manhattan,10,7.94
Queens,4,7.94
Unknown,8,7.94
Brooklyn,14,7.94
Brooklyn,23,7.94
Brooklyn,13,7.94
Bronx,1,7.94
Queens,13,7.94
Unknown,5,7.94
Queens,15,7.94
Brooklyn,17,7.94
Queens,20,7.94
Unknown,2,7.94
Brooklyn,10,7.94
Brooklyn,0,7.94
Unknown,0,7.93
Unknown,14,7.93
Brooklyn,19,7.93
Bronx,13,7.93
Manhattan,4,7.93
Unknown,22,7.93
Manhattan,22,7.93
Manhattan,17,7.93
Manhattan,3,7.93
Brooklyn,15,7.93
Manhattan,18,7.93
Bronx,21,7.93
Unknown,13,7.93
Manhattan,10,7.93
Bronx,18,7.93
Brooklyn,2,7.93
Queens,7,7.93
Manhattan,12,7.93
Brooklyn,22,7.93
Brooklyn,7,7.93
Queens,5,7.93
Unknown,2,7.93
Queens,12,7.93
Brooklyn,11,7.93
Staten Island,13,7.93
Brooklyn,12,7.93
Manhattan,6,7.93
Brooklyn,6,7.93
Brooklyn,3,7.93
Bronx,20,7.93
Manhattan,0,7.93
Brooklyn,9,7.93
Brooklyn,0,7.93
Brooklyn,1,7.93
Unknown,15,7.93
Queens,11,7.93
Unknown,3,7.93
Brooklyn,10,7.93
Manhattan,9,7.93
Manhattan,15,7.93
Queens,18,7.93
Unknown,19,7.93
Manhattan,20,7.93
Queens,10,7.93
Bronx,23,7.93
Unknown,12,7.93
Unknown,6,7.93
Unknown,5,7.93
Unknown,1,7.93
Manhattan,19,7.93
Queens,16,7.93
Manhattan,8,7.93
Brooklyn,5,7.93
