PU_Borough,PUHour,Trip_distance
Manhattan,7,24.78
Queens,14,24.78
Brooklyn,6,24.78
Manhattan,5,24.78
Brooklyn,17,24.78
Manhattan,13,24.78
Unknown,11,24.78
Manhattan,11,24.78
Queens,23,24.78
Queens,15,24.78
Manhattan,6,24.78
Manhattan,17,24.78
Manhattan,16,24.78
Queens,8,24.78
Queens,7,24.78
Manhattan,3,24.78
Manhattan,18,24.78
Manhattan,14,24.78
Queens,22,24.78
Queens,16,24.78
Queens,20,24.78
Manhattan,8,24.78
Queens,1,24.78
Unknown,15,24.78
Queens,2,24.78
Manhattan,19,24.78
Manhattan,22,24.78
Manhattan,23,24.78
Queens,13,24.78
Manhattan,20,24.78
Queens,11,24.78
Brooklyn,19,24.78
Manhattan,21,24.78
Queens,10,24.78
Queens,18,24.78
Queens,0,24.78
Queens,9,24.78
Manhattan,4,24.78
Brooklyn,11,24.78
Queens,6,24.78
Manhattan,12,24.78
Manhattan,0,24.78
Manhattan,1,24.78
Queens,12,24.78
Queens,21,24.78
Queens,19,24.78
Queens,17,24.78
Queens,17,24.77
Queens,4,24.77
Bronx,9,24.77
Queens,9,24.77
Queens,6,24.77
Queens,14,24.77
Brooklyn,12,24.77
Queens,11,24.77
Manhattan,9,24.77
Queens,7,24.77
Manhattan,14,24.77
Queens,5,24.77
Queens,23,24.77
Manhattan,12,24.77
Manhattan,4,24.77
Manhattan,11,24.77
Queens,18,24.77
Brooklyn,2,24.77
Manhattan,17,24.77
Manhattan,3,24.77
Staten Island,3,24.77
Queens,10,24.77
Manhattan,20,24.77
Manhattan,2,24.77
Queens,22,24.77
Queens,20,24.77
Queens,16,24.77
Brooklyn,6,24.77
Queens,15,24.77
Manhattan,13,24.77
Queens,8,24.77
Manhattan,23,24.77
Queens,19,24.77
Manhattan,15,24.77
Manhattan,21,24.77
Manhattan,0,24.77
Queens,1,24.77
Queens,12,24.77
Bronx,23,24.77
Queens,13,24.77
Manhattan,22,24.77
Manhattan,18,24.77
Brooklyn,0,24.77
Queens,21,24.77
Manhattan,15,24.76
Queens,20,24.76
Queens,9,24.76
Manhattan,18,24.76
Queens,6,24.76
Queens,5,24.76
Queens,12,24.76
Queens,18,24.76
Manhattan,7,24.76
Queens,11,24.76
Brooklyn,7,24.76
Manhattan,22,24.76
Manhattan,16,24.76
Queens,21,24.76
Queens,7,24.76
Unknown,2,24.76
Manhattan,20,24.76
Manhattan,21,24.76
Queens,16,24.76
Manhattan,13,24.76
Queens,23,24.76
Unknown,22,24.76
Manhattan,11,24.76
Queens,22,24.76
Queens,8,24.76
Queens,15,24.76
Queens,1,24.76
Manhattan,4,24.76
Queens,10,24.76
Manhattan,23,24.76
Manhattan,3,24.76
Queens,19,24.76
Manhattan,12,24.76
Manhattan,19,24.76
Queens,0,24.76
Manhattan,17,24.76
Manhattan,14,24.76
Bronx,8,24.76
Queens,13,24.76
Queens,17,24.76
Brooklyn,16,24.76
Queens,14,24.76
Manhattan,15,24.75
Manhattan,0,24.75
Manhattan,7,24.75
Queens,8,24.75
Queens,7,24.75
Brooklyn,5,24.75
Unknown,10,24.75
Manhattan,19,24.75
Manhattan,20,24.75
Manhattan,23,24.75
Queens,14,24.75
Manhattan,8,24.75
Queens,21,24.75
Queens,23,24.75
Manhattan,2,24.75
Queens,9,24.75
Queens,5,24.75
Queens,17,24.75
Brooklyn,4,24.75
Queens,0,24.75
Manhattan,1,24.75
Queens,10,24.75
Queens,11,24.75
Queens,12,24.75
Queens,15,24.75
Manhattan,3,24.75
Manhattan,21,24.75
Queens,4,24.75
Queens,13,24.75
Queens,1,24.75
Manhattan,22,24.75
Queens,19,24.75
Manhattan,12,24.75
Queens,18,24.75
Queens,22,24.75
Queens,6,24.75
Queens,16,24.75
Manhattan,14,24.75
Manhattan,11,24.75
Queens,20,24.75
Queens,1,24.74
Queens,21,24.74
Queens,23,24.74
Queens,0,24.74
Manhattan,5,24.74
Queens,14,24.74
Queens,8,24.74
Manhattan,2,24.74
Brooklyn,19,24.74
Manhattan,21,24.74
Queens,7,24.74
Manhattan,1,24.74
Manhattan,3,24.74
Manhattan,20,24.74
Queens,17,24.74
Queens,2,24.74
Unknown,2,24.74
Manhattan,9,24.74
Queens,18,24.74
Manhattan,18,24.74
Manhattan,8,24.74
Queens,9,24.74
Queens,13,24.74
Queens,16,24.74
Manhattan,14,24.74
Brooklyn,11,24.74
Queens,12,24.74
Manhattan,23,24.74
Queens,22,24.74
Queens,10,24.74
Manhattan,12,24.74
Manhattan,0,24.74
Queens,19,24.74
Queens,6,24.74
Manhattan,19,24.74
Queens,11,24.74
Manhattan,17,24.74
Manhattan,11,24.74
Queens,20,24.74
Queens,15,24.74
Manhattan,22,24.74
Brooklyn,7,24.73
Manhattan,23,24.73
Manhattan,4,24.73
Manhattan,19,24.73
Queens,11,24.73
Manhattan,14,24.73
Manhattan,6,24.73
Manhattan,15,24.73
Queens,15,24.73
Queens,6,24.73
Queens,22,24.73
Queens,20,24.73
Manhattan,11,24.73
Manhattan,18,24.73
Queens,1,24.73
Manhattan,1,24.73
Queens,13,24.73
Queens,8,24.73
Manhattan,16,24.73
Queens,10,24.73
Queens,18,24.73
Manhattan,12,24.73
Queens,21,24.73
Queens,7,24.73
Queens,16,24.73
Brooklyn,21,24.73
Queens,17,24.73
Manhattan,13,24.73
Manhattan,9,24.73
Queens,9,24.73
Queens,19,24.73
Manhattan,22,24.73
Queens,12,24.73
Manhattan,7,24.73
Queens,14,24.73
Manhattan,3,24.73
Queens,0,24.73
Manhattan,10,24.73
Queens,23,24.73
Manhattan,18,24.72
Brooklyn,5,24.72
Manhattan,16,24.72
Queens,1,24.72
Manhattan,9,24.72
Queens,15,24.72
Manhattan,20,24.72
Manhattan,8,24.72
Manhattan,15,24.72
Manhattan,19,24.72
Manhattan,14,24.72
Queens,6,24.72
Queens,3,24.72
Queens,14,24.72
Queens,22,24.72
Brooklyn,18,24.72
Queens,13,24.72
Manhattan,12,24.72
Queens,7,24.72
Queens,21,24.72
Brooklyn,12,24.72
Queens,5,24.72
Queens,23,24.72
Queens,19,24.72
Manhattan,11,24.72
Manhattan,0,24.72
Queens,9,24.72
Bronx,18,24.72
Manhattan,23,24.72
Queens,0,24.72
Brooklyn,16,24.72
Queens,17,24.72
Queens,8,24.72
Queens,20,24.72
Queens,16,24.72
Queens,18,24.72
Queens,10,24.72
Queens,12,24.72
Unknown,9,24.72
Manhattan,21,24.72
Manhattan,13,24.72
Unknown,22,24.72
Queens,4,24.72
Manhattan,1,24.72
Manhattan,0,24.71
Manhattan,12,24.71
Manhattan,10,24.71
Queens,13,24.71
Unknown,11,24.71
Queens,9,24.71
Queens,6,24.71
Manhattan,17,24.71
Manhattan,20,24.71
Queens,10,24.71
Queens,15,24.71
Manhattan,11,24.71
Bronx,21,24.71
Queens,7,24.71
Bronx,13,24.71
Queens,21,24.71
Queens,23,24.71
Queens,8,24.71
Queens,0,24.71
Manhattan,15,24.71
Manhattan,13,24.71
Manhattan,5,24.71
Queens,19,24.71
Manhattan,7,24.71
Manhattan,16,24.71
Manhattan,22,24.71
Manhattan,23,24.71
Queens,14,24.71
Queens,11,24.71
Manhattan,19,24.71
Queens,3,24.71
Queens,1,24.71
Manhattan,18,24.71
Manhattan,14,24.71
Queens,16,24.71
Brooklyn,0,24.71
Manhattan,3,24.71
Queens,22,24.71
Manhattan,6,24.71
Queens,17,24.71
Manhattan,4,24.71
Queens,12,24.71
Manhattan,21,24.71
Queens,20,24.71
Queens,4,24.71
Queens,0,24.7
Queens,1,24.7
Manhattan,1,24.7
Manhattan,11,24.7
EWR,11,24.7
Manhattan,8,24.7
Unknown,15,24.7
Queens,4,24.7
Unknown,14,24.7
Queens,15,24.7
Queens,16,24.7
Manhattan,2,24.7
Brooklyn,2,24.7
Manhattan,12,24.7
Unknown,8,24.7
Unknown,21,24.7
Manhattan,19,24.7
Bronx,6,24.7
Unknown,22,24.7
Brooklyn,3,24.7
Manhattan,7,24.7
Manhattan,4,24.7
Queens,2,24.7
Queens,9,24.7
Queens,11,24.7
Brooklyn,15,24.7
Queens,21,24.7
Bronx,2,24.7
Manhattan,17,24.7
Unknown,20,24.7
Manhattan,23,24.7
Unknown,17,24.7
Queens,8,24.7
Manhattan,9,24.7
Manhattan,5,24.7
Manhattan,6,24.7
Manhattan,22,24.7
Queens,23,24.7
Queens,13,24.7
Queens,22,24.7
Unknown,19,24.7
Manhattan,18,24.7
Unknown,16,24.7
Brooklyn,16,24.7
Queens,7,24.7
Manhattan,14,24.7
Brooklyn,0,24.7
Manhattan,15,24.7
Brooklyn,11,24.7
Brooklyn,22,24.7
Queens,3,24.7
Queens,12,24.7
Unknown,13,24.7
Manhattan,21,24.7
Unknown,10,24.7
Manhattan,0,24.7
Unknown,18,24.7
Queens,19,24.7
Queens,17,24.7
Unknown,9,24.7
EWR,17,24.7
Manhattan,16,24.7
Manhattan,10,24.7
Bronx,3,24.7
Brooklyn,6,24.7
Queens,14,24.7
Unknown,6,24.7
Brooklyn,8,24.7
Unknown,23,24.7
Unknown,0,24.7
Manhattan,20,24.7
Manhattan,3,24.7
Queens,10,24.7
Brooklyn,20,24.7
Manhattan,13,24.7
Unknown,12,24.7
Queens,18,24.7
Queens,5,24.7
Bronx,14,24.7
Queens,6,24.7
Brooklyn,18,24.7
Queens,20,24.7
Queens,23,24.69
Brooklyn,14,24.69
Queens,15,24.69
Queens,10,24.69
Manhattan,16,24.69
Queens,19,24.69
Bronx,3,24.69
Manhattan,6,24.69
Manhattan,11,24.69
Manhattan,2,24.69
Manhattan,1,24.69
Manhattan,10,24.69
Manhattan,9,24.69
Queens,0,24.69
Manhattan,21,24.69
Manhattan,8,24.69
Queens,13,24.69
Queens,8,24.69
Manhattan,0,24.69
Manhattan,12,24.69
Manhattan,3,24.69
Brooklyn,15,24.69
Queens,9,24.69
Manhattan,5,24.69
Manhattan,15,24.69
Queens,20,24.69
Manhattan,19,24.69
Unknown,22,24.69
Queens,22,24.69
Queens,18,24.69
Queens,7,24.69
Queens,1,24.69
Manhattan,14,24.69
Manhattan,17,24.69
Queens,5,24.69
Manhattan,18,24.69
Queens,11,24.69
Queens,12,24.69
Manhattan,13,24.69
Manhattan,20,24.69
Manhattan,22,24.69
Queens,14,24.69
Queens,21,24.69
Queens,16,24.69
Queens,6,24.69
Queens,17,24.69
Queens,23,24.68
Manhattan,18,24.68
Queens,17,24.68
Queens,6,24.68
Manhattan,21,24.68
Queens,13,24.68
Queens,11,24.68
Queens,12,24.68
Queens,3,24.68
Manhattan,13,24.68
Manhattan,15,24.68
Queens,18,24.68
Queens,9,24.68
Unknown,15,24.68
Queens,0,24.68
Manhattan,2,24.68
Queens,15,24.68
Queens,22,24.68
Manhattan,17,24.68
Manhattan,11,24.68
Manhattan,10,24.68
Manhattan,14,24.68
Manhattan,5,24.68
Queens,19,24.68
Manhattan,0,24.68
Queens,20,24.68
Queens,10,24.68
Queens,16,24.68
Queens,5,24.68
Queens,2,24.68
Queens,8,24.68
Queens,14,24.68
Queens,21,24.68
Manhattan,9,24.68
Manhattan,22,24.68
Manhattan,1,24.68
Manhattan,23,24.68
Queens,7,24.68
Manhattan,12,24.68
Queens,4,24.68
Queens,1,24.68
Manhattan,20,24.68
Queens,12,24.67
Manhattan,11,24.67
Manhattan,9,24.67
Queens,9,24.67
Queens,8,24.67
Queens,16,24.67
Manhattan,23,24.67
Queens,14,24.67
Queens,20,24.67
Manhattan,19,24.67
Queens,19,24.67
Queens,0,24.67
Queens,17,24.67
Manhattan,21,24.67
Manhattan,4,24.67
Manhattan,1,24.67
Queens,23,24.67
Queens,13,24.67
Manhattan,5,24.67
Manhattan,18,24.67
Queens,1,24.67
Manhattan,8,24.67
Manhattan,14,24.67
Queens,6,24.67
Queens,15,24.67
Queens,18,24.67
Queens,5,24.67
Manhattan,22,24.67
Manhattan,3,24.67
Queens,11,24.67
Queens,21,24.67
Manhattan,10,24.67
Queens,7,24.67
