PU_Borough,PUHour,Trip_distance
Queens,2,2.79
Brooklyn,0,2.79
Brooklyn,6,2.79
Queens,16,2.79
Queens,8,2.79
Brooklyn,1,2.79
Brooklyn,5,2.79
Bronx,16,2.79
Manhattan,15,2.79
Manhattan,13,2.79
Manhattan,0,2.79
Queens,4,2.79
Manhattan,5,2.79
Queens,5,2.79
Brooklyn,23,2.79
Brooklyn,10,2.79
Unknown,14,2.79
EWR,9,2.79
Queens,9,2.79
Queens,19,2.79
Unknown,4,2.79
Bronx,18,2.79
Manhattan,2,2.79
Bronx,9,2.79
Unknown,10,2.79
Manhattan,23,2.79
Manhattan,14,2.79
Brooklyn,18,2.79
Unknown,1,2.79
Unknown,17,2.79
Queens,21,2.79
Manhattan,22,2.79
Manhattan,17,2.79
Brooklyn,2,2.79
Unknown,7,2.79
Manhattan,16,2.79
Brooklyn,7,2.79
Bronx,8,2.79
Bronx,0,2.79
Brooklyn,17,2.79
Staten Island,7,2.79
Bronx,22,2.79
Manhattan,9,2.79
Bronx,17,2.79
Manhattan,11,2.79
Manhattan,10,2.79
Manhattan,6,2.79
Queens,7,2.79
Unknown,6,2.79
Manhattan,18,2.79
Brooklyn,14,2.79
Unknown,11,2.79
Staten Island,6,2.79
Brooklyn,21,2.79
Bronx,6,2.79
Bronx,3,2.79
Queens,0,2.79
Brooklyn,22,2.79
Unknown,5,2.79
Brooklyn,15,2.79
Brooklyn,13,2.79
Queens,13,2.79
Unknown,20,2.79
Brooklyn,16,2.79
Manhattan,21,2.79
Queens,15,2.79
Bronx,10,2.79
Queens,14,2.79
Queens,3,2.79
Bronx,13,2.79
Queens,23,2.79
Unknown,16,2.79
Bronx,7,2.79
Queens,6,2.79
Unknown,22,2.79
Unknown,15,2.79
Bronx,4,2.79
Bronx,23,2.79
Unknown,12,2.79
Brooklyn,3,2.79
Brooklyn,9,2.79
Bronx,5,2.79
Bronx,12,2.79
Queens,22,2.79
Queens,11,2.79
Brooklyn,12,2.79
Queens,10,2.79
Queens,1,2.79
Brooklyn,20,2.79
Manhattan,12,2.79
Unknown,9,2.79
Manhattan,4,2.79
Brooklyn,19,2.79
Unknown,13,2.79
Queens,20,2.79
Manhattan,7,2.79
Manhattan,1,2.79
Manhattan,3,2.79
Unknown,18,2.79
Unknown,8,2.79
Manhattan,20,2.79
Unknown,21,2.79
Brooklyn,11,2.79
Queens,18,2.79
Queens,17,2.79
Unknown,19,2.79
Bronx,1,2.79
Bronx,11,2.79
Queens,12,2.79
Brooklyn,4,2.79
Unknown,2,2.79
Manhattan,8,2.79
Bronx,19,2.79
Bronx,20,2.79
Brooklyn,8,2.79
Bronx,15,2.79
Unknown,23,2.79
Unknown,3,2.79
Unknown,0,2.79
Manhattan,19,2.79
Manhattan,7,2.78
Manhattan,13,2.78
Queens,17,2.78
Unknown,9,2.78
Unknown,3,2.78
Unknown,12,2.78
Bronx,7,2.78
Brooklyn,2,2.78
Brooklyn,17,2.78
Bronx,17,2.78
Brooklyn,16,2.78
Manhattan,6,2.78
Manhattan,16,2.78
Manhattan,4,2.78
Bronx,18,2.78
Unknown,7,2.78
Unknown,18,2.78
Brooklyn,10,2.78
Brooklyn,14,2.78
Queens,19,2.78
Bronx,12,2.78
Manhattan,21,2.78
Bronx,23,2.78
Queens,23,2.78
Unknown,6,2.78
Brooklyn,7,2.78
Manhattan,20,2.78
Queens,11,2.78
Manhattan,0,2.78
Manhattan,5,2.78
Queens,7,2.78
Brooklyn,3,2.78
Unknown,22,2.78
Unknown,23,2.78
Queens,14,2.78
Brooklyn,8,2.78
Manhattan,17,2.78
Queens,20,2.78
Manhattan,10,2.78
Bronx,5,2.78
Queens,1,2.78
Bronx,20,2.78
Queens,22,2.78
Queens,3,2.78
Brooklyn,9,2.78
Manhattan,9,2.78
Brooklyn,5,2.78
Brooklyn,20,2.78
Bronx,0,2.78
Brooklyn,13,2.78
Queens,0,2.78
Queens,16,2.78
Manhattan,8,2.78
Brooklyn,4,2.78
Brooklyn,22,2.78
Unknown,0,2.78
Unknown,8,2.78
Manhattan,11,2.78
Brooklyn,15,2.78
Brooklyn,11,2.78
Queens,13,2.78
Manhattan,18,2.78
Bronx,2,2.78
Bronx,3,2.78
Queens,8,2.78
Unknown,1,2.78
Manhattan,1,2.78
Manhattan,14,2.78
Queens,10,2.78
Bronx,11,2.78
Manhattan,12,2.78
Bronx,16,2.78
Unknown,15,2.78
Brooklyn,0,2.78
Bronx,9,2.78
Bronx,22,2.78
Unknown,19,2.78
Unknown,14,2.78
Unknown,13,2.78
Unknown,4,2.78
Unknown,16,2.78
Manhattan,2,2.78
Manhattan,19,2.78
Manhattan,15,2.78
Unknown,2,2.78
Bronx,10,2.78
Unknown,5,2.78
Bronx,13,2.78
Queens,15,2.78
Manhattan,22,2.78
Brooklyn,12,2.78
Brooklyn,6,2.78
Queens,6,2.78
Queens,5,2.78
Bronx,19,2.78
Unknown,20,2.78
Brooklyn,19,2.78
Unknown,10,2.78
Bronx,8,2.78
Unknown,17,2.78
Queens,18,2.78
Brooklyn,18,2.78
Unknown,11,2.78
Manhattan,23,2.78
Bronx,15,2.78
Bronx,21,2.78
Brooklyn,21,2.78
Queens,12,2.78
Queens,9,2.78
Bronx,1,2.78
Queens,21,2.78
Unknown,21,2.78
Brooklyn,1,2.78
Manhattan,3,2.78
Queens,2,2.78
Brooklyn,23,2.78
Queens,4,2.78
Bronx,14,2.78
Queens,4,2.77
Unknown,8,2.77
Unknown,5,2.77
Unknown,6,2.77
Unknown,1,2.77
Queens,23,2.77
Queens,19,2.77
Bronx,16,2.77
Brooklyn,5,2.77
Unknown,3,2.77
Queens,12,2.77
Queens,9,2.77
Queens,0,2.77
Unknown,11,2.77
Bronx,3,2.77
Manhattan,3,2.77
Bronx,8,2.77
Queens,2,2.77
Queens,15,2.77
Bronx,6,2.77
Brooklyn,11,2.77
Bronx,19,2.77
Bronx,5,2.77
Manhattan,19,2.77
Brooklyn,15,2.77
Brooklyn,4,2.77
Queens,22,2.77
Queens,1,2.77
Manhattan,22,2.77
Bronx,10,2.77
Manhattan,20,2.77
Bronx,12,2.77
Queens,13,2.77
Bronx,2,2.77
Brooklyn,0,2.77
Manhattan,17,2.77
Brooklyn,3,2.77
Unknown,9,2.77
Brooklyn,20,2.77
Bronx,7,2.77
Manhattan,0,2.77
Manhattan,21,2.77
Queens,20,2.77
Bronx,22,2.77
Queens,6,2.77
Bronx,0,2.77
Manhattan,7,2.77
Unknown,2,2.77
Manhattan,14,2.77
Unknown,18,2.77
Manhattan,2,2.77
Brooklyn,16,2.77
Unknown,4,2.77
Manhattan,15,2.77
Bronx,20,2.77
Manhattan,4,2.77
Bronx,11,2.77
Manhattan,18,2.77
Unknown,14,2.77
Unknown,12,2.77
Unknown,13,2.77
Manhattan,10,2.77
Brooklyn,19,2.77
Manhattan,13,2.77
Unknown,16,2.77
Manhattan,9,2.77
Unknown,17,2.77
Manhattan,8,2.77
Unknown,19,2.77
Staten Island,0,2.77
Manhattan,5,2.77
Queens,11,2.77
Bronx,9,2.77
Brooklyn,7,2.77
Brooklyn,18,2.77
Bronx,18,2.77
Bronx,15,2.77
Manhattan,12,2.77
Unknown,10,2.77
Brooklyn,13,2.77
Unknown,22,2.77
Brooklyn,10,2.77
Manhattan,1,2.77
Brooklyn,21,2.77
Unknown,20,2.77
Bronx,17,2.77
Manhattan,23,2.77
Brooklyn,23,2.77
Manhattan,6,2.77
Queens,5,2.77
Unknown,0,2.77
Queens,7,2.77
Bronx,21,2.77
Brooklyn,8,2.77
Queens,17,2.77
Brooklyn,1,2.77
Bronx,13,2.77
Brooklyn,12,2.77
Unknown,21,2.77
Queens,3,2.77
Queens,8,2.77
Queens,21,2.77
