PU_Borough,PUHour,Trip_distance
Manhattan,0,25.67
Manhattan,1,25.67
Queens,14,25.67
Queens,2,25.67
Manhattan,7,25.67
Manhattan,8,25.67
Queens,5,25.67
Queens,19,25.67
Manhattan,19,25.67
Queens,9,25.67
Queens,17,25.67
Brooklyn,7,25.67
Manhattan,22,25.67
Queens,23,25.67
Queens,13,25.67
Manhattan,17,25.67
Queens,11,25.67
Queens,15,25.67
Queens,22,25.67
Queens,18,25.67
Queens,4,25.67
Queens,0,25.67
Manhattan,21,25.67
Manhattan,2,25.67
Queens,12,25.67
Queens,16,25.67
Manhattan,14,25.67
Queens,20,25.67
Queens,7,25.67
Queens,8,25.67
Queens,21,25.67
Manhattan,20,25.67
Manhattan,13,25.67
Queens,6,25.67
Manhattan,8,25.66
Queens,23,25.66
Manhattan,0,25.66
Queens,16,25.66
Manhattan,7,25.66
Queens,12,25.66
Queens,15,25.66
Queens,7,25.66
Manhattan,5,25.66
Queens,9,25.66
Queens,17,25.66
Manhattan,16,25.66
Queens,19,25.66
Manhattan,2,25.66
Manhattan,13,25.66
Manhattan,23,25.66
Manhattan,11,25.66
Queens,22,25.66
Queens,20,25.66
Queens,5,25.66
Queens,13,25.66
Queens,14,25.66
Manhattan,20,25.66
Queens,6,25.66
Queens,8,25.66
Manhattan,14,25.66
Manhattan,12,25.66
Queens,0,25.66
Queens,18,25.66
Manhattan,9,25.66
Brooklyn,7,25.66
Manhattan,18,25.66
Queens,21,25.66
Queens,1,25.66
Brooklyn,8,25.66
Manhattan,15,25.66
Queens,10,25.66
Queens,11,25.66
Bronx,18,25.65
Queens,22,25.65
Queens,17,25.65
Queens,8,25.65
Queens,16,25.65
Brooklyn,19,25.65
Queens,14,25.65
Queens,5,25.65
Queens,23,25.65
Manhattan,8,25.65
Manhattan,22,25.65
Queens,7,25.65
Manhattan,15,25.65
Manhattan,13,25.65
Queens,6,25.65
Manhattan,9,25.65
Manhattan,17,25.65
Manhattan,14,25.65
Manhattan,21,25.65
Manhattan,6,25.65
Manhattan,16,25.65
Queens,18,25.65
Manhattan,10,25.65
Manhattan,0,25.65
Manhattan,11,25.65
Queens,19,25.65
Queens,20,25.65
Queens,13,25.65
Manhattan,20,25.65
Queens,15,25.65
Manhattan,4,25.65
Queens,9,25.65
Queens,10,25.65
Queens,11,25.65
Manhattan,1,25.65
Queens,21,25.65
Queens,0,25.65
Manhattan,3,25.65
Brooklyn,9,25.65
Queens,12,25.65
Queens,1,25.64
Queens,19,25.64
Queens,14,25.64
Queens,11,25.64
Queens,23,25.64
Brooklyn,18,25.64
Queens,0,25.64
Manhattan,23,25.64
Queens,12,25.64
Brooklyn,16,25.64
Queens,18,25.64
Queens,9,25.64
Queens,16,25.64
Queens,15,25.64
Manhattan,22,25.64
Manhattan,19,25.64
Unknown,17,25.64
Queens,8,25.64
Queens,22,25.64
Manhattan,18,25.64
Queens,17,25.64
Manhattan,2,25.64
Queens,5,25.64
Manhattan,9,25.64
Queens,7,25.64
Manhattan,0,25.64
Queens,10,25.64
Manhattan,16,25.64
Queens,13,25.64
Manhattan,21,25.64
Queens,6,25.64
Manhattan,20,25.64
Manhattan,3,25.64
Manhattan,14,25.64
Queens,21,25.64
Queens,20,25.64
Manhattan,11,25.64
Manhattan,12,25.64
Manhattan,18,25.63
Queens,17,25.63
Queens,9,25.63
Queens,4,25.63
Manhattan,16,25.63
Manhattan,21,25.63
Manhattan,1,25.63
Manhattan,15,25.63
Queens,20,25.63
Queens,11,25.63
Queens,7,25.63
Manhattan,17,25.63
Manhattan,6,25.63
Queens,18,25.63
Manhattan,14,25.63
Manhattan,22,25.63
Manhattan,23,25.63
Queens,1,25.63
Queens,8,25.63
Manhattan,20,25.63
Manhattan,2,25.63
Queens,0,25.63
Queens,15,25.63
Queens,6,25.63
Manhattan,13,25.63
Queens,5,25.63
Queens,12,25.63
Queens,16,25.63
Queens,22,25.63
Queens,13,25.63
Queens,14,25.63
Manhattan,0,25.63
Manhattan,9,25.63
Queens,21,25.63
Queens,23,25.63
Manhattan,8,25.63
Queens,19,25.63
Manhattan,3,25.63
