PU_Borough,PUHour,Trip_distance
Queens,10,22.79
Manhattan,5,22.79
Bronx,12,22.79
Manhattan,2,22.79
Manhattan,17,22.79
Queens,3,22.79
Queens,6,22.79
Manhattan,9,22.79
Queens,16,22.79
Queens,21,22.79
Manhattan,7,22.79
Unknown,2,22.79
Queens,0,22.79
Queens,2,22.79
Queens,11,22.79
Queens,14,22.79
Queens,19,22.79
Queens,20,22.79
Queens,18,22.79
Queens,23,22.79
Manhattan,12,22.79
Manhattan,16,22.79
Queens,12,22.79
Manhattan,10,22.79
Queens,9,22.79
Manhattan,23,22.79
Unknown,14,22.79
Manhattan,0,22.79
Queens,17,22.79
Queens,1,22.79
Queens,22,22.79
Manhattan,6,22.79
Manhattan,18,22.79
Manhattan,1,22.79
Manhattan,11,22.79
Manhattan,22,22.79
Manhattan,14,22.79
Queens,13,22.79
Manhattan,13,22.79
Unknown,13,22.79
Manhattan,19,22.79
Manhattan,4,22.79
Queens,4,22.79
Brooklyn,0,22.79
Brooklyn,15,22.79
Manhattan,15,22.79
Manhattan,21,22.79
Manhattan,20,22.79
Brooklyn,8,22.79
Unknown,17,22.79
Queens,15,22.79
Manhattan,8,22.79
Queens,7,22.79
Unknown,18,22.79
Queens,5,22.79
Queens,8,22.79
Manhattan,19,22.78
Manhattan,7,22.78
Queens,15,22.78
Queens,10,22.78
Bronx,20,22.78
Manhattan,5,22.78
Queens,13,22.78
Manhattan,0,22.78
Manhattan,8,22.78
Queens,9,22.78
Queens,19,22.78
Manhattan,6,22.78
Queens,17,22.78
Manhattan,14,22.78
Manhattan,23,22.78
Manhattan,3,22.78
Manhattan,11,22.78
Queens,0,22.78
Manhattan,20,22.78
Manhattan,21,22.78
Manhattan,10,22.78
Queens,11,22.78
Staten Island,0,22.78
Manhattan,15,22.78
Queens,16,22.78
Unknown,1,22.78
Queens,20,22.78
Bronx,17,22.78
Manhattan,18,22.78
Manhattan,12,22.78
Queens,21,22.78
Manhattan,22,22.78
Bronx,19,22.78
Manhattan,17,22.78
Manhattan,16,22.78
Queens,14,22.78
Queens,6,22.78
Brooklyn,8,22.78
Manhattan,1,22.78
Unknown,12,22.78
Queens,5,22.78
Queens,7,22.78
Manhattan,9,22.78
Manhattan,13,22.78
Queens,22,22.78
Queens,2,22.78
Manhattan,2,22.78
Queens,18,22.78
Unknown,16,22.78
Queens,8,22.78
Queens,12,22.78
Manhattan,4,22.78
Queens,1,22.78
Queens,23,22.78
Manhattan,2,22.77
Queens,2,22.77
Queens,1,22.77
Manhattan,9,22.77
Manhattan,22,22.77
Queens,16,22.77
Queens,11,22.77
Manhattan,21,22.77
Manhattan,10,22.77
Manhattan,1,22.77
Queens,23,22.77
Manhattan,0,22.77
Queens,15,22.77
Brooklyn,2,22.77
Queens,17,22.77
Manhattan,12,22.77
Queens,21,22.77
Brooklyn,16,22.77
Manhattan,7,22.77
Queens,12,22.77
Queens,22,22.77
Queens,9,22.77
Queens,20,22.77
Manhattan,19,22.77
Manhattan,20,22.77
Queens,8,22.77
Staten Island,5,22.77
Manhattan,5,22.77
Manhattan,15,22.77
Queens,18,22.77
Queens,6,22.77
Manhattan,14,22.77
Manhattan,17,22.77
Manhattan,3,22.77
Manhattan,16,22.77
Queens,10,22.77
Queens,19,22.77
Queens,7,22.77
Manhattan,23,22.77
Manhattan,11,22.77
Manhattan,13,22.77
Manhattan,6,22.77
Queens,13,22.77
Queens,5,22.77
Manhattan,18,22.77
Queens,0,22.77
Queens,14,22.77
Manhattan,8,22.77
Manhattan,4,22.77
Queens,3,22.76
Manhattan,13,22.76
Queens,6,22.76
Queens,15,22.76
Manhattan,22,22.76
Queens,20,22.76
Manhattan,17,22.76
Unknown,15,22.76
Queens,2,22.76
Queens,14,22.76
Manhattan,18,22.76
Manhattan,12,22.76
Manhattan,5,22.76
Manhattan,9,22.76
Queens,21,22.76
Queens,22,22.76
Queens,7,22.76
Manhattan,14,22.76
Queens,9,22.76
Manhattan,3,22.76
Manhattan,21,22.76
Queens,23,22.76
Bronx,17,22.76
Queens,19,22.76
Manhattan,19,22.76
Queens,17,22.76
Queens,4,22.76
Queens,0,22.76
Manhattan,11,22.76
Queens,5,22.76
Manhattan,16,22.76
Queens,18,22.76
Manhattan,1,22.76
Manhattan,7,22.76
Manhattan,15,22.76
Unknown,20,22.76
Queens,8,22.76
Manhattan,20,22.76
Manhattan,0,22.76
Unknown,19,22.76
Queens,12,22.76
Manhattan,8,22.76
Queens,1,22.76
Manhattan,23,22.76
Queens,11,22.76
Queens,16,22.76
Queens,13,22.76
Queens,10,22.76
Manhattan,10,22.76
Queens,10,22.75
Manhattan,10,22.75
Queens,23,22.75
Manhattan,11,22.75
Queens,7,22.75
Queens,22,22.75
Queens,19,22.75
Queens,17,22.75
Queens,11,22.75
Queens,20,22.75
Queens,16,22.75
Queens,21,22.75
Queens,3,22.75
Queens,13,22.75
Manhattan,2,22.75
Manhattan,23,22.75
Manhattan,15,22.75
Queens,1,22.75
Queens,15,22.75
Manhattan,6,22.75
Manhattan,9,22.75
Queens,14,22.75
Queens,8,22.75
Manhattan,7,22.75
Queens,18,22.75
Queens,5,22.75
Queens,6,22.75
Brooklyn,12,22.75
Manhattan,5,22.75
Queens,4,22.75
Unknown,20,22.75
Manhattan,14,22.75
Manhattan,12,22.75
Unknown,6,22.75
Manhattan,13,22.75
Manhattan,21,22.75
Manhattan,18,22.75
Manhattan,20,22.75
Manhattan,8,22.75
Manhattan,1,22.75
Manhattan,16,22.75
Brooklyn,0,22.75
Manhattan,0,22.75
Bronx,23,22.75
Manhattan,22,22.75
Manhattan,19,22.75
Queens,0,22.75
Queens,9,22.75
Manhattan,4,22.75
Queens,12,22.75
Manhattan,17,22.75
Manhattan,3,22.75
Queens,10,22.74
Manhattan,14,22.74
Queens,15,22.74
Queens,23,22.74
Manhattan,17,22.74
Manhattan,15,22.74
Manhattan,5,22.74
Unknown,20,22.74
Queens,13,22.74
Manhattan,7,22.74
Queens,12,22.74
Queens,14,22.74
Queens,5,22.74
Queens,8,22.74
Queens,6,22.74
Unknown,14,22.74
Manhattan,20,22.74
Queens,9,22.74
Brooklyn,11,22.74
Manhattan,8,22.74
Manhattan,0,22.74
Manhattan,16,22.74
Queens,2,22.74
Queens,7,22.74
Manhattan,18,22.74
Manhattan,11,22.74
Manhattan,1,22.74
Queens,19,22.74
Queens,4,22.74
Brooklyn,21,22.74
Manhattan,22,22.74
Manhattan,21,22.74
Manhattan,12,22.74
Queens,21,22.74
Manhattan,2,22.74
Queens,1,22.74
Manhattan,13,22.74
Manhattan,19,22.74
Queens,20,22.74
Manhattan,3,22.74
Manhattan,23,22.74
Queens,0,22.74
Manhattan,9,22.74
Queens,11,22.74
Queens,18,22.74
Manhattan,6,22.74
Manhattan,10,22.74
Brooklyn,6,22.74
Queens,16,22.74
Queens,17,22.74
Queens,22,22.74
Queens,3,22.74
Queens,10,22.73
Queens,14,22.73
Queens,6,22.73
Queens,5,22.73
Unknown,16,22.73
Queens,1,22.73
Bronx,2,22.73
Queens,18,22.73
Manhattan,7,22.73
Queens,22,22.73
Manhattan,14,22.73
Queens,15,22.73
Manhattan,23,22.73
Queens,13,22.73
Manhattan,12,22.73
