PU_Borough,PUHour,Trip_distance
Queens,16,1.99
Bronx,6,1.99
Manhattan,12,1.99
Unknown,23,1.99
Brooklyn,0,1.99
Manhattan,0,1.99
Bronx,11,1.99
Brooklyn,12,1.99
Manhattan,8,1.99
Brooklyn,3,1.99
Unknown,0,1.99
Staten Island,10,1.99
Manhattan,15,1.99
Manhattan,18,1.99
Manhattan,2,1.99
Manhattan,17,1.99
Unknown,3,1.99
Brooklyn,20,1.99
Manhattan,22,1.99
Manhattan,16,1.99
Manhattan,1,1.99
Manhattan,20,1.99
Bronx,7,1.99
Queens,20,1.99
Queens,4,1.99
Queens,2,1.99
Queens,22,1.99
Queens,11,1.99
Brooklyn,13,1.99
Manhattan,3,1.99
Queens,23,1.99
Bronx,10,1.99
Bronx,20,1.99
Unknown,12,1.99
Unknown,21,1.99
Brooklyn,18,1.99
Bronx,19,1.99
Unknown,19,1.99
Manhattan,23,1.99
Queens,0,1.99
Manhattan,4,1.99
Bronx,4,1.99
Brooklyn,2,1.99
Bronx,5,1.99
Unknown,14,1.99
Manhattan,14,1.99
Queens,15,1.99
Brooklyn,15,1.99
Manhattan,6,1.99
Brooklyn,8,1.99
Unknown,20,1.99
Bronx,16,1.99
Brooklyn,1,1.99
Queens,21,1.99
Bronx,12,1.99
Staten Island,6,1.99
Unknown,17,1.99
Bronx,9,1.99
Brooklyn,9,1.99
Queens,12,1.99
Brooklyn,5,1.99
Manhattan,13,1.99
Queens,19,1.99
Queens,7,1.99
Bronx,0,1.99
Brooklyn,22,1.99
Brooklyn,4,1.99
Manhattan,5,1.99
Brooklyn,6,1.99
Unknown,1,1.99
Brooklyn,16,1.99
Brooklyn,10,1.99
Queens,13,1.99
Bronx,2,1.99
Queens,6,1.99
Manhattan,21,1.99
Brooklyn,14,1.99
Unknown,18,1.99
Unknown,15,1.99
Unknown,13,1.99
Queens,8,1.99
Unknown,11,1.99
Brooklyn,11,1.99
Brooklyn,19,1.99
Queens,18,1.99
Brooklyn,7,1.99
Queens,17,1.99
Queens,14,1.99
Unknown,7,1.99
Manhattan,11,1.99
Unknown,16,1.99
Unknown,5,1.99
Queens,3,1.99
Bronx,23,1.99
Brooklyn,17,1.99
Manhattan,10,1.99
Bronx,17,1.99
Unknown,22,1.99
Bronx,18,1.99
Bronx,8,1.99
Unknown,6,1.99
Brooklyn,21,1.99
Manhattan,19,1.99
Unknown,9,1.99
Bronx,15,1.99
Queens,9,1.99
Unknown,4,1.99
Bronx,14,1.99
Unknown,8,1.99
Bronx,22,1.99
Manhattan,9,1.99
Queens,1,1.99
Bronx,21,1.99
Unknown,2,1.99
Manhattan,7,1.99
Brooklyn,23,1.99
Queens,10,1.99
Unknown,10,1.99
Bronx,13,1.99
Queens,5,1.99
Bronx,1,1.99
Unknown,0,1.98
Queens,2,1.98
Manhattan,8,1.98
Unknown,6,1.98
Bronx,2,1.98
Unknown,9,1.98
Brooklyn,20,1.98
Manhattan,5,1.98
Queens,23,1.98
Bronx,18,1.98
Manhattan,18,1.98
Bronx,14,1.98
Unknown,17,1.98
Queens,17,1.98
Bronx,0,1.98
Brooklyn,0,1.98
Manhattan,1,1.98
Unknown,11,1.98
Queens,13,1.98
Unknown,1,1.98
Unknown,18,1.98
Staten Island,16,1.98
Bronx,16,1.98
Queens,20,1.98
Unknown,2,1.98
Queens,12,1.98
Unknown,10,1.98
Queens,10,1.98
Queens,7,1.98
Manhattan,15,1.98
Bronx,21,1.98
Bronx,15,1.98
Manhattan,3,1.98
Bronx,17,1.98
Brooklyn,19,1.98
Brooklyn,22,1.98
Brooklyn,11,1.98
Brooklyn,21,1.98
Manhattan,13,1.98
Manhattan,0,1.98
Bronx,1,1.98
Brooklyn,4,1.98
Brooklyn,6,1.98
Manhattan,19,1.98
Bronx,10,1.98
Manhattan,9,1.98
Bronx,20,1.98
Brooklyn,3,1.98
Unknown,23,1.98
Manhattan,10,1.98
Queens,3,1.98
Unknown,7,1.98
Queens,18,1.98
Manhattan,16,1.98
Manhattan,20,1.98
Bronx,11,1.98
Brooklyn,23,1.98
Brooklyn,14,1.98
Queens,15,1.98
Queens,11,1.98
Manhattan,6,1.98
Queens,4,1.98
Bronx,13,1.98
Manhattan,14,1.98
Bronx,23,1.98
Brooklyn,16,1.98
Manhattan,23,1.98
Queens,9,1.98
Manhattan,21,1.98
Unknown,13,1.98
Unknown,12,1.98
Brooklyn,18,1.98
Queens,22,1.98
Brooklyn,12,1.98
Queens,16,1.98
Unknown,20,1.98
Unknown,21,1.98
Queens,19,1.98
Brooklyn,7,1.98
Bronx,8,1.98
Queens,1,1.98
Brooklyn,15,1.98
Unknown,8,1.98
Unknown,14,1.98
Manhattan,22,1.98
Manhattan,4,1.98
Manhattan,11,1.98
Brooklyn,13,1.98
Brooklyn,17,1.98
Bronx,4,1.98
Unknown,22,1.98
Queens,8,1.98
Bronx,19,1.98
Queens,14,1.98
Bronx,5,1.98
Manhattan,2,1.98
Manhattan,7,1.98
Brooklyn,5,1.98
Unknown,5,1.98
Manhattan,17,1.98
Bronx,7,1.98
Bronx,22,1.98
Bronx,3,1.98
Unknown,19,1.98
Unknown,3,1.98
Brooklyn,10,1.98
Unknown,16,1.98
Bronx,9,1.98
Queens,6,1.98
Brooklyn,8,1.98
Bronx,6,1.98
Manhattan,12,1.98
Unknown,4,1.98
Queens,0,1.98
Queens,21,1.98
Brooklyn,2,1.98
Brooklyn,9,1.98
Unknown,15,1.98
Queens,5,1.98
Brooklyn,1,1.98
Unknown,20,1.97
Manhattan,19,1.97
Manhattan,13,1.97
Brooklyn,23,1.97
Queens,6,1.97
Unknown,9,1.97
Bronx,2,1.97
Bronx,4,1.97
Brooklyn,16,1.97
Manhattan,8,1.97
Manhattan,23,1.97
Manhattan,18,1.97
Bronx,17,1.97
Manhattan,17,1.97
Queens,3,1.97
Unknown,8,1.97
Queens,8,1.97
Brooklyn,0,1.97
Queens,13,1.97
Bronx,16,1.97
Queens,14,1.97
Bronx,5,1.97
Manhattan,16,1.97
Unknown,3,1.97
Unknown,7,1.97
Manhattan,21,1.97
Brooklyn,20,1.97
Unknown,5,1.97
Manhattan,4,1.97
Bronx,15,1.97
Queens,9,1.97
Manhattan,22,1.97
Bronx,9,1.97
Brooklyn,7,1.97
Unknown,14,1.97
Brooklyn,18,1.97
Bronx,20,1.97
Manhattan,0,1.97
Queens,0,1.97
Manhattan,5,1.97
Manhattan,9,1.97
Manhattan,10,1.97
Queens,12,1.97
Brooklyn,19,1.97
Queens,15,1.97
Queens,21,1.97
Queens,22,1.97
Manhattan,7,1.97
Unknown,0,1.97
Manhattan,15,1.97
Unknown,19,1.97
Brooklyn,17,1.97
Manhattan,2,1.97
Brooklyn,2,1.97
Bronx,21,1.97
Unknown,10,1.97
Queens,2,1.97
Brooklyn,5,1.97
Queens,11,1.97
Queens,16,1.97
Unknown,6,1.97
Queens,20,1.97
Manhattan,1,1.97
Unknown,17,1.97
Bronx,11,1.97
Brooklyn,15,1.97
Bronx,8,1.97
Queens,5,1.97
Staten Island,2,1.97
Unknown,22,1.97
Manhattan,12,1.97
Unknown,13,1.97
Brooklyn,1,1.97
Bronx,10,1.97
Bronx,1,1.97
Staten Island,8,1.97
Manhattan,11,1.97
Queens,17,1.97
Brooklyn,6,1.97
Unknown,2,1.97
Staten Island,9,1.97
Bronx,13,1.97
Queens,19,1.97
Manhattan,14,1.97
Queens,1,1.97
Manhattan,20,1.97
Brooklyn,12,1.97
Bronx,7,1.97
Unknown,18,1.97
Staten Island,7,1.97
Unknown,11,1.97
Queens,18,1.97
Brooklyn,3,1.97
Queens,10,1.97
Queens,7,1.97
Brooklyn,8,1.97
Bronx,6,1.97
Bronx,19,1.97
Brooklyn,13,1.97
Unknown,4,1.97
Bronx,18,1.97
Queens,23,1.97
Brooklyn,21,1.97
Brooklyn,9,1.97
Unknown,23,1.97
Brooklyn,11,1.97
Brooklyn,14,1.97
Bronx,22,1.97
Unknown,1,1.97
Bronx,3,1.97
Manhattan,3,1.97
Unknown,15,1.97
Manhattan,6,1.97
Queens,4,1.97
Unknown,12,1.97
Brooklyn,10,1.97
Unknown,21,1.97
Brooklyn,4,1.97
Bronx,23,1.97
Unknown,16,1.97
Brooklyn,22,1.97
Bronx,14,1.97
Bronx,0,1.97
Queens,17,1.96
Bronx,18,1.96
Queens,7,1.96
Queens,18,1.96
Unknown,19,1.96
Manhattan,0,1.96
Queens,21,1.96
Bronx,11,1.96
Queens,10,1.96
Unknown,11,1.96
Manhattan,16,1.96
Brooklyn,1,1.96
Brooklyn,19,1.96
Queens,20,1.96
Brooklyn,11,1.96
Staten Island,11,1.96
Bronx,2,1.96
Manhattan,21,1.96
Unknown,16,1.96
Bronx,17,1.96
Manhattan,8,1.96
Unknown,0,1.96
Queens,2,1.96
Brooklyn,0,1.96
Brooklyn,3,1.96
Unknown,12,1.96
Manhattan,11,1.96
Manhattan,2,1.96
Bronx,20,1.96
Brooklyn,2,1.96
Queens,11,1.96
Unknown,3,1.96
Brooklyn,17,1.96
Unknown,17,1.96
Queens,22,1.96
Manhattan,6,1.96
Unknown,4,1.96
Manhattan,9,1.96
Queens,15,1.96
Unknown,18,1.96
Unknown,7,1.96
Manhattan,4,1.96
Unknown,10,1.96
Unknown,22,1.96
Bronx,13,1.96
Brooklyn,15,1.96
Manhattan,5,1.96
Brooklyn,10,1.96
Brooklyn,4,1.96
Queens,5,1.96
Bronx,14,1.96
Manhattan,23,1.96
Bronx,6,1.96
Bronx,22,1.96
Unknown,20,1.96
Unknown,14,1.96
Manhattan,7,1.96
Brooklyn,7,1.96
Bronx,10,1.96
Manhattan,12,1.96
Brooklyn,14,1.96
Manhattan,18,1.96
Unknown,15,1.96
Queens,1,1.96
Manhattan,10,1.96
Queens,6,1.96
Brooklyn,20,1.96
Queens,23,1.96
Manhattan,13,1.96
Bronx,16,1.96
Bronx,19,1.96
Brooklyn,13,1.96
Brooklyn,9,1.96
Brooklyn,21,1.96
Bronx,4,1.96
Manhattan,1,1.96
Manhattan,15,1.96
Queens,14,1.96
Bronx,21,1.96
Queens,3,1.96
Queens,13,1.96
Brooklyn,5,1.96
Staten Island,8,1.96
Manhattan,19,1.96
Unknown,5,1.96
Brooklyn,12,1.96
Unknown,21,1.96
Brooklyn,6,1.96
Bronx,5,1.96
Staten Island,15,1.96
Bronx,7,1.96
Unknown,13,1.96
Queens,12,1.96
Bronx,23,1.96
Bronx,1,1.96
Bronx,8,1.96
Staten Island,12,1.96
Unknown,2,1.96
Manhattan,22,1.96
Brooklyn,22,1.96
Queens,9,1.96
Brooklyn,18,1.96
Bronx,3,1.96
Unknown,8,1.96
Brooklyn,23,1.96
Manhattan,14,1.96
Manhattan,3,1.96
Queens,8,1.96
Manhattan,17,1.96
Unknown,9,1.96
Bronx,15,1.96
Bronx,0,1.96
Bronx,12,1.96
Brooklyn,16,1.96
Unknown,6,1.96
Queens,16,1.96
Brooklyn,8,1.96
Queens,19,1.96
Bronx,9,1.96
Unknown,23,1.96
Queens,0,1.96
Manhattan,20,1.96
Queens,4,1.96
Unknown,1,1.96
Manhattan,6,1.95
Unknown,0,1.95
Manhattan,16,1.95
Manhattan,18,1.95
Manhattan,15,1.95
