PU_Borough,PUHour,Trip_distance
Brooklyn,21,11.39
Brooklyn,1,11.39
Unknown,1,11.39
Unknown,0,11.39
Queens,8,11.39
Manhattan,10,11.39
Queens,6,11.39
Unknown,10,11.39
Queens,12,11.39
Queens,7,11.39
Brooklyn,23,11.39
Manhattan,21,11.39
Queens,10,11.39
Brooklyn,7,11.39
Queens,2,11.39
Brooklyn,12,11.39
Brooklyn,0,11.39
Brooklyn,13,11.39
Brooklyn,5,11.39
Brooklyn,16,11.39
Manhattan,1,11.39
Queens,17,11.39
Queens,15,11.39
Manhattan,20,11.39
Bronx,8,11.39
Queens,11,11.39
Unknown,16,11.39
Queens,4,11.39
Manhattan,15,11.39
Bronx,18,11.39
Queens,14,11.39
Unknown,2,11.39
Queens,9,11.39
Unknown,13,11.39
Unknown,23,11.39
Queens,22,11.39
Manhattan,16,11.39
Queens,21,11.39
Queens,18,11.39
Bronx,10,11.39
Unknown,7,11.39
Queens,19,11.39
Queens,23,11.39
Manhattan,3,11.39
Brooklyn,17,11.39
Bronx,11,11.39
Manhattan,7,11.39
Manhattan,19,11.39
Unknown,5,11.39
Unknown,12,11.39
Brooklyn,11,11.39
Queens,3,11.39
Brooklyn,3,11.39
Queens,13,11.39
Manhattan,9,11.39
Queens,0,11.39
Manhattan,2,11.39
Unknown,21,11.39
Unknown,20,11.39
Unknown,11,11.39
Manhattan,23,11.39
Manhattan,8,11.39
Unknown,15,11.39
Manhattan,18,11.39
Manhattan,17,11.39
Brooklyn,8,11.39
Manhattan,22,11.39
Brooklyn,6,11.39
Manhattan,12,11.39
Brooklyn,18,11.39
Brooklyn,4,11.39
Manhattan,0,11.39
Unknown,9,11.39
Queens,20,11.39
Brooklyn,14,11.39
Manhattan,6,11.39
Manhattan,4,11.39
Brooklyn,2,11.39
Unknown,6,11.39
Queens,1,11.39
Unknown,14,11.39
Queens,16,11.39
Queens,5,11.39
Brooklyn,19,11.39
Manhattan,13,11.39
Manhattan,5,11.39
Brooklyn,22,11.39
Manhattan,11,11.39
Brooklyn,9,11.39
Bronx,21,11.39
Unknown,17,11.39
Manhattan,14,11.39
Unknown,18,11.39
Brooklyn,10,11.39
Bronx,12,11.39
Unknown,3,11.39
Manhattan,4,11.38
Unknown,9,11.38
Unknown,16,11.38
Brooklyn,6,11.38
Manhattan,2,11.38
Unknown,13,11.38
Manhattan,22,11.38
Queens,15,11.38
Bronx,11,11.38
Brooklyn,4,11.38
Queens,19,11.38
Manhattan,3,11.38
Manhattan,0,11.38
Bronx,15,11.38
Brooklyn,22,11.38
Queens,13,11.38
Unknown,8,11.38
Manhattan,12,11.38
Queens,17,11.38
Brooklyn,10,11.38
Brooklyn,2,11.38
Bronx,23,11.38
Queens,16,11.38
Queens,12,11.38
Queens,21,11.38
Brooklyn,8,11.38
Queens,11,11.38
Manhattan,14,11.38
Manhattan,11,11.38
Manhattan,10,11.38
Queens,9,11.38
Brooklyn,5,11.38
Manhattan,20,11.38
Manhattan,19,11.38
Queens,0,11.38
Brooklyn,19,11.38
Unknown,18,11.38
Brooklyn,20,11.38
Manhattan,9,11.38
Unknown,6,11.38
Brooklyn,23,11.38
Queens,18,11.38
Brooklyn,0,11.38
Manhattan,18,11.38
Brooklyn,9,11.38
Unknown,14,11.38
Queens,2,11.38
Brooklyn,12,11.38
Brooklyn,7,11.38
Manhattan,8,11.38
Queens,22,11.38
Queens,4,11.38
Unknown,1,11.38
Queens,10,11.38
Queens,14,11.38
Queens,20,11.38
Queens,7,11.38
Queens,6,11.38
Manhattan,15,11.38
Unknown,22,11.38
Manhattan,6,11.38
Unknown,20,11.38
Unknown,21,11.38
Unknown,23,11.38
Manhattan,13,11.38
Manhattan,16,11.38
Manhattan,7,11.38
Manhattan,21,11.38
Brooklyn,1,11.38
Unknown,12,11.38
Unknown,15,11.38
Brooklyn,16,11.38
Manhattan,5,11.38
Manhattan,23,11.38
Queens,8,11.38
Bronx,8,11.38
Unknown,4,11.38
Queens,1,11.38
Bronx,3,11.38
Queens,3,11.38
Brooklyn,14,11.38
Manhattan,1,11.38
Brooklyn,18,11.38
Manhattan,17,11.38
Unknown,7,11.38
Queens,5,11.38
Queens,23,11.38
Unknown,2,11.38
Unknown,20,11.37
Manhattan,1,11.37
Manhattan,11,11.37
Queens,11,11.37
Brooklyn,15,11.37
Brooklyn,23,11.37
Queens,2,11.37
Brooklyn,16,11.37
Bronx,6,11.37
Manhattan,14,11.37
Queens,22,11.37
Brooklyn,9,11.37
Queens,15,11.37
Queens,5,11.37
Unknown,1,11.37
Brooklyn,7,11.37
Queens,14,11.37
Unknown,14,11.37
Unknown,17,11.37
Manhattan,0,11.37
Manhattan,22,11.37
Bronx,17,11.37
Unknown,15,11.37
Brooklyn,0,11.37
Queens,19,11.37
Queens,9,11.37
Brooklyn,1,11.37
Manhattan,15,11.37
Brooklyn,11,11.37
Brooklyn,5,11.37
Manhattan,10,11.37
Bronx,8,11.37
Queens,0,11.37
Unknown,3,11.37
Brooklyn,2,11.37
Unknown,11,11.37
Queens,18,11.37
Manhattan,9,11.37
Manhattan,8,11.37
Queens,6,11.37
Queens,3,11.37
Brooklyn,8,11.37
Manhattan,3,11.37
Unknown,10,11.37
Unknown,13,11.37
Manhattan,4,11.37
Bronx,15,11.37
Queens,20,11.37
Brooklyn,20,11.37
Manhattan,21,11.37
Manhattan,12,11.37
Queens,10,11.37
Queens,7,11.37
Manhattan,7,11.37
Brooklyn,13,11.37
Unknown,21,11.37
Brooklyn,14,11.37
Bronx,19,11.37
Bronx,11,11.37
Queens,13,11.37
Brooklyn,17,11.37
Manhattan,17,11.37
Unknown,19,11.37
Unknown,6,11.37
Staten Island,11,11.37
Brooklyn,19,11.37
Unknown,5,11.37
Queens,21,11.37
Queens,12,11.37
Brooklyn,21,11.37
Unknown,22,11.37
Manhattan,23,11.37
Unknown,18,11.37
Queens,23,11.37
Brooklyn,22,11.37
Unknown,2,11.37
Queens,4,11.37
Manhattan,16,11.37
Queens,8,11.37
Manhattan,6,11.37
Manhattan,2,11.37
Manhattan,13,11.37
Brooklyn,6,11.37
Manhattan,20,11.37
Queens,1,11.37
Queens,17,11.37
Unknown,9,11.37
Brooklyn,4,11.37
Manhattan,18,11.37
Manhattan,5,11.37
Manhattan,19,11.37
Queens,16,11.37
Manhattan,8,11.36
Queens,19,11.36
Brooklyn,13,11.36
Queens,20,11.36
Manhattan,11,11.36
Brooklyn,15,11.36
Manhattan,3,11.36
Queens,23,11.36
Brooklyn,6,11.36
Brooklyn,4,11.36
Brooklyn,2,11.36
Manhattan,13,11.36
Queens,7,11.36
Queens,5,11.36
Manhattan,0,11.36
Queens,16,11.36
Brooklyn,9,11.36
Brooklyn,5,11.36
Unknown,9,11.36
Queens,15,11.36
Brooklyn,0,11.36
Unknown,17,11.36
Queens,1,11.36
Brooklyn,3,11.36
Unknown,18,11.36
Manhattan,17,11.36
Queens,21,11.36
Brooklyn,23,11.36
Queens,18,11.36
Unknown,7,11.36
Manhattan,4,11.36
Manhattan,15,11.36
Unknown,19,11.36
Manhattan,22,11.36
Queens,4,11.36
Manhattan,14,11.36
Manhattan,20,11.36
Brooklyn,1,11.36
Queens,22,11.36
Brooklyn,18,11.36
Queens,8,11.36
Manhattan,18,11.36
Manhattan,19,11.36
Queens,14,11.36
Manhattan,23,11.36
Manhattan,2,11.36
Manhattan,16,11.36
Brooklyn,21,11.36
Queens,9,11.36
Manhattan,6,11.36
Queens,3,11.36
Unknown,15,11.36
Manhattan,7,11.36
Unknown,13,11.36
Brooklyn,22,11.36
Brooklyn,12,11.36
Queens,17,11.36
Bronx,16,11.36
Unknown,8,11.36
Manhattan,12,11.36
Queens,12,11.36
Queens,10,11.36
Manhattan,5,11.36
Brooklyn,11,11.36
Unknown,11,11.36
Brooklyn,19,11.36
Queens,11,11.36
Manhattan,9,11.36
Queens,0,11.36
Queens,2,11.36
Brooklyn,16,11.36
Unknown,10,11.36
Manhattan,10,11.36
Queens,13,11.36
Unknown,0,11.36
Unknown,22,11.36
Manhattan,1,11.36
Unknown,1,11.36
Brooklyn,7,11.36
Unknown,16,11.36
Manhattan,21,11.36
Unknown,5,11.36
Bronx,23,11.36
Unknown,23,11.36
Brooklyn,20,11.36
Queens,6,11.36
Brooklyn,10,11.36
Brooklyn,17,11.36
Queens,20,11.35
Queens,22,11.35
Manhattan,12,11.35
