PU_Borough,PUHour,Trip_distance
Manhattan,14,29.85
Manhattan,19,29.85
Manhattan,7,29.85
Queens,8,29.85
Manhattan,20,29.85
Queens,5,29.85
Queens,16,29.85
Manhattan,22,29.85
Queens,22,29.85
Queens,14,29.85
Manhattan,15,29.85
Queens,17,29.85
Manhattan,12,29.85
Queens,10,29.85
Queens,23,29.85
Queens,15,29.85
Manhattan,17,29.85
Manhattan,18,29.85
Manhattan,2,29.85
Queens,12,29.85
Queens,4,29.85
Queens,18,29.85
Queens,13,29.85
Brooklyn,12,29.85
Queens,21,29.85
Queens,19,29.85
Queens,20,29.85
Queens,11,29.85
Manhattan,13,29.85
Manhattan,11,29.85
Manhattan,6,29.85
Manhattan,8,29.85
Manhattan,9,29.85
Queens,17,29.84
Manhattan,23,29.84
Queens,14,29.84
Queens,19,29.84
Brooklyn,3,29.84
Queens,8,29.84
Manhattan,15,29.84
Queens,7,29.84
Queens,2,29.84
Manhattan,9,29.84
Queens,21,29.84
Queens,12,29.84
Manhattan,21,29.84
Queens,11,29.84
Manhattan,11,29.84
Queens,16,29.84
Queens,18,29.84
Queens,15,29.84
Queens,10,29.84
Manhattan,0,29.84
Manhattan,4,29.84
Queens,13,29.84
Queens,6,29.84
Manhattan,22,29.84
Queens,23,29.84
Queens,22,29.84
Queens,9,29.84
Queens,3,29.84
Manhattan,13,29.84
Manhattan,14,29.84
Manhattan,18,29.84
Manhattan,9,29.83
Queens,13,29.83
Manhattan,11,29.83
Queens,11,29.83
Manhattan,22,29.83
Queens,9,29.83
Manhattan,8,29.83
Manhattan,18,29.83
Queens,14,29.83
Manhattan,2,29.83
Queens,16,29.83
Queens,7,29.83
Queens,18,29.83
Manhattan,14,29.83
Manhattan,3,29.83
Manhattan,10,29.83
Queens,15,29.83
Manhattan,12,29.83
Queens,17,29.83
Manhattan,1,29.83
Manhattan,5,29.83
Queens,20,29.83
Manhattan,7,29.83
Queens,6,29.83
Queens,12,29.83
Queens,21,29.83
Queens,19,29.83
Queens,10,29.83
Queens,22,29.83
Manhattan,17,29.83
Manhattan,13,29.83
Manhattan,15,29.83
Queens,8,29.83
Queens,17,29.82
Queens,21,29.82
Queens,8,29.82
Queens,18,29.82
Manhattan,7,29.82
Manhattan,20,29.82
Manhattan,15,29.82
Queens,12,29.82
Manhattan,5,29.82
Queens,19,29.82
Queens,10,29.82
Manhattan,2,29.82
Manhattan,14,29.82
Manhattan,17,29.82
Manhattan,4,29.82
Queens,15,29.82
Queens,6,29.82
Queens,16,29.82
Manhattan,6,29.82
Manhattan,0,29.82
Queens,13,29.82
Queens,7,29.82
Manhattan,1,29.82
Queens,11,29.82
Manhattan,10,29.81
Queens,10,29.81
Manhattan,19,29.81
Manhattan,14,29.81
Manhattan,17,29.81
Manhattan,15,29.81
Queens,5,29.81
Queens,15,29.81
Queens,13,29.81
Queens,19,29.81
Manhattan,7,29.81
Manhattan,22,29.81
Queens,17,29.81
Manhattan,21,29.81
Manhattan,23,29.81
Queens,7,29.81
Manhattan,11,29.81
Manhattan,0,29.81
Queens,22,29.81
Queens,9,29.81
EWR,15,29.81
Queens,11,29.81
Manhattan,3,29.81
Manhattan,2,29.81
Queens,0,29.81
Queens,18,29.81
Queens,20,29.81
Manhattan,13,29.81
Queens,23,29.81
Queens,21,29.81
Queens,14,29.81
Manhattan,20,29.81
Manhattan,9,29.81
Manhattan,5,29.81
Manhattan,8,29.81
Queens,16,29.81
Queens,19,29.8
Manhattan,14,29.8
Brooklyn,1,29.8
Manhattan,4,29.8
Manhattan,9,29.8
Manhattan,6,29.8
Unknown,13,29.8
Manhattan,10,29.8
Queens,20,29.8
Manhattan,17,29.8
Unknown,0,29.8
Manhattan,3,29.8
Unknown,16,29.8
Manhattan,11,29.8
Manhattan,18,29.8
Manhattan,21,29.8
Queens,8,29.8
Manhattan,15,29.8
Queens,21,29.8
Queens,2,29.8
Manhattan,23,29.8
Manhattan,19,29.8
Queens,15,29.8
Brooklyn,16,29.8
Queens,3,29.8
Queens,23,29.8
Bronx,0,29.8
Manhattan,12,29.8
Unknown,7,29.8
Manhattan,22,29.8
Unknown,19,29.8
Manhattan,1,29.8
Queens,5,29.8
Brooklyn,15,29.8
Queens,9,29.8
Manhattan,20,29.8
Manhattan,5,29.8
Brooklyn,2,29.8
Queens,18,29.8
Manhattan,8,29.8
Unknown,5,29.8
Queens,1,29.8
Queens,7,29.8
Manhattan,0,29.8
Queens,6,29.8
Queens,12,29.8
Queens,17,29.8
Brooklyn,6,29.8
Queens,13,29.8
Queens,22,29.8
Manhattan,13,29.8
Queens,14,29.8
Unknown,20,29.8
Manhattan,16,29.8
Queens,10,29.8
Bronx,16,29.8
Manhattan,7,29.8
Queens,4,29.8
Queens,0,29.8
Queens,16,29.8
Queens,11,29.8
Unknown,14,29.8
Manhattan,2,29.8
Manhattan,23,29.79
Manhattan,14,29.79
Queens,19,29.79
Manhattan,10,29.79
Manhattan,19,29.79
Brooklyn,7,29.79
Manhattan,8,29.79
Unknown,5,29.79
Manhattan,15,29.79
Manhattan,11,29.79
Manhattan,20,29.79
Manhattan,9,29.79
Queens,17,29.79
Manhattan,12,29.79
Queens,14,29.79
Queens,21,29.79
Queens,23,29.79
Queens,7,29.79
Manhattan,1,29.79
Queens,12,29.79
Queens,20,29.79
Queens,6,29.79
Queens,10,29.79
Manhattan,17,29.79
Queens,16,29.79
Manhattan,7,29.79
Queens,13,29.79
Queens,1,29.79
Manhattan,16,29.79
Queens,8,29.79
Queens,0,29.79
Manhattan,5,29.79
Queens,11,29.79
Manhattan,4,29.79
Queens,9,29.79
Queens,15,29.79
Manhattan,9,29.78
Manhattan,15,29.78
Queens,4,29.78
Unknown,9,29.78
Queens,16,29.78
Queens,15,29.78
Queens,8,29.78
Manhattan,6,29.78
Manhattan,14,29.78
Queens,22,29.78
Queens,18,29.78
Manhattan,19,29.78
Queens,23,29.78
Queens,13,29.78
Brooklyn,2,29.78
Manhattan,13,29.78
Queens,7,29.78
Queens,0,29.78
Manhattan,18,29.78
Queens,14,29.78
Queens,10,29.78
Queens,6,29.78
Manhattan,8,29.78
Queens,20,29.78
Queens,9,29.78
Queens,19,29.78
Queens,12,29.78
Manhattan,21,29.78
Manhattan,12,29.78
Queens,11,29.78
Manhattan,17,29.78
Queens,1,29.78
Queens,18,29.77
Queens,10,29.77
Queens,11,29.77
Queens,6,29.77
Queens,9,29.77
Queens,16,29.77
Queens,22,29.77
Queens,21,29.77
Queens,20,29.77
Manhattan,18,29.77
Manhattan,23,29.77
Queens,14,29.77
Manhattan,10,29.77
Manhattan,5,29.77
Staten Island,15,29.77
Queens,13,29.77
Manhattan,12,29.77
Manhattan,14,29.77
Queens,5,29.77
Manhattan,1,29.77
Manhattan,16,29.77
Manhattan,17,29.77
Manhattan,15,29.77
Queens,19,29.77
Manhattan,19,29.77
Manhattan,13,29.77
Queens,17,29.77
Manhattan,8,29.77
Manhattan,9,29.77
Queens,0,29.77
Queens,15,29.77
Queens,1,29.76
Manhattan,1,29.76
Queens,6,29.76
Manhattan,21,29.76
Manhattan,8,29.76
Queens,18,29.76
Queens,5,29.76
Manhattan,13,29.76
Queens,13,29.76
Manhattan,11,29.76
Manhattan,7,29.76
Queens,8,29.76
Queens,17,29.76
Queens,7,29.76
Queens,10,29.76
Queens,20,29.76
Manhattan,9,29.76
Queens,15,29.76
Queens,14,29.76
Manhattan,19,29.76
Manhattan,2,29.76
Manhattan,15,29.76
Manhattan,0,29.76
Queens,21,29.76
Queens,22,29.76
Manhattan,22,29.76
Queens,9,29.76
Queens,16,29.76
Manhattan,10,29.76
Manhattan,6,29.76
Queens,11,29.76
Manhattan,11,29.75
Queens,21,29.75
Queens,0,29.75
Queens,10,29.75
Queens,20,29.75
Queens,18,29.75
Queens,19,29.75
Queens,6,29.75
Manhattan,12,29.75
Queens,23,29.75
Manhattan,16,29.75
Queens,17,29.75
Manhattan,13,29.75
Manhattan,14,29.75
Queens,8,29.75
Manhattan,9,29.75
Queens,9,29.75
Queens,4,29.75
Queens,7,29.75
Manhattan,3,29.75
Manhattan,7,29.75
Queens,16,29.75
Manhattan,1,29.75
Queens,14,29.75
Manhattan,21,29.75
Manhattan,0,29.75
Queens,13,29.75
Manhattan,15,29.75
Manhattan,23,29.75
Queens,11,29.75
Manhattan,7,29.74
Queens,10,29.74
Manhattan,13,29.74
Queens,13,29.74
Queens,16,29.74
Queens,14,29.74
Queens,22,29.74
Queens,11,29.74
Manhattan,16,29.74
Queens,1,29.74
Manhattan,8,29.74
Manhattan,22,29.74
Queens,21,29.74
Manhattan,12,29.74
Manhattan,1,29.74
Queens,8,29.74
Queens,7,29.74
Queens,12,29.74
Manhattan,23,29.74
Manhattan,14,29.74
Manhattan,0,29.74
Queens,6,29.74
Manhattan,15,29.74
Manhattan,9,29.74
Queens,23,29.74
Queens,15,29.74
Queens,17,29.74
Brooklyn,3,29.74
Manhattan,23,29.73
Queens,1,29.73
Manhattan,16,29.73
Queens,9,29.73
Manhattan,14,29.73
Queens,21,29.73
Queens,13,29.73
Queens,23,29.73
Queens,16,29.73
Queens,7,29.73
Queens,10,29.73
Manhattan,1,29.73
Queens,4,29.73
Manhattan,12,29.73
Bronx,23,29.73
Manhattan,20,29.73
Manhattan,7,29.73
Queens,17,29.73
Manhattan,10,29.73
Queens,8,29.73
Queens,18,29.73
Manhattan,9,29.73
Manhattan,11,29.73
Queens,19,29.73
Manhattan,21,29.73
Unknown,12,29.73
Manhattan,13,29.73
Manhattan,8,29.73
Queens,6,29.73
Queens,14,29.73
Queens,12,29.73
Queens,15,29.73
Queens,22,29.73
Manhattan,15,29.73
Manhattan,17,29.72
Manhattan,15,29.72
Manhattan,20,29.72
Manhattan,2,29.72
Manhattan,9,29.72
Queens,18,29.72
Queens,0,29.72
Queens,9,29.72
Manhattan,0,29.72
Queens,6,29.72
Brooklyn,23,29.72
Queens,22,29.72
Manhattan,19,29.72
Brooklyn,17,29.72
Queens,16,29.72
Queens,17,29.72
Manhattan,6,29.72
Manhattan,1,29.72
Queens,7,29.72
Manhattan,7,29.72
Manhattan,10,29.72
Manhattan,5,29.72
Queens,14,29.72
Manhattan,8,29.72
Queens,1,29.72
Queens,19,29.72
Manhattan,12,29.72
Manhattan,11,29.72
Manhattan,14,29.72
Queens,13,29.72
Manhattan,21,29.72
Queens,20,29.72
Queens,11,29.72
Queens,8,29.72
Manhattan,3,29.71
Manhattan,11,29.71
Queens,22,29.71
Manhattan,21,29.71
Queens,6,29.71
Queens,0,29.71
Manhattan,16,29.71
Manhattan,7,29.71
Manhattan,13,29.71
Queens,10,29.71
Manhattan,8,29.71
Queens,17,29.71
Manhattan,15,29.71
Queens,1,29.71
Queens,16,29.71
Manhattan,17,29.71
Manhattan,0,29.71
Queens,20,29.71
Queens,8,29.71
Queens,9,29.71
Queens,15,29.71
Queens,12,29.71
Manhattan,12,29.71
Manhattan,19,29.71
Queens,19,29.71
Manhattan,9,29.71
Queens,5,29.71
Queens,13,29.71
Queens,21,29.71
Queens,14,29.71
Queens,11,29.71
Manhattan,18,29.71
Queens,18,29.71
