PU_Borough,PUHour,Trip_distance
Manhattan,10,11.11
Brooklyn,8,11.11
Manhattan,7,11.11
Manhattan,21,11.11
Queens,6,11.11
Queens,21,11.11
Unknown,14,11.11
Bronx,11,11.11
Bronx,6,11.11
Queens,20,11.11
Manhattan,22,11.11
Queens,2,11.11
Unknown,6,11.11
Brooklyn,21,11.11
Manhattan,0,11.11
Manhattan,13,11.11
Unknown,20,11.11
Unknown,21,11.11
Queens,10,11.11
Unknown,7,11.11
Brooklyn,9,11.11
Manhattan,17,11.11
Bronx,22,11.11
Unknown,19,11.11
Manhattan,3,11.11
Queens,4,11.11
Brooklyn,11,11.11
Queens,0,11.11
Staten Island,20,11.11
Brooklyn,14,11.11
Brooklyn,3,11.11
Unknown,23,11.11
Unknown,13,11.11
Manhattan,19,11.11
Manhattan,2,11.11
Manhattan,12,11.11
Queens,17,11.11
Brooklyn,5,11.11
Brooklyn,15,11.11
Bronx,12,11.11
Manhattan,5,11.11
Unknown,16,11.11
Manhattan,8,11.11
Queens,18,11.11
Brooklyn,10,11.11
Brooklyn,0,11.11
Brooklyn,23,11.11
Brooklyn,2,11.11
Brooklyn,12,11.11
Queens,22,11.11
Unknown,11,11.11
Manhattan,15,11.11
Manhattan,11,11.11
Manhattan,23,11.11
Manhattan,9,11.11
Brooklyn,22,11.11
Brooklyn,1,11.11
Queens,23,11.11
Queens,15,11.11
Queens,9,11.11
Unknown,10,11.11
Brooklyn,20,11.11
Bronx,7,11.11
Queens,14,11.11
Bronx,10,11.11
Bronx,14,11.11
Unknown,4,11.11
Manhattan,14,11.11
Queens,5,11.11
Brooklyn,4,11.11
Queens,7,11.11
Manhattan,16,11.11
Unknown,0,11.11
Brooklyn,19,11.11
Queens,19,11.11
Queens,13,11.11
Queens,3,11.11
Brooklyn,16,11.11
Brooklyn,17,11.11
Brooklyn,7,11.11
Manhattan,4,11.11
Manhattan,1,11.11
Unknown,8,11.11
Unknown,12,11.11
Manhattan,18,11.11
Queens,8,11.11
Queens,11,11.11
Unknown,18,11.11
Queens,16,11.11
Manhattan,6,11.11
Brooklyn,6,11.11
Manhattan,20,11.11
Queens,12,11.11
Queens,1,11.11
Unknown,15,11.11
Brooklyn,14,11.1
Bronx,20,11.1
Bronx,23,11.1
Bronx,18,11.1
Queens,8,11.1
Bronx,0,11.1
Unknown,9,11.1
Manhattan,9,11.1
Unknown,0,11.1
Brooklyn,8,11.1
Brooklyn,1,11.1
Brooklyn,17,11.1
Queens,17,11.1
Brooklyn,9,11.1
Manhattan,15,11.1
Unknown,14,11.1
Brooklyn,11,11.1
Manhattan,3,11.1
Brooklyn,19,11.1
Bronx,15,11.1
Queens,12,11.1
Unknown,15,11.1
Manhattan,6,11.1
Unknown,19,11.1
Bronx,1,11.1
Queens,22,11.1
Manhattan,11,11.1
Brooklyn,20,11.1
Unknown,8,11.1
Queens,23,11.1
Queens,14,11.1
Bronx,21,11.1
Queens,9,11.1
Bronx,5,11.1
Manhattan,21,11.1
Queens,7,11.1
