PU_Borough,PUHour,Trip_distance
Queens,7,5.07
Unknown,22,5.07
Unknown,12,5.07
Brooklyn,11,5.07
Queens,18,5.07
Manhattan,17,5.07
Manhattan,20,5.07
Brooklyn,3,5.07
Unknown,21,5.07
Brooklyn,19,5.07
Brooklyn,18,5.07
Queens,8,5.07
Unknown,5,5.07
Unknown,14,5.07
Unknown,11,5.07
Unknown,1,5.07
Bronx,4,5.07
Bronx,10,5.07
Brooklyn,8,5.07
Queens,6,5.07
Queens,11,5.07
Manhattan,1,5.07
Brooklyn,22,5.07
Unknown,3,5.07
Bronx,23,5.07
Brooklyn,13,5.07
Unknown,13,5.07
Bronx,2,5.07
Unknown,6,5.07
Manhattan,10,5.07
Unknown,15,5.07
Queens,20,5.07
Unknown,17,5.07
Queens,22,5.07
Manhattan,21,5.07
Manhattan,5,5.07
Brooklyn,16,5.07
Queens,5,5.07
Manhattan,0,5.07
Bronx,1,5.07
Bronx,9,5.07
Brooklyn,0,5.07
Brooklyn,2,5.07
Unknown,2,5.07
Unknown,7,5.07
Brooklyn,4,5.07
Unknown,4,5.07
Manhattan,3,5.07
Bronx,15,5.07
Brooklyn,20,5.07
Queens,17,5.07
Queens,3,5.07
Brooklyn,10,5.07
Brooklyn,15,5.07
Unknown,8,5.07
Manhattan,6,5.07
Queens,4,5.07
Brooklyn,7,5.07
Brooklyn,23,5.07
Manhattan,11,5.07
Brooklyn,6,5.07
Unknown,19,5.07
Brooklyn,14,5.07
Queens,2,5.07
Unknown,18,5.07
Bronx,8,5.07
Brooklyn,5,5.07
Queens,16,5.07
Queens,10,5.07
Brooklyn,21,5.07
Unknown,9,5.07
Manhattan,4,5.07
Unknown,16,5.07
Queens,15,5.07
Bronx,6,5.07
Queens,19,5.07
Brooklyn,1,5.07
Manhattan,16,5.07
Queens,12,5.07
Queens,9,5.07
Brooklyn,9,5.07
Bronx,19,5.07
Manhattan,22,5.07
Unknown,0,5.07
Queens,21,5.07
Bronx,0,5.07
Manhattan,13,5.07
Unknown,10,5.07
Queens,14,5.07
Unknown,20,5.07
Manhattan,9,5.07
Manhattan,8,5.07
Manhattan,14,5.07
Queens,23,5.07
Bronx,16,5.07
Manhattan,12,5.07
Unknown,23,5.07
Brooklyn,12,5.07
Manhattan,15,5.07
Queens,13,5.07
Queens,1,5.07
Manhattan,2,5.07
Manhattan,7,5.07
Brooklyn,17,5.07
Manhattan,23,5.07
Manhattan,18,5.07
Manhattan,19,5.07
Queens,0,5.07
Brooklyn,6,5.06
Brooklyn,3,5.06
Unknown,18,5.06
Queens,19,5.06
Queens,8,5.06
Queens,23,5.06
Brooklyn,21,5.06
Queens,15,5.06
Manhattan,0,5.06
Manhattan,14,5.06
Unknown,3,5.06
Bronx,0,5.06
Queens,20,5.06
Bronx,13,5.06
Unknown,19,5.06
Manhattan,16,5.06
Brooklyn,8,5.06
Brooklyn,4,5.06
Queens,21,5.06
Unknown,14,5.06
Manhattan,22,5.06
Manhattan,18,5.06
Manhattan,21,5.06
Unknown,8,5.06
Unknown,21,5.06
Brooklyn,23,5.06
Brooklyn,9,5.06
Manhattan,4,5.06
Brooklyn,16,5.06
Unknown,12,5.06
Queens,3,5.06
Bronx,20,5.06
Brooklyn,22,5.06
Queens,2,5.06
Unknown,20,5.06
Brooklyn,20,5.06
Bronx,2,5.06
Manhattan,10,5.06
Bronx,11,5.06
Queens,4,5.06
Queens,18,5.06
Manhattan,6,5.06
Unknown,9,5.06
Queens,1,5.06
Bronx,6,5.06
Manhattan,7,5.06
Queens,13,5.06
Unknown,5,5.06
Brooklyn,18,5.06
Brooklyn,14,5.06
Bronx,7,5.06
Unknown,4,5.06
Brooklyn,10,5.06
