DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Manhattan,Financial District North,223905,87,223905
Brooklyn,Downtown Brooklyn/MetroTech,52891,65,52891
Staten Island,Saint George/New Brighton,487,206,487
Manhattan,Washington Heights North,53917,243,53917
Manhattan,Upper East Side South,986880,237,986880
Manhattan,Upper West Side South,704335,239,704335
Manhattan,TriBeCa/Civic Center,483518,231,483518
Bronx,Spuyten Duyvil/Kingsbridge,10764,220,10764
Manhattan,Lincoln Square West,346610,143,346610
Manhattan,Little Italy/NoLiTa,277322,144,277322
Staten Island,Arrochar/Fort Wadsworth,557,6,557
Staten Island,Charleston/Tottenville,111,44,111
Queens,Queensbridge/Ravenswood,18537,193,18537
Queens,Springfield Gardens South,4828,219,4828
Brooklyn,Marine Park/Mill Basin,3025,155,3025
Manhattan,East Harlem South,328346,75,328346
Manhattan,Battery Park City,267987,13,267987
Brooklyn,Flatbush/Ditmas Park,23927,89,23927
Bronx,Williamsbridge/Olinville,2295,254,2295
Manhattan,Lower East Side,310492,148,310492
Queens,Bay Terrace/Fort Totten,2223,15,2223
Manhattan,Yorkville West,520283,263,520283
Manhattan,Hamilton Heights,81910,116,81910
Bronx,West Farms/Bronx River,3027,248,3027
Brooklyn,Ocean Parkway South,2368,178,2368
Manhattan,Central Harlem,179073,41,179073
Brooklyn,Prospect Heights,30497,189,30497
Brooklyn,Sunset Park West,18406,228,18406
Bronx,Van Cortlandt Village,4589,241,4589
Manhattan,West Village,486872,249,486872
Brooklyn,Windsor Terrace,15121,257,15121
Brooklyn,Brooklyn Navy Yard,3693,34,3693
Bronx,Van Nest/Morris Park,2733,242,2733
Brooklyn,Green-Wood Cemetery,381,111,381
Manhattan,Murray Hill,887720,170,887720
Manhattan,East Village,711038,79,711038
Manhattan,East Chelsea,631665,68,631665
Manhattan,Clinton West,309989,50,309989
Manhattan,Alphabet City,146633,4,146633
Brooklyn,Carroll Gardens,33722,40,33722
Manhattan,Randalls Island,1365,194,1365
Queens,Jackson Heights,50080,129,50080
Brooklyn,Bushwick South,43426,37,43426
Brooklyn,Bushwick North,27832,36,27832
Queens,Elmhurst/Maspeth,12145,83,12145
Queens,Kew Gardens Hills,5763,135,5763
