PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Queens,Saint Michaels Cemetery/Woodside,1766,207,1766
Bronx,Riverdale/North Riverdale/Fieldston,211,200,211
Manhattan,Upper East Side North,1089059,236,1089059
Manhattan,Greenwich Village North,504151,113,504151
Manhattan,Greenwich Village South,428415,114,428415
Manhattan,Financial District South,123606,88,123606
Brooklyn,Downtown Brooklyn/MetroTech,43719,65,43719
Bronx,University Heights/Morris Heights,661,235,661
Staten Island,Heartland Village/Todt Hill,90,118,90
Brooklyn,Marine Park/Floyd Bennett Field,76,154,76
Queens,Hollis,53,122,53
Bronx,Pelham Bay,48,183,48
Staten Island,Saint George/New Brighton,27,206,27
Queens,Breezy Point/Fort Tilden/Riis Beach,7,27,7
Manhattan,TriBeCa/Civic Center,566092,231,566092
Manhattan,Washington Heights North,6475,243,6475
Brooklyn,East Flatbush/Remsen Village,336,72,336
Manhattan,Lincoln Square East,880485,142,880485
Manhattan,Little Italy/NoLiTa,345682,144,345682
Queens,Springfield Gardens South,1545,219,1545
Staten Island,New Dorp/Midland Beach,21,172,21
Manhattan,Garment District,590997,100,590997
Manhattan,Battery Park City,289184,13,289184
Manhattan,Manhattan Valley,264847,151,264847
Manhattan,East Harlem South,206506,75,206506
Manhattan,East Harlem North,117051,74,117051
Bronx,Spuyten Duyvil/Kingsbridge,618,220,618
Queens,Springfield Gardens North,216,218,216
Manhattan,Lenox Hill West,685821,141,685821
Queens,Briarwood/Jamaica Hills,1885,28,1885
Brooklyn,Marine Park/Mill Basin,160,155,160
Staten Island,Charleston/Tottenville,8,44,8
Manhattan,Yorkville East,358933,262,358933
Manhattan,Hamilton Heights,37696,116,37696
Brooklyn,DUMBO/Vinegar Hill,13381,66,13381
Bronx,Mott Haven/Port Morris,6234,168,6234
Brooklyn,East Flatbush/Farragut,353,71,353
Bronx,Williamsbridge/Olinville,208,254,208
Manhattan,Midtown North,801263,163,801263
Brooklyn,Stuyvesant Heights,3765,225,3765
Brooklyn,South Williamsburg,3245,217,3245
Staten Island,Mariners Harbor,289,156,289
Queens,Forest Park/Highland Park,73,96,73
Manhattan,West Village,644501,249,644501
Brooklyn,Brooklyn Heights,34996,33,34996
Manhattan,Manhattanville,32487,152,32487
Brooklyn,Ocean Parkway South,391,178,391
Bronx,West Farms/Bronx River,260,248,260
Manhattan,Murray Hill,965880,170,965880
Manhattan,Central Park,412570,43,412570
Brooklyn,Prospect Heights,9947,189,9947
Bronx,Van Cortlandt Village,328,241,328
Queens,Bay Terrace/Fort Totten,57,15,57
Queens,Jackson Heights,18242,129,18242
Brooklyn,Windsor Terrace,1198,257,1198
Bronx,Van Nest/Morris Park,488,242,488
Manhattan,Inwood Hill Park,193,128,193
Manhattan,Hudson Sq,184601,125,184601
Manhattan,Alphabet City,82263,4,82263
Brooklyn,Columbia Street,1764,54,1764
Manhattan,Highbridge Park,170,120,170
Manhattan,Union Sq,987259,234,987259
Queens,JFK Airport,733429,132,733429
Manhattan,Gramercy,725693,107,725693
Brooklyn,Clinton Hill,12982,49,12982
Brooklyn,Bushwick North,5487,36,5487
Queens,Elmhurst/Maspeth,4003,83,4003
Queens,Kew Gardens Hills,482,135,482
Bronx,Soundview/Bruckner,393,212,393
Brooklyn,Bensonhurst East,163,21,163
Staten Island,Freshkills Park,4,99,4
Manhattan,Flatiron,571936,90,571936
Brooklyn,Boerum Hill,33302,25,33302
Brooklyn,Greenpoint,20338,112,20338
Staten Island,Great Kills,19,109,19
Queens,Old Astoria,20379,179,20379
Queens,South Jamaica,1957,215,1957
Queens,Richmond Hill,1080,197,1080
Brooklyn,Brighton Beach,172,29,172
Manhattan,Seaport,59260,209,59260
Queens,East Elmhurst,4803,70,4803
Brooklyn,Kensington,1533,133,1533
Brooklyn,East New York,875,76,875
Brooklyn,Cypress Hills,634,63,634
Manhattan,Marble Hill,345,153,345
Queens,Queens Village,221,191,221
Brooklyn,Dyker Heights,207,67,207
Staten Island,Stapleton,39,221,39
Queens,Sunnyside,55171,226,55171
Queens,Baisley Park,5888,10,5888
Bronx,Pelham Parkway,206,185,206
Brooklyn,Starrett City,63,222,63
Queens,Hammels/Arverne,34,117,34
Queens,Steinway,20377,223,20377
Queens,Woodside,18469,260,18469
Brooklyn,Red Hook,2066,195,2066
Brooklyn,Brownsville,376,35,376
Queens,Saint Albans,127,205,127
Queens,Cambria Heights,69,38,69
Bronx,Pelham Bay Park,18,184,18
Manhattan,Inwood,3319,127,3319
Queens,Rego Park,2460,196,2460
Bronx,Highbridge,1020,119,1020
Brooklyn,Homecrest,438,123,438
Bronx,Fordham South,201,94,201
Queens,Willets Point,68,253,68
Brooklyn,Bedford,9575,17,9575
Brooklyn,Flatlands,429,91,429
Bronx,East Tremont,373,78,373
Bronx,Parkchester,357,182,357
Queens,East Flushing,66,73,66
Bronx,Rikers Island,20,199,20
Staten Island,Oakwood,9,176,9
Unknown,NV,466259,264,466259
Queens,Astoria,56435,7,56435
Queens,Jamaica,2400,130,2400
Queens,Flushing,1490,92,1490
Queens,Maspeth,1398,157,1398
Queens,Woodhaven,409,258,409
Brooklyn,Erasmus,765,85,765
Queens,Bellerose,188,19,188
Bronx,Co-Op City,141,51,141
Bronx,Bronx Park,138,31,138
Queens,Rosedale,135,203,135
Bronx,Country Club,15,58,15
Bronx,Crotona Park,13,59,13
Bronx,Longwood,259,147,259
Bronx,Bronxdale,114,32,114
Bronx,Eastchester,93,81,93
Bronx,City Island,17,46,17
Bronx,Norwood,288,174,288
Queens,Bayside,130,16,130
Queens,Corona,959,56,959
Bronx,Belmont,205,20,205
Queens,Corona,116,57,116
