PUHour,avg(total_amount)
16,61.54131722749497
6,44.88974595006915
17,57.731421284180975
9,51.8637269778319
12,47.814225283496064
22,62.332834931276544
23,45.806091727270775
21,45.631542914877464
11,50.113287041501906
13,57.59326250124766
20,45.43198243298132
19,51.10175305449735
15,52.75994895253247
7,44.209556412621836
10,55.22398149966186
14,51.04000210709803
2,48.946048406671494
18,50.43290474448342
1,42.07626782121928
3,40.29159927636242
5,45.36726322727931
4,43.51011111888848
8,48.33747503838212
0,44.38049220860672
