PUHour,avg(Trip_distance)
16,16.538824752557595
6,14.158117448471927
17,16.075216767881237
9,16.27683146657333
22,15.819659606656582
13,15.887261597401512
20,15.724400447619864
19,15.676522520979622
23,15.756147204292065
21,15.776532646338373
11,15.844939496822484
18,16.155854182787373
12,15.64681263337602
1,14.748143216314372
3,13.080255301626515
15,16.68946894539392
4,12.631808042566256
7,14.633588245552836
10,15.27667458850454
14,16.83549909998364
2,13.850815062432405
0,15.524956004140796
5,13.30782158891275
8,15.08283667127072
