DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Bronx,Eastchester,805,81,805
Queens,Glen Oaks,803,101,803
Manhattan,Stuy Town/Peter Cooper Village,77178,224,77178
Queens,Bayside,2690,16,2690
Bronx,Longwood,2683,147,2683
Bronx,Riverdale/North Riverdale/Fieldston,4987,200,4987
Manhattan,Times Sq/Theatre District,290298,230,290298
Bronx,University Heights/Morris Heights,4157,235,4157
Brooklyn,Marine Park/Floyd Bennett Field,121,154,121
Manhattan,Greenwich Village South,198470,114,198470
Staten Island,Saint George/New Brighton,426,206,426
Brooklyn,Williamsburg (South Side),71558,256,71558
Manhattan,Washington Heights South,64133,244,64133
Manhattan,Washington Heights North,40388,243,40388
Brooklyn,Prospect-Lefferts Gardens,18155,188,18155
Brooklyn,East Flatbush/Remsen Village,3048,72,3048
Staten Island,South Beach/Dongan Hills,377,214,377
Manhattan,Upper West Side South,232673,239,232673
Manhattan,Upper East Side South,198124,237,198124
Queens,Saint Michaels Cemetery/Woodside,74,207,74
Manhattan,TriBeCa/Civic Center,197212,231,197212
Queens,Flushing Meadows-Corona Park,1208,93,1208
Staten Island,New Dorp/Midland Beach,260,172,260
Manhattan,Little Italy/NoLiTa,153946,144,153946
Manhattan,Lincoln Square West,131200,143,131200
Staten Island,Arrochar/Fort Wadsworth,411,6,411
Queens,Springfield Gardens South,3234,219,3234
Queens,Springfield Gardens North,2134,218,2134
Manhattan,Central Harlem North,80086,42,80086
Manhattan,Morningside Heights,76110,166,76110
Brooklyn,East Flatbush/Farragut,3251,71,3251
Bronx,Williamsbridge/Olinville,1899,254,1899
Manhattan,Lenox Hill West,263920,141,263920
Brooklyn,Crown Heights North,46958,61,46958
Queens,Bay Terrace/Fort Totten,1240,15,1240
Staten Island,Rossville/Woodrow,145,204,145
Manhattan,Yorkville East,142199,262,142199
Brooklyn,DUMBO/Vinegar Hill,20143,66,20143
Bronx,West Farms/Bronx River,2949,248,2949
Manhattan,Midtown South,257148,164,257148
Brooklyn,East Williamsburg,53352,80,53352
Brooklyn,South Williamsburg,4338,217,4338
Staten Island,Mariners Harbor,224,156,224
Manhattan,West Village,294460,249,294460
Manhattan,Midtown East,228462,162,228462
Manhattan,Manhattanville,29838,152,29838
Manhattan,Roosevelt Island,9158,202,9158
Bronx,Van Nest/Morris Park,1782,242,1782
Brooklyn,Green-Wood Cemetery,297,111,297
Manhattan,Murray Hill,372792,170,372792
Manhattan,East Chelsea,316610,68,316610
Manhattan,Clinton West,152564,50,152564
Manhattan,Alphabet City,103136,4,103136
Manhattan,Central Harlem,96931,41,96931
Brooklyn,Carroll Gardens,23667,40,23667
Brooklyn,Sunset Park East,5976,227,5976
Bronx,Kingsbridge Heights,2602,136,2602
Staten Island,West Brighton,252,245,252
Queens,Jackson Heights,38330,129,38330
Brooklyn,Bushwick North,28984,36,28984
Brooklyn,Bensonhurst West,4255,22,4255
Bronx,Soundview/Bruckner,3383,212,3383
Brooklyn,Bensonhurst East,2600,21,2600
Manhattan,Inwood Hill Park,670,128,670
Staten Island,Great Kills Park,1,110,1
Manhattan,Central Park,66945,43,66945
Manhattan,Bloomingdale,46052,24,46052
Queens,South Ozone Park,5952,216,5952
Bronx,Claremont/Bathgate,1786,47,1786
Manhattan,Highbridge Park,882,120,882
Staten Island,Arden Heights,143,5,143
Manhattan,Kips Bay,207807,137,207807
Queens,Elmhurst/Maspeth,9569,83,9569
Brooklyn,Brighton Beach,1506,29,1506
Bronx,Crotona Park East,1463,60,1463
Brooklyn,Manhattan Beach,887,150,887
Bronx,Van Cortlandt Park,575,240,575
Manhattan,Flatiron,213953,90,213953
Brooklyn,Greenpoint,62892,112,62892
Brooklyn,Cobble Hill,15122,52,15122
Brooklyn,Dyker Heights,3586,67,3586
Brooklyn,Cypress Hills,2092,63,2092
Queens,Queens Village,1604,191,1604
Queens,Old Astoria,33784,179,33784
Queens,JFK Airport,33725,132,33725
Queens,Forest Hills,24066,95,24066
Bronx,West Concourse,6816,247,6816
Queens,Hammels/Arverne,749,117,749
Manhattan,Seaport,39628,209,39628
Queens,North Corona,7122,173,7122
Queens,East Elmhurst,5867,70,5867
Brooklyn,Ocean Hill,5160,177,5160
Brooklyn,Brownsville,2796,35,2796
Queens,College Point,1550,53,1550
Queens,East Flushing,1041,73,1041
Staten Island,Oakwood,126,176,126
Queens,Sunnyside,54824,226,54824
Manhattan,Inwood,18259,127,18259
Queens,Ridgewood,16263,198,16263
Brooklyn,Gowanus,12343,106,12343
Brooklyn,Homecrest,2049,123,2049
Bronx,Fordham South,1954,94,1954
Brooklyn,Bath Beach,1649,11,1649
Brooklyn,Gravesend,1095,108,1095
Queens,Rockaway Park,816,201,816
Brooklyn,Bedford,42287,17,42287
Brooklyn,Red Hook,6466,195,6466
Bronx,Bedford Park,3570,18,3570
Bronx,Parkchester,2834,182,2834
Bronx,Hunts Point,2446,126,2446
Queens,Whitestone,2199,252,2199
Bronx,East Tremont,1994,78,1994
Queens,Ozone Park,1386,180,1386
Queens,Astoria,112342,7,112342
Manhattan,SoHo,98940,211,98940
Queens,Elmhurst,20552,82,20552
Queens,Rego Park,7790,196,7790
Bronx,Mount Hope,4293,169,4293
Queens,Woodhaven,3848,258,3848
Brooklyn,Canarsie,3117,39,3117
Brooklyn,Midwood,2991,165,2991
Bronx,Pelham Bay,1183,183,1183
Queens,Far Rockaway,548,86,548
Queens,Willets Point,58,253,58
Bronx,Co-Op City,1545,51,1545
Queens,Rosedale,1255,203,1255
Bronx,Country Club,452,58,452
Queens,Astoria Park,362,8,362
Unknown,NV,175321,264,175321
Queens,Maspeth,8093,157,8093
Queens,Flushing,6441,92,6441
Queens,Jamaica,3699,130,3699
Queens,Laurelton,951,139,951
Bronx,Norwood,2425,174,2425
Queens,Bellerose,985,19,985
Bronx,Bronx Park,494,31,494
Bronx,Rikers Island,2,199,2
Unknown,NA,43300,265,43300
Queens,Corona,1034,57,1034
Queens,Jamaica Bay,5,2,5
