DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Queens,Flushing Meadows-Corona Park,6681,93,6681
Staten Island,New Dorp/Midland Beach,282,172,282
Manhattan,UN/Turtle Bay South,399765,233,399765
Manhattan,Morningside Heights,213332,166,213332
Manhattan,World Trade Center,149375,261,149375
Queens,Queensbridge/Ravenswood,18484,193,18484
Bronx,Spuyten Duyvil/Kingsbridge,9458,220,9458
Queens,Springfield Gardens South,5502,219,5502
Brooklyn,Marine Park/Mill Basin,2945,155,2945
Manhattan,Garment District,430190,100,430190
Manhattan,East Harlem South,315765,75,315765
Manhattan,Battery Park City,272041,13,272041
Manhattan,Manhattan Valley,224718,151,224718
Bronx,Mott Haven/Port Morris,20145,168,20145
Bronx,Williamsbridge/Olinville,2285,254,2285
Manhattan,Lower East Side,318430,148,318430
Brooklyn,Crown Heights North,45517,61,45517
Brooklyn,Crown Heights South,11651,62,11651
Queens,Briarwood/Jamaica Hills,6359,28,6359
Queens,Bay Terrace/Fort Totten,2309,15,2309
Queens,Forest Park/Highland Park,500,96,500
Manhattan,Yorkville West,501188,263,501188
Manhattan,Yorkville East,346873,262,346873
Queens,LaGuardia Airport,339193,138,339193
Manhattan,Hamilton Heights,73364,116,73364
Bronx,West Farms/Bronx River,2875,248,2875
Brooklyn,Ocean Parkway South,1980,178,1980
Manhattan,Midtown North,686151,163,686151
Manhattan,Midtown South,607270,164,607270
Brooklyn,East Williamsburg,49756,80,49756
Brooklyn,Sunset Park West,17766,228,17766
Bronx,Allerton/Pelham Gardens,1360,3,1360
Manhattan,West Village,467507,249,467507
Brooklyn,Brooklyn Heights,83634,33,83634
Manhattan,Manhattanville,45866,152,45866
Brooklyn,Windsor Terrace,13746,257,13746
Brooklyn,Brooklyn Navy Yard,3789,34,3789
Bronx,Van Nest/Morris Park,2533,242,2533
Manhattan,Inwood Hill Park,1659,128,1659
Manhattan,Murray Hill,886460,170,886460
Manhattan,East Chelsea,630497,68,630497
Queens,South Ozone Park,10231,216,10231
Brooklyn,Sunset Park East,6263,227,6263
Queens,Murray Hill-Queens,3821,171,3821
Manhattan,Highbridge Park,1029,120,1029
Staten Island,West Brighton,263,245,263
Staten Island,Port Richmond,156,187,156
Brooklyn,Bushwick South,38016,37,38016
Brooklyn,Bushwick North,23374,36,23374
Queens,Elmhurst/Maspeth,11823,83,11823
Queens,Kew Gardens Hills,5605,135,5605
Queens,Hillcrest/Pomonok,3815,121,3815
Bronx,Woodlawn/Wakefield,2684,259,2684
Staten Island,Freshkills Park,16,99,16
Manhattan,Hudson Sq,154764,125,154764
Manhattan,Bloomingdale,89479,24,89479
Brooklyn,Columbia Street,8081,54,8081
Bronx,Claremont/Bathgate,1970,47,1970
Staten Island,Westerleigh,339,251,339
Staten Island,Great Kills,241,109,241
Manhattan,Union Sq,780803,234,780803
Manhattan,Kips Bay,384327,137,384327
Queens,JFK Airport,254157,132,254157
Brooklyn,Clinton Hill,50161,49,50161
Brooklyn,Prospect Park,5025,190,5025
Queens,Jamaica Estates,3439,131,3439
Brooklyn,Brighton Beach,2425,29,2425
Queens,Queensboro Hill,2103,192,2103
Queens,Oakland Gardens,2079,175,2079
Bronx,Van Cortlandt Park,827,240,827
Brooklyn,Park Slope,95563,181,95563
Brooklyn,Greenpoint,68853,112,68853
Queens,Middle Village,7944,160,7944
Brooklyn,East New York,5638,76,5638
Brooklyn,Dyker Heights,4058,67,4058
Queens,Queens Village,2737,191,2737
Staten Island,Stapleton,573,221,573
Manhattan,Chinatown,81092,45,81092
Queens,Old Astoria,39383,179,39383
Queens,Forest Hills,31843,95,31843
Queens,Baisley Park,10619,10,10619
Queens,South Jamaica,2526,215,2526
Brooklyn,Bay Ridge,20383,14,20383
Brooklyn,Red Hook,13680,195,13680
Queens,Saint Albans,3257,205,3257
Queens,Fresh Meadows,3161,98,3161
Queens,College Point,2935,53,2935
Queens,East Flushing,1551,73,1551
Bronx,Pelham Bay Park,188,184,188
EWR,Newark Airport,56057,1,56057
Manhattan,Inwood,19589,127,19589
Brooklyn,Homecrest,3530,123,3530
Brooklyn,Bath Beach,2028,11,2028
Bronx,Fordham South,1899,94,1899
Queens,Far Rockaway,1335,86,1335
Queens,Rockaway Park,974,201,974
Queens,Willets Point,204,253,204
Queens,Woodside,32395,260,32395
Brooklyn,Flatlands,4009,91,4009
Queens,Whitestone,3664,252,3664
Bronx,Bedford Park,3479,18,3479
Bronx,Hunts Point,3151,126,3151
Queens,Astoria,124208,7,124208
Queens,Elmhurst,23636,82,23636
Brooklyn,Midwood,4995,165,4995
Brooklyn,Canarsie,4414,39,4414
Bronx,Mount Hope,4393,169,4393
Brooklyn,Madison,2831,149,2831
Queens,Glen Oaks,1480,101,1480
Bronx,Pelham Bay,1135,183,1135
Bronx,Co-Op City,2049,51,2049
Bronx,Bronx Park,1470,31,1470
Bronx,Country Club,545,58,545
Bronx,Crotona Park,119,59,119
Queens,Broad Channel,99,30,99
Queens,Maspeth,9277,157,9277
Bronx,Bronxdale,1830,32,1830
Bronx,City Island,375,46,375
Bronx,Norwood,3112,174,3112
Queens,Hollis,1057,122,1057
Bronx,Rikers Island,5,199,5
Queens,Corona,7227,56,7227
Queens,Jamaica Bay,13,2,13
