PUHour,avg(CountPUL)
18,1012543.7142857143
19,997795.7142857143
20,919097.5714285715
17,888036.1428571428
22,867254.2857142857
14,863698.1428571428
15,849629.4285714285
13,825017.2857142857
12,819008.5714285715
11,776447.7142857143
23,726139.7142857143
4,161672.57142857142
8,741363.7142857143
7,604477.8571428572
0,548003.1428571428
6,366148.5714285714
2,288738.4285714286
5,166124.7142857143
21,909419.0
16,779957.0
10,743566.0
9,752202.0
1,398439.0
3,208788.0
