PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Queens,Bellerose,258,19,258
Bronx,Bedford Park,257,18,257
Bronx,Bronxdale,105,32,105
Brooklyn,Gravesend,105,108,105
Manhattan,Penn Station/Madison Sq West,985977,186,985977
Manhattan,Stuy Town/Peter Cooper Village,72389,224,72389
Queens,Long Island City/Hunters Point,33263,145,33263
Queens,Saint Michaels Cemetery/Woodside,1470,207,1470
Bronx,Riverdale/North Riverdale/Fieldston,193,200,193
Queens,Long Island City/Queens Plaza,29326,146,29326
Manhattan,Upper East Side North,1037420,236,1037420
Manhattan,Greenwich Village North,461556,113,461556
Manhattan,Greenwich Village South,397491,114,397491
Manhattan,Financial District North,219041,87,219041
Manhattan,Financial District South,110541,88,110541
Brooklyn,Downtown Brooklyn/MetroTech,39179,65,39179
Bronx,East Concourse/Concourse Village,1039,69,1039
Brooklyn,Williamsburg (South Side),25021,256,25021
Brooklyn,Marine Park/Floyd Bennett Field,57,154,57
Manhattan,Two Bridges/Seward Park,51431,232,51431
Manhattan,TriBeCa/Civic Center,500467,231,500467
Queens,Flushing Meadows-Corona Park,4659,93,4659
Manhattan,Morningside Heights,137682,166,137682
Queens,Queensbridge/Ravenswood,13131,193,13131
Bronx,Schuylerville/Edgewater Park,170,208,170
Manhattan,Battery Park City,256491,13,256491
Manhattan,East Harlem South,177141,75,177141
Queens,Springfield Gardens North,318,218,318
Manhattan,Lenox Hill West,633895,141,633895
Manhattan,Lower East Side,410839,148,410839
Brooklyn,Marine Park/Mill Basin,206,155,206
Staten Island,Grymes Hill/Clifton,16,115,16
Queens,LaGuardia Airport,812796,138,812796
Manhattan,Yorkville East,329445,262,329445
Manhattan,East Harlem North,95778,74,95778
Brooklyn,DUMBO/Vinegar Hill,13811,66,13811
Bronx,Mott Haven/Port Morris,5167,168,5167
Bronx,Williamsbridge/Olinville,240,254,240
Manhattan,Midtown South,677894,164,677894
Brooklyn,Stuyvesant Heights,2439,225,2439
Queens,Forest Park/Highland Park,73,96,73
Manhattan,West Village,575448,249,575448
Manhattan,Roosevelt Island,1325,202,1325
Brooklyn,Ocean Parkway South,346,178,346
Manhattan,Murray Hill,879812,170,879812
Manhattan,East Village,789041,79,789041
Manhattan,Central Park,393575,43,393575
Manhattan,Clinton West,268429,50,268429
Manhattan,Randalls Island,1613,194,1613
Bronx,Soundview/Castle Hill,312,213,312
Bronx,Van Cortlandt Village,210,241,210
Queens,Bay Terrace/Fort Totten,81,15,81
Staten Island,Mariners Harbor,20,156,20
Brooklyn,Brooklyn Navy Yard,865,34,865
Bronx,Van Nest/Morris Park,254,242,254
Manhattan,Inwood Hill Park,144,128,144
Brooklyn,Green-Wood Cemetery,52,111,52
Staten Island,Great Kills Park,1,110,1
Manhattan,Battery Park,13243,12,13243
Brooklyn,Columbia Street,1355,54,1355
Bronx,Kingsbridge Heights,261,136,261
Bronx,Allerton/Pelham Gardens,75,3,75
Staten Island,Port Richmond,11,187,11
Manhattan,Union Sq,908267,234,908267
Queens,JFK Airport,683126,132,683126
Brooklyn,Bushwick North,3217,36,3217
Queens,Elmhurst/Maspeth,3206,83,3206
Queens,Kew Gardens Hills,489,135,489
Bronx,Morrisania/Melrose,454,167,454
Queens,Hillcrest/Pomonok,222,121,222
