PUWeekday,avg(acount)
Wednesday,2391933.8571428573
Thursday,2438553.5714285714
Saturday,2411184.8571428573
Friday,2483952.4285714286
Monday,2085259.5714285714
Tuesday,2260618.0
Sunday,2142066.0
