DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Brooklyn,East Flatbush/Remsen Village,4558,72,4558
Manhattan,Upper East Side North,867503,236,867503
Manhattan,Upper West Side North,484418,238,484418
Queens,Flushing Meadows-Corona Park,6970,93,6970
Bronx,Schuylerville/Edgewater Park,3738,208,3738
Manhattan,Lincoln Square East,650150,142,650150
Manhattan,Little Italy/NoLiTa,269217,144,269217
Manhattan,World Trade Center,146438,261,146438
Queens,Queensbridge/Ravenswood,19476,193,19476
Bronx,Spuyten Duyvil/Kingsbridge,9799,220,9799
Queens,Springfield Gardens South,6291,219,6291
Staten Island,Grymes Hill/Clifton,360,115,360
Staten Island,Charleston/Tottenville,92,44,92
Manhattan,Garment District,431430,100,431430
Manhattan,Battery Park City,281254,13,281254
Manhattan,East Harlem North,209952,74,209952
Brooklyn,Flatbush/Ditmas Park,22944,89,22944
Bronx,Williamsbridge/Olinville,2608,254,2608
Manhattan,Lenox Hill West,594634,141,594634
Manhattan,Lenox Hill East,455506,140,455506
Manhattan,Lower East Side,308002,148,308002
Brooklyn,Crown Heights North,48270,61,48270
Brooklyn,Crown Heights South,12423,62,12423
Manhattan,Yorkville East,303678,262,303678
Brooklyn,DUMBO/Vinegar Hill,41657,66,41657
Bronx,West Farms/Bronx River,3099,248,3099
Manhattan,Central Harlem,164838,41,164838
Brooklyn,Prospect Heights,28626,189,28626
Bronx,Soundview/Castle Hill,4213,213,4213
Bronx,Allerton/Pelham Gardens,1659,3,1659
Staten Island,Mariners Harbor,253,156,253
Manhattan,West Village,436114,249,436114
Brooklyn,Brooklyn Heights,78748,33,78748
Brooklyn,Green-Wood Cemetery,330,111,330
Manhattan,Clinton East,744300,48,744300
Manhattan,East Village,640560,79,640560
Manhattan,East Chelsea,594648,68,594648
Brooklyn,Sunset Park East,6493,227,6493
Manhattan,Randalls Island,4439,194,4439
Staten Island,Port Richmond,135,187,135
Queens,Jackson Heights,50531,129,50531
Brooklyn,Bushwick South,40296,37,40296
Queens,Kew Gardens Hills,6039,135,6039
Brooklyn,Bensonhurst West,4891,22,4891
Queens,Hillcrest/Pomonok,4033,121,4033
Bronx,Soundview/Bruckner,3646,212,3646
Brooklyn,Bensonhurst East,3300,21,3300
Bronx,Woodlawn/Wakefield,3227,259,3227
Brooklyn,Manhattan Beach,1486,150,1486
Staten Island,Great Kills Park,1,110,1
Manhattan,Hudson Sq,147330,125,147330
Manhattan,Bloomingdale,80704,24,80704
Bronx,Claremont/Bathgate,2400,47,2400
Staten Island,Westerleigh,392,251,392
Staten Island,Great Kills,246,109,246
Manhattan,Union Sq,749391,234,749391
Manhattan,Kips Bay,384025,137,384025
Bronx,West Concourse,14207,247,14207
Queens,Jamaica Estates,4004,131,4004
