PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),payment_type
Queens,Queensbridge/Ravenswood,24311,193,24311,1
Manhattan,Alphabet City,466,4,466,4
Brooklyn,Brighton Beach,462,29,462,2
Bronx,Hunts Point,459,126,459,1
Brooklyn,Coney Island,454,55,454,1
Brooklyn,Dyker Heights,453,67,453,1
Bronx,Soundview/Bruckner,452,212,452,1
Queens,Hillcrest/Pomonok,383,121,383,1
Brooklyn,Flatbush/Ditmas Park,382,89,382,3
Brooklyn,DUMBO/Vinegar Hill,381,66,381,3
Manhattan,Stuy Town/Peter Cooper Village,372,224,372,4
Queens,Jamaica Estates,369,131,369,1
Bronx,Bronxdale,143,32,143,1
Brooklyn,Green-Wood Cemetery,142,111,142,1
Queens,Willets Point,142,253,142,2
Brooklyn,East New York,140,76,140,3
Queens,Willets Point,139,253,139,1
Manhattan,Battery Park,139,12,139,4
Brooklyn,Sunset Park West,246,228,246,3
Manhattan,Manhattanville,241,152,241,4
Queens,Forest Hills,240,95,240,3
Brooklyn,Bushwick North,240,36,240,3
Queens,Steinway,240,223,240,4
Queens,Fresh Meadows,238,98,238,1
Queens,Far Rockaway,59,86,59,2
Queens,South Ozone Park,59,216,59,4
Bronx,Soundview/Bruckner,57,212,57,3
Queens,Jamaica Bay,57,2,57,1
Staten Island,South Beach/Dongan Hills,57,214,57,2
Queens,Woodhaven,57,258,57,3
Brooklyn,Bushwick South,14159,37,14159,2
Bronx,Mott Haven/Port Morris,14156,168,14156,2
Manhattan,Union Sq,14137,234,14137,3
Manhattan,Garment District,14068,100,14068,3
Manhattan,Midtown North,14051,163,14051,3
Queens,Flushing,3419,92,3419,2
Queens,Briarwood/Jamaica Hills,3298,28,3298,2
Bronx,East Concourse/Concourse Village,3190,69,3190,2
Brooklyn,Prospect Park,3148,190,3148,1
Manhattan,Lenox Hill West,3086,141,3086,4
Manhattan,Financial District South,746,88,746,4
Brooklyn,East Williamsburg,742,80,742,3
Brooklyn,Ocean Parkway South,741,178,741,2
Bronx,Morrisania/Melrose,736,167,736,1
Bronx,Soundview/Castle Hill,733,213,733,2
Queens,Jackson Heights,19539,129,19539,1
Brooklyn,Cobble Hill,18709,52,18709,2
Manhattan,Midtown Center,18356,161,18356,3
Brooklyn,Clinton Hill,18038,49,18038,2
Manhattan,Upper East Side South,17525,237,17525,3
Manhattan,East Chelsea,14026,68,14026,3
Manhattan,Midtown South,12842,164,12842,3
Brooklyn,Gowanus,12309,106,12309,1
Brooklyn,Crown Heights North,12225,61,12225,1
Manhattan,Lincoln Square East,12180,142,12180,3
Manhattan,Washington Heights North,11935,243,11935,1
Brooklyn,Prospect Heights,11752,189,11752,2
Unknown,NA,11423,265,11423,2
Brooklyn,Crown Heights North,11279,61,11279,2
Bronx,West Concourse,11023,247,11023,2
Manhattan,Yorkville East,4687,262,4687,3
Brooklyn,Flatbush/Ditmas Park,4681,89,4681,2
Brooklyn,South Williamsburg,4655,217,4655,1
Manhattan,East Harlem South,4600,75,4600,3
Manhattan,Murray Hill,4580,170,4580,4
Manhattan,East Harlem South,1493,75,1493,4
Brooklyn,Downtown Brooklyn/MetroTech,1488,65,1488,3
Manhattan,Lincoln Square West,1484,143,1484,4
Brooklyn,Erasmus,1445,85,1445,2
Brooklyn,East New York,1431,76,1431,2
Queens,Baisley Park,545,10,545,3
Bronx,Crotona Park East,540,60,540,2
Bronx,West Farms/Bronx River,540,248,540,2
Queens,Elmhurst,539,82,539,3
Brooklyn,Bushwick South,538,37,538,3
Brooklyn,Gowanus,538,106,538,3
Manhattan,Hudson Sq,828,125,828,4
Bronx,Westchester Village/Unionport,827,250,827,2
Queens,Astoria Park,823,8,823,1
Bronx,Van Nest/Morris Park,814,242,814,2
Queens,Long Island City/Hunters Point,805,145,805,4
Manhattan,Lenox Hill East,605658,140,605658,2
Manhattan,Central Park,599309,43,599309,2
Manhattan,Flatiron,586930,90,586930,2
Manhattan,TriBeCa/Civic Center,560535,231,560535,2
Unknown,NV,550168,264,550168,2
Queens,Jackson Heights,45280,129,45280,2
Brooklyn,Carroll Gardens,44222,40,44222,1
Brooklyn,Fort Greene,44163,97,44163,2
Queens,Woodside,43723,260,43723,2
Brooklyn,Williamsburg (North Side),43603,255,43603,2
Manhattan,Lincoln Square West,4423,143,4423,3
Manhattan,Battery Park City,4392,13,4392,3
Manhattan,World Trade Center,4370,261,4370,3
Manhattan,Midtown South,4290,164,4290,4
Brooklyn,Red Hook,4204,195,4204,1
Manhattan,West Chelsea/Hudson Yards,8706,246,8706,3
Queens,East Elmhurst,8422,70,8422,1
Queens,Baisley Park,8249,10,8249,2
Queens,East Elmhurst,8063,70,8063,2
Manhattan,Upper West Side North,7982,238,7982,3
Brooklyn,Williamsburg (South Side),332,256,332,4
Queens,East Elmhurst,327,70,327,3
Manhattan,Inwood Hill Park,327,128,327,2
Manhattan,Washington Heights North,326,243,326,3
Queens,Saint Albans,325,205,325,1
Manhattan,Greenwich Village North,2134,113,2134,4
Queens,Corona,2100,56,2100,2
Manhattan,Lenox Hill East,2064,140,2064,4
Queens,Richmond Hill,2029,197,2029,2
Queens,Queensbridge/Ravenswood,2025,193,2025,3
Unknown,NV,4833,264,4833,4
Queens,Saint Michaels Cemetery/Woodside,4831,207,4831,2
Manhattan,Randalls Island,4815,194,4815,1
Manhattan,Midtown North,4749,163,4749,4
Manhattan,Midtown East,4688,162,4688,4
Brooklyn,Columbia Street,1733,54,1733,2
Queens,Richmond Hill,1724,197,1724,1
Manhattan,Kips Bay,1708,137,1708,4
Bronx,East Concourse/Concourse Village,1703,69,1703,1
Brooklyn,East New York,1701,76,1701,1
Queens,East Flushing,157,73,157,2
Manhattan,Randalls Island,154,194,154,3
Brooklyn,Crown Heights South,152,62,152,3
Brooklyn,Crown Heights North,151,61,151,4
Queens,Forest Park/Highland Park,151,96,151,2
Queens,Rego Park,5085,196,5085,2
Queens,Jamaica,5027,130,5027,1
Queens,Flushing Meadows-Corona Park,4959,93,4959,2
Queens,South Ozone Park,4924,216,4924,1
Manhattan,Upper East Side North,4907,236,4907,4
Brooklyn,Williamsburg (South Side),43093,256,43093,2
Brooklyn,Boerum Hill,42964,25,42964,2
Unknown,NA,40421,265,40421,1
Brooklyn,East Williamsburg,39586,80,39586,1
Brooklyn,Greenpoint,38603,112,38603,1
Manhattan,Chinatown,1908,45,1908,3
Queens,Ridgewood,1883,198,1883,2
Manhattan,Two Bridges/Seward Park,1865,232,1865,3
Manhattan,Alphabet City,1861,4,1861,3
Manhattan,Central Harlem North,1855,42,1855,3
Brooklyn,Bath Beach,293,11,293,1
Queens,Murray Hill-Queens,293,171,293,1
Bronx,Pelham Parkway,292,185,292,1
Queens,College Point,291,53,291,1
Bronx,Co-Op City,291,51,291,2
Bronx,Bronx Park,290,31,290,2
Queens,Jamaica,3799,130,3799,2
Queens,Briarwood/Jamaica Hills,3751,28,3751,1
Manhattan,East Harlem North,3742,74,3742,3
Manhattan,Upper West Side South,3594,239,3594,4
Queens,Rego Park,3555,196,3555,1
Manhattan,Meatpacking/West Village West,1816,158,1816,4
Queens,Ridgewood,1810,198,1810,1
Queens,Corona,1784,56,1784,1
Bronx,Melrose South,1784,159,1784,1
Manhattan,UN/Turtle Bay South,1775,233,1775,4
Queens,South Ozone Park,305,216,305,3
Bronx,Co-Op City,305,51,305,1
Brooklyn,East New York/Pennsylvania Avenue,300,77,300,2
Queens,Queensbridge/Ravenswood,299,193,299,4
Queens,Flushing,296,92,296,3
Brooklyn,Manhattan Beach,211,150,211,1
Bronx,Fordham South,206,94,206,1
Queens,Briarwood/Jamaica Hills,205,28,205,3
Queens,Oakland Gardens,204,175,204,1
Staten Island,Mariners Harbor,203,156,203,1
Manhattan,Lincoln Square East,4170,142,4170,4
Brooklyn,Columbia Street,4072,54,4072,1
Queens,Elmhurst/Maspeth,4008,83,4008,1
Bronx,Melrose South,3959,159,3959,2
Manhattan,Union Sq,3918,234,3918,4
Queens,North Corona,2897,173,2897,2
Brooklyn,Kensington,2879,133,2879,1
Manhattan,West Village,2868,249,2868,4
Manhattan,Gramercy,2786,107,2786,4
Manhattan,Upper West Side North,2778,238,2778,4
Brooklyn,Brooklyn Navy Yard,32,34,32,3
Bronx,Crotona Park East,32,60,32,3
Brooklyn,Coney Island,32,55,32,3
Bronx,Longwood,32,147,32,3
Bronx,Bedford Park,32,18,32,3
Bronx,Mount Hope,32,169,32,4
Brooklyn,Williamsburg (North Side),1091,255,1091,3
Queens,Woodside,1082,260,1082,3
Manhattan,Manhattanville,1074,152,1074,3
Queens,North Corona,1067,173,1067,1
Queens,Steinway,1002,223,1002,3
Bronx,Longwood,315,147,315,1
Bronx,Schuylerville/Edgewater Park,314,208,314,1
Queens,Bellerose,314,19,314,1
Brooklyn,Bensonhurst East,310,21,310,2
Bronx,Williamsbridge/Olinville,308,254,308,1
Manhattan,World Trade Center,1301,261,1301,4
Brooklyn,Ocean Hill,1297,177,1297,2
Manhattan,Seaport,1289,209,1289,3
Manhattan,Battery Park City,1285,13,1285,4
Bronx,Mount Hope,1267,169,1267,2
Queens,East Elmhurst,83,70,83,4
Brooklyn,Cobble Hill,82,52,82,4
Bronx,Pelham Bay,80,183,80,1
Queens,North Corona,79,173,79,3
Brooklyn,Windsor Terrace,79,257,79,3
Bronx,Mount Hope,79,169,79,3
Brooklyn,South Williamsburg,5578,217,5578,2
Manhattan,Midtown Center,5515,161,5515,4
Manhattan,Kips Bay,5493,137,5493,3
Manhattan,Inwood,5443,127,5443,1
Queens,South Jamaica,5241,215,5241,1
Queens,Sunnyside,3914,226,3914,3
Unknown,NA,3904,265,3904,3
Manhattan,Manhattan Valley,3891,151,3891,3
Manhattan,East Chelsea,3870,68,3870,4
Queens,Springfield Gardens South,3862,219,3862,1
Brooklyn,Clinton Hill,24038,49,24038,1
Brooklyn,Greenpoint,23728,112,23728,2
Brooklyn,East Williamsburg,23453,80,23453,2
Queens,Woodside,23206,260,23206,1
Queens,Elmhurst,22559,82,22559,2
Queens,Kew Gardens,2774,134,2774,2
Manhattan,Roosevelt Island,2756,202,2756,1
Manhattan,Central Harlem,2681,41,2681,3
Brooklyn,Boerum Hill,2637,25,2637,3
Manhattan,Flatiron,2624,90,2624,4
Queens,Middle Village,912,160,912,2
Manhattan,Morningside Heights,909,166,909,4
Queens,Kew Gardens Hills,905,135,905,1
Manhattan,Central Harlem,894,41,894,4
Brooklyn,Midwood,893,165,893,2
Brooklyn,Bensonhurst West,687,22,687,1
Bronx,Van Cortlandt Village,682,241,682,2
Bronx,Mount Hope,682,169,682,1
Brooklyn,Sunset Park East,670,227,670,2
Manhattan,Marble Hill,664,153,664,2
Unknown,NV,17240,264,17240,3
Brooklyn,Bushwick South,17159,37,17159,1
Queens,Baisley Park,16396,10,16396,1
Manhattan,East Village,15469,79,15469,3
Manhattan,Murray Hill,15462,170,15462,3
Brooklyn,Bedford,565,17,565,3
Bronx,Van Nest/Morris Park,563,242,563,1
Queens,Springfield Gardens North,563,218,563,1
Brooklyn,Brownsville,561,35,561,2
Brooklyn,Clinton Hill,553,49,553,3
Brooklyn,Ocean Hill,1221,177,1221,1
Brooklyn,Brooklyn Navy Yard,1212,34,1212,2
EWR,Newark Airport,1209,1,1209,2
Brooklyn,Cypress Hills,1203,63,1203,1
Brooklyn,Fort Greene,1181,97,1181,3
Queens,Glendale,506,102,506,2
Bronx,Fordham South,504,94,504,2
Queens,Bellerose,502,19,502,2
Brooklyn,East Flatbush/Farragut,495,71,495,2
Manhattan,Two Bridges/Seward Park,491,232,491,4
Queens,Hillcrest/Pomonok,29,121,29,3
Staten Island,Saint George/New Brighton,29,206,29,2
Bronx,Country Club,28,58,28,1
Queens,Murray Hill-Queens,27,171,27,3
Brooklyn,Madison,27,149,27,3
Brooklyn,Cobble Hill,271,52,271,3
Bronx,Belmont,268,20,268,1
Brooklyn,Sheepshead Bay,268,210,268,2
Bronx,Mott Haven/Port Morris,265,168,265,4
Bronx,West Farms/Bronx River,264,248,264,1
Bronx,Eastchester,197,81,197,1
Queens,Springfield Gardens South,197,219,197,3
Brooklyn,Kensington,197,133,197,3
Queens,Saint Albans,196,205,196,2
Bronx,Van Cortlandt Park,196,240,196,2
EWR,Newark Airport,105,1,105,4
Queens,Maspeth,105,157,105,3
Staten Island,Grymes Hill/Clifton,104,115,104,2
Brooklyn,Carroll Gardens,103,40,103,4
Queens,Elmhurst/Maspeth,101,83,101,4
Queens,Flushing,54,92,54,4
Bronx,Parkchester,54,182,54,3
Brooklyn,Columbia Street,53,54,53,3
Bronx,Claremont/Bathgate,53,47,53,3
Staten Island,Heartland Village/Todt Hill,53,118,53,2
Brooklyn,Bensonhurst East,344,21,344,1
Brooklyn,Fort Greene,341,97,341,4
Queens,Whitestone,337,252,337,2
Bronx,Claremont/Bathgate,335,47,335,1
Bronx,Woodlawn/Wakefield,333,259,333,2
Brooklyn,Stuyvesant Heights,324,225,324,3
Brooklyn,Boerum Hill,324,25,324,4
Manhattan,Hamilton Heights,318,116,318,4
Brooklyn,Greenpoint,317,112,317,4
Queens,Bayside,317,16,317,1
Staten Island,Grymes Hill/Clifton,15,115,15,3
Queens,Queens Village,15,191,15,4
Bronx,Soundview/Castle Hill,15,213,15,4
Staten Island,Eltingville/Annadale/Prince's Bay,15,84,15,2
Brooklyn,Ocean Hill,114,177,114,3
Queens,Laurelton,113,139,113,2
Bronx,Van Cortlandt Park,112,240,112,1
Queens,Kew Gardens,111,134,111,3
Manhattan,Roosevelt Island,106,202,106,3
Bronx,Rikers Island,21,199,21,1
Brooklyn,Sheepshead Bay,21,210,21,3
Queens,Oakland Gardens,21,175,21,3
Queens,Saint Albans,21,205,21,3
Brooklyn,East Flatbush/Farragut,21,71,21,4
Manhattan,Morningside Heights,2573,166,2573,3
Queens,Maspeth,2569,157,2569,1
Brooklyn,Bay Ridge,2554,14,2554,2
Brooklyn,Bay Ridge,2510,14,2510,1
Queens,Maspeth,2508,157,2508,2
Brooklyn,Crown Heights North,593,61,593,3
Bronx,Soundview/Castle Hill,586,213,586,1
Manhattan,Chinatown,582,45,582,4
Queens,Woodhaven,569,258,569,1
Bronx,Norwood,567,174,567,2
Bronx,Pelham Parkway,393,185,393,2
Bronx,Norwood,393,174,393,1
Brooklyn,Brighton Beach,390,29,390,1
Brooklyn,Ocean Parkway South,388,178,388,1
Brooklyn,Bath Beach,385,11,385,2
Brooklyn,Canarsie,992,39,992,1
Brooklyn,Borough Park,986,26,986,1
Brooklyn,Erasmus,974,85,974,1
Brooklyn,Flatlands,947,91,947,1
Bronx,Spuyten Duyvil/Kingsbridge,936,220,936,1
Bronx,Claremont/Bathgate,887,47,887,2
Bronx,Kingsbridge Heights,881,136,881,2
Queens,Old Astoria,880,179,880,3
Unknown,NA,867,265,867,4
Bronx,Soundview/Bruckner,858,212,858,2
Staten Island,Stapleton,100,221,100,2
Queens,Corona,100,56,100,3
Staten Island,Arrochar/Fort Wadsworth,99,6,99,1
Queens,East Flushing,99,73,99,1
Bronx,Pelham Bay,98,183,98,2
Brooklyn,Flatlands,72,91,72,3
Brooklyn,Stuyvesant Heights,71,225,71,4
Queens,Auburndale,69,9,69,3
Brooklyn,Bensonhurst West,66,22,66,3
Staten Island,Westerleigh,66,251,66,2
Queens,Saint Michaels Cemetery/Woodside,363,207,363,3
Brooklyn,Park Slope,362,181,362,4
Brooklyn,Williamsburg (North Side),360,255,360,4
Brooklyn,Coney Island,358,55,358,2
Queens,Richmond Hill,145,197,145,3
Manhattan,Inwood,145,127,145,3
Queens,Douglaston,145,64,145,2
Bronx,Allerton/Pelham Gardens,145,3,145,2
Brooklyn,Canarsie,145,39,145,3
Brooklyn,Brighton Beach,41,29,41,3
Brooklyn,Bath Beach,40,11,40,3
Bronx,City Island,40,46,40,2
Queens,Springfield Gardens North,39,218,39,3
Brooklyn,Bay Ridge,39,14,39,4
Brooklyn,East Flatbush/Remsen Village,530,72,530,2
EWR,Newark Airport,526,1,526,3
Queens,Long Island City/Queens Plaza,520,146,520,4
Manhattan,Bloomingdale,516,24,516,4
Bronx,Parkchester,706,182,706,2
Queens,Queensboro Hill,702,192,702,2
Queens,Astoria,697,7,697,4
Bronx,East Tremont,695,78,695,2
Brooklyn,Sunset Park East,688,227,688,1
Brooklyn,Gravesend,251,108,251,2
Queens,Jamaica,250,130,250,3
Bronx,Woodlawn/Wakefield,250,259,250,1
Queens,Old Astoria,250,179,250,4
Queens,Fresh Meadows,248,98,248,2
Bronx,Bedford Park,774,18,774,2
Brooklyn,Midwood,767,165,767,1
Brooklyn,Brooklyn Heights,760,33,760,3
Queens,Howard Beach,754,124,754,1
Queens,Sunnyside,754,226,754,4
Queens,Glen Oaks,223,101,223,1
Queens,Douglaston,221,64,221,1
Brooklyn,Starrett City,220,222,220,1
Brooklyn,East Williamsburg,217,80,217,4
Queens,Corona,212,57,212,1
Queens,South Jamaica,193,215,193,3
Bronx,Eastchester,189,81,189,2
Queens,Glen Oaks,186,101,186,2
Queens,Auburndale,180,9,180,1
Brooklyn,Brooklyn Heights,179,33,179,4
Queens,Astoria Park,23,8,23,3
Queens,Corona,23,56,23,4
Bronx,Morrisania/Melrose,23,167,23,4
Manhattan,Marble Hill,23,153,23,3
Staten Island,West Brighton,23,245,23,2
Queens,Ozone Park,451,180,451,1
Queens,Astoria Park,449,8,449,2
Bronx,Belmont,448,20,448,2
Brooklyn,Carroll Gardens,441,40,441,3
Queens,Queens Village,441,191,441,2
Brooklyn,Brownsville,729,35,729,1
Bronx,Hunts Point,724,126,724,2
Brooklyn,Canarsie,715,39,715,2
Brooklyn,Flatlands,714,91,714,2
Brooklyn,Homecrest,713,123,713,2
Bronx,Crotona Park East,261,60,261,1
Queens,Corona,259,57,259,2
Bronx,West Concourse,256,247,256,3
Queens,Rosedale,254,203,254,2
Queens,Bayside,253,16,253,2
Bronx,Parkchester,419,182,419,1
Queens,Howard Beach,419,124,419,2
Brooklyn,Downtown Brooklyn/MetroTech,418,65,418,4
Brooklyn,Prospect Heights,413,189,413,3
Brooklyn,Kensington,49,133,49,4
Queens,Queens Village,49,191,49,3
Queens,Springfield Gardens South,49,219,49,4
Brooklyn,East Flatbush/Farragut,49,71,49,3
Queens,Bay Terrace/Fort Totten,138,15,138,1
Staten Island,Mariners Harbor,133,156,133,2
Bronx,Melrose South,131,159,131,3
Queens,Auburndale,130,9,130,2
Brooklyn,Bedford,150,17,150,4
Queens,Forest Park/Highland Park,149,96,149,1
Queens,Hammels/Arverne,148,117,148,1
Queens,Oakland Gardens,148,175,148,2
Queens,East Flushing,13,73,13,3
Brooklyn,Columbia Street,13,54,13,4
Brooklyn,Brownsville,13,35,13,4
Staten Island,Charleston/Tottenville,13,44,13,1
Queens,Bay Terrace/Fort Totten,116,15,116,2
Brooklyn,Green-Wood Cemetery,115,111,115,2
Queens,Hollis,115,122,115,1
Brooklyn,Gowanus,115,106,115,4
Brooklyn,Erasmus,75,85,75,3
Brooklyn,Brownsville,74,35,74,3
Queens,Hammels/Arverne,74,117,74,2
Staten Island,Bloomfield/Emerson Hill,74,23,74,2
Queens,Glendale,402,102,402,1
Bronx,Bedford Park,400,18,400,1
Bronx,Kingsbridge Heights,399,136,399,1
Queens,Jamaica Estates,397,131,397,2
Bronx,Westchester Village/Unionport,44,250,44,3
Bronx,East Concourse/Concourse Village,43,69,43,4
Brooklyn,South Williamsburg,43,217,43,4
Queens,Far Rockaway,90,86,90,1
Brooklyn,Prospect Heights,89,189,89,4
Brooklyn,Midwood,89,165,89,3
Brooklyn,DUMBO/Vinegar Hill,89,66,89,4
Brooklyn,Canarsie,18,39,18,4
Queens,Broad Channel,18,30,18,2
Bronx,Soundview/Bruckner,18,212,18,4
Staten Island,Arden Heights,18,5,18,1
Queens,Rosedale,282,203,282,1
Brooklyn,Borough Park,277,26,277,3
Bronx,Bronxdale,274,32,274,2
Bronx,Bronx Park,273,31,273,1
Queens,South Jamaica,45,215,45,4
Brooklyn,East Flatbush/Remsen Village,45,72,45,3
Bronx,East Tremont,45,78,45,3
Queens,Glen Oaks,31,101,31,3
Queens,Rosedale,31,203,31,3
Bronx,Riverdale/North Riverdale/Fieldston,31,200,31,3
Brooklyn,Coney Island,11,55,11,4
Queens,Willets Point,11,253,11,3
Bronx,Spuyten Duyvil/Kingsbridge,11,220,11,4
Bronx,Melrose South,34,159,34,4
Brooklyn,Dyker Heights,34,67,34,3
Queens,Bayside,34,16,34,3
Bronx,Hunts Point,55,126,55,3
Queens,Howard Beach,55,124,55,3
Queens,Jamaica,55,130,55,4
Bronx,University Heights/Morris Heights,19,235,19,4
