PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),payment_type
Staten Island,Saint George/New Brighton,46,206,46,1
Bronx,Van Nest/Morris Park,46,242,46,3
Brooklyn,Sunset Park East,46,227,46,3
Manhattan,Inwood,46,127,46,4
Brooklyn,East New York/Pennsylvania Avenue,46,77,46,3
Bronx,West Farms/Bronx River,12,248,12,4
Brooklyn,Ocean Parkway South,12,178,12,4
Queens,Forest Park/Highland Park,12,96,12,3
Brooklyn,Cypress Hills,12,63,12,4
Brooklyn,Manhattan Beach,12,150,12,3
Staten Island,Port Richmond,12,187,12,2
Brooklyn,Windsor Terrace,12,257,12,4
Queens,Douglaston,12,64,12,3
Brooklyn,Flatlands,12,91,12,4
Manhattan,Sutton Place/Turtle Bay North,1420058,229,1420058,1
Manhattan,Penn Station/Madison Sq West,1411953,186,1411953,2
Manhattan,Garment District,1355961,100,1355961,1
Manhattan,Yorkville West,1354090,263,1354090,1
Manhattan,Greenwich Village North,1329686,113,1329686,1
Manhattan,Clinton East,1326041,48,1326041,2
Bronx,East Concourse/Concourse Village,128,69,128,3
Staten Island,Westerleigh,121,251,121,1
Brooklyn,Marine Park/Floyd Bennett Field,119,154,119,2
Brooklyn,Bushwick South,118,37,118,4
Queens,Baisley Park,118,10,118,4
Brooklyn,Bay Ridge,117,14,117,3
Bronx,University Heights/Morris Heights,117,235,117,3
Staten Island,South Beach/Dongan Hills,33,214,33,1
Bronx,Pelham Bay Park,33,184,33,2
Queens,Queensboro Hill,33,192,33,3
Staten Island,New Dorp/Midland Beach,33,172,33,1
Queens,Kew Gardens,33,134,33,4
Brooklyn,East New York,33,76,33,4
Manhattan,Governor's Island/Ellis Island/Liberty Island,33,105,33,2
Staten Island,Bloomfield/Emerson Hill,16,23,16,3
Bronx,Norwood,16,174,16,4
Brooklyn,Prospect Park,16,190,16,4
Queens,College Point,16,53,16,4
Queens,Broad Channel,16,30,16,1
Bronx,Crotona Park,16,59,16,1
Staten Island,Great Kills,16,109,16,2
Queens,Far Rockaway,16,86,16,3
Queens,Glen Oaks,16,101,16,4
Bronx,Belmont,26,20,26,3
Bronx,Eastchester,26,81,26,3
Queens,Glendale,25,102,25,3
Staten Island,West Brighton,25,245,25,1
Bronx,Fordham South,25,94,25,3
Staten Island,Oakwood,25,176,25,1
Bronx,Woodlawn/Wakefield,25,259,25,3
Bronx,City Island,25,46,25,1
Bronx,Westchester Village/Unionport,25,250,25,4
Queens,Hammels/Arverne,10,117,10,3
Bronx,Allerton/Pelham Gardens,10,3,10,3
Staten Island,Arden Heights,10,5,10,2
Queens,Bay Terrace/Fort Totten,10,15,10,3
Queens,Whitestone,10,252,10,4
Bronx,Pelham Bay Park,10,184,10,3
Bronx,Williamsbridge/Olinville,10,254,10,4
Brooklyn,Brooklyn Navy Yard,10,34,10,4
Brooklyn,Erasmus,22,85,22,4
Queens,Breezy Point/Fort Tilden/Riis Beach,22,27,22,1
Staten Island,New Dorp/Midland Beach,22,172,22,2
Bronx,Co-Op City,22,51,22,3
Bronx,Crotona Park,22,59,22,2
Manhattan,Highbridge Park,22,120,22,3
Staten Island,Great Kills,22,109,22,1
Bronx,Country Club,22,58,22,2
Manhattan,Battery Park City,807712,13,807712,1
Manhattan,Gramercy,717110,107,717110,2
Manhattan,Clinton West,702300,50,702300,1
Manhattan,Sutton Place/Turtle Bay North,697234,229,697234,2
Manhattan,Financial District North,673895,87,673895,1
Manhattan,Upper West Side North,673629,238,673629,2
Manhattan,Upper East Side South,2865046,237,2865046,1
Manhattan,Midtown Center,2814533,161,2814533,1
Manhattan,Union Sq,2716387,234,2716387,1
Manhattan,Upper East Side North,2694283,236,2694283,1
Manhattan,Midtown East,2686309,162,2686309,1
Manhattan,Murray Hill,2560516,170,2560516,1
Queens,Kew Gardens Hills,17,135,17,4
Brooklyn,East New York/Pennsylvania Avenue,17,77,17,4
Bronx,Claremont/Bathgate,17,47,17,4
Bronx,Van Cortlandt Park,17,240,17,3
Bronx,Highbridge,17,119,17,4
Bronx,Parkchester,17,182,17,4
Queens,Woodhaven,17,258,17,4
Brooklyn,Gravesend,17,108,17,3
Manhattan,Manhattan Valley,338785,151,338785,2
Manhattan,East Harlem South,322820,75,322820,2
Manhattan,Financial District South,314318,88,314318,1
Manhattan,SoHo,289975,211,289975,2
Manhattan,World Trade Center,258376,261,258376,2
Manhattan,Battery Park City,255009,13,255009,2
Queens,Murray Hill-Queens,412,171,412,2
Queens,Queensboro Hill,410,192,410,1
Bronx,East Tremont,408,78,408,1
Queens,Ozone Park,408,180,408,2
Brooklyn,East New York/Pennsylvania Avenue,404,77,404,1
Bronx,Schuylerville/Edgewater Park,403,208,403,2
Queens,Whitestone,403,252,403,1
Queens,North Corona,24,173,24,4
Brooklyn,Red Hook,24,195,24,4
Brooklyn,Ocean Hill,24,177,24,4
Staten Island,Port Richmond,24,187,24,1
Queens,Middle Village,24,160,24,4
Queens,Fresh Meadows,24,98,24,3
Queens,Ridgewood,24,198,24,4
Brooklyn,Marine Park/Mill Basin,24,155,24,3
Manhattan,Hamilton Heights,1178,116,1178,3
Manhattan,East Harlem North,1176,74,1176,4
Brooklyn,Williamsburg (South Side),1175,256,1175,3
Manhattan,Washington Heights South,1106,244,1106,3
Queens,Jackson Heights,1102,129,1102,3
Queens,Kew Gardens Hills,1098,135,1098,2
Bronx,Riverdale/North Riverdale/Fieldston,356,200,356,2
Staten Island,Arrochar/Fort Wadsworth,352,6,352,2
Manhattan,Highbridge Park,349,120,349,2
Manhattan,Seaport,348,209,348,4
Queens,Queens Village,347,191,347,1
Manhattan,Washington Heights South,346,244,346,4
Queens,Astoria,83964,7,83964,1
Manhattan,Central Harlem North,83656,42,83656,1
Brooklyn,Park Slope,83611,181,83611,1
Brooklyn,Williamsburg (South Side),77040,256,77040,1
Manhattan,Two Bridges/Seward Park,75887,232,75887,2
Brooklyn,Boerum Hill,74280,25,74280,1
Brooklyn,Prospect-Lefferts Gardens,5826,188,5826,1
Brooklyn,Sunset Park West,5745,228,5745,2
Manhattan,Upper East Side South,5738,237,5738,4
Manhattan,Central Park,5723,43,5723,3
Brooklyn,Stuyvesant Heights,5721,225,5721,1
Manhattan,Inwood,5594,127,5594,2
Brooklyn,East Flatbush/Farragut,660,71,660,1
Brooklyn,Homecrest,652,123,652,1
Bronx,University Heights/Morris Heights,643,235,643,1
Bronx,Longwood,625,147,625,2
Brooklyn,East Flatbush/Remsen Village,606,72,606,1
Manhattan,Central Harlem North,595,42,595,4
Brooklyn,Sheepshead Bay,8,210,8,4
Staten Island,Stapleton,8,221,8,3
Queens,Murray Hill-Queens,8,171,8,4
Bronx,East Tremont,8,78,8,4
Brooklyn,Sunset Park East,8,227,8,4
Queens,Astoria Park,8,8,8,4
Queens,Jamaica Estates,8,131,8,4
Queens,Laurelton,8,139,8,3
Queens,Saint Michaels Cemetery/Woodside,52,207,52,4
Bronx,West Farms/Bronx River,52,248,52,3
Bronx,Kingsbridge Heights,51,136,51,3
Queens,Richmond Hill,51,197,51,4
Bronx,Norwood,50,174,50,3
Brooklyn,Cypress Hills,50,63,50,3
Queens,Forest Hills,50,95,50,4
Manhattan,Penn Station/Madison Sq West,2533711,186,2533711,1
Manhattan,East Village,2409978,79,2409978,1
Queens,LaGuardia Airport,2372795,138,2372795,1
Manhattan,Times Sq/Theatre District,2282430,230,2282430,1
Manhattan,Clinton East,2214621,48,2214621,1
Queens,Long Island City/Queens Plaza,60839,146,60839,1
Queens,Long Island City/Hunters Point,60285,145,60285,1
Queens,Long Island City/Queens Plaza,59270,146,59270,2
Manhattan,Manhattanville,58556,152,58556,1
Manhattan,Hamilton Heights,57201,116,57201,2
Manhattan,Upper East Side North,1309742,236,1309742,2
Manhattan,Lenox Hill East,1272440,140,1272440,1
Manhattan,Lower East Side,1204131,148,1204131,1
Manhattan,West Chelsea/Hudson Yards,1172809,246,1172809,1
Manhattan,Midtown East,1157391,162,1157391,2
Brooklyn,Bushwick North,65,36,65,4
Bronx,Spuyten Duyvil/Kingsbridge,63,220,63,3
Queens,Rockaway Park,61,201,61,1
Queens,Kew Gardens Hills,61,135,61,3
Brooklyn,Sunset Park West,61,228,61,4
Queens,Middle Village,60,160,60,3
Brooklyn,Homecrest,60,123,60,3
Manhattan,Times Sq/Theatre District,1530882,230,1530882,2
Manhattan,Flatiron,1520914,90,1520914,1
Manhattan,TriBeCa/Civic Center,1486798,231,1486798,1
Manhattan,Midtown Center,1435546,161,1435546,2
Manhattan,Upper West Side North,1427094,238,1427094,1
Manhattan,Little Italy/NoLiTa,394134,144,394134,2
Manhattan,Clinton West,376537,50,376537,2
Manhattan,Morningside Heights,374657,166,374657,1
Manhattan,Lincoln Square West,367031,143,367031,2
Manhattan,Meatpacking/West Village West,351644,158,351644,2
Manhattan,Greenwich Village North,535123,113,535123,2
Manhattan,Hudson Sq,504137,125,504137,1
Manhattan,Lower East Side,463926,148,463926,2
Manhattan,Greenwich Village South,446999,114,446999,2
Manhattan,West Chelsea/Hudson Yards,444741,246,444741,2
Manhattan,East Harlem North,225683,74,225683,2
Manhattan,Central Harlem,221170,41,221170,1
Manhattan,Stuy Town/Peter Cooper Village,220207,224,220207,1
Manhattan,Financial District North,211665,87,211665,2
Manhattan,Bloomingdale,208252,24,208252,1
Brooklyn,Flatbush/Ditmas Park,4543,89,4543,1
Manhattan,Garment District,4538,100,4538,4
Manhattan,Financial District North,4518,87,4518,3
Manhattan,East Village,4517,79,4517,4
Manhattan,SoHo,4509,211,4509,3
Queens,LaGuardia Airport,4433,138,4433,4
Brooklyn,Bedford,15347,17,15347,2
Brooklyn,DUMBO/Vinegar Hill,15267,66,15267,2
Queens,LaGuardia Airport,15096,138,15096,3
Manhattan,Midtown East,15096,162,15096,3
Brooklyn,Bedford,14967,17,14967,1
Manhattan,Upper East Side North,14698,236,14698,3
Brooklyn,Kensington,2366,133,2366,2
Bronx,Highbridge,2313,119,2313,2
Brooklyn,Crown Heights South,2307,62,2307,1
Manhattan,Yorkville West,2282,263,2282,4
Brooklyn,Brooklyn Navy Yard,2279,34,2279,1
Manhattan,Greenwich Village South,2191,114,2191,4
Brooklyn,Madison,367,149,367,1
Queens,Flushing Meadows-Corona Park,367,93,367,3
Bronx,Westchester Village/Unionport,367,250,367,1
Manhattan,Inwood Hill Park,366,128,366,1
