DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Bronx,East Concourse/Concourse Village,46191,69,46191
Queens,Saint Michaels Cemetery/Woodside,6565,207,6565
Queens,Breezy Point/Fort Tilden/Riis Beach,972,27,972
Manhattan,Washington Heights South,408753,244,408753
Brooklyn,Williamsburg (North Side),349649,255,349649
Brooklyn,Williamsburg (South Side),316690,256,316690
Staten Island,South Beach/Dongan Hills,2109,214,2109
Manhattan,Upper East Side South,3908206,237,3908206
Manhattan,Financial District North,951327,87,951327
Manhattan,Two Bridges/Seward Park,540543,232,540543
Manhattan,TriBeCa/Civic Center,1950931,231,1950931
Brooklyn,Prospect-Lefferts Gardens,84707,188,84707
Queens,Flushing Meadows-Corona Park,20645,93,20645
Bronx,Schuylerville/Edgewater Park,14420,208,14420
Staten Island,Bloomfield/Emerson Hill,2657,23,2657
Staten Island,New Dorp/Midland Beach,1345,172,1345
Manhattan,UN/Turtle Bay South,1646885,233,1646885
Manhattan,Lincoln Square West,1364135,143,1364135
Manhattan,Little Italy/NoLiTa,1114749,144,1114749
Staten Island,Arrochar/Fort Wadsworth,2246,6,2246
Queens,Springfield Gardens South,22521,219,22521
Queens,Springfield Gardens North,14530,218,14530
Brooklyn,Marine Park/Mill Basin,12676,155,12676
Manhattan,East Harlem South,1300090,75,1300090
Manhattan,Battery Park City,1122818,13,1122818
Brooklyn,East Flatbush/Farragut,17755,71,17755
Brooklyn,Crown Heights North,201310,61,201310
Brooklyn,Stuyvesant Heights,127419,225,127419
Manhattan,Yorkville West,2017085,263,2017085
Manhattan,Yorkville East,1389608,262,1389608
Manhattan,Manhattan Valley,901364,151,901364
Brooklyn,Flatbush/Ditmas Park,96569,89,96569
Bronx,Williamsbridge/Olinville,9978,254,9978
Manhattan,Midtown North,2737902,163,2737902
Manhattan,Midtown South,2431911,164,2431911
Brooklyn,East Williamsburg,218316,80,218316
Brooklyn,Prospect Heights,123413,189,123413
Brooklyn,Crown Heights South,51212,62,51212
Brooklyn,South Williamsburg,38747,217,38747
Bronx,Soundview/Castle Hill,15979,213,15979
Manhattan,West Village,1908822,249,1908822
Brooklyn,Brooklyn Navy Yard,15431,34,15431
Bronx,Van Nest/Morris Park,11255,242,11255
Brooklyn,Green-Wood Cemetery,1494,111,1494
Manhattan,Murray Hill,3618907,170,3618907
Manhattan,East Village,2754292,79,2754292
Manhattan,East Chelsea,2523207,68,2523207
Manhattan,Central Park,1323530,43,1323530
Manhattan,Central Harlem,707733,41,707733
Brooklyn,Sunset Park East,26972,227,26972
Bronx,Kingsbridge Heights,12864,136,12864
Queens,Jackson Heights,202498,129,202498
Brooklyn,Bushwick South,172146,37,172146
Brooklyn,Bensonhurst West,19941,22,19941
Bronx,Morrisania/Melrose,17594,167,17594
Brooklyn,Bensonhurst East,13102,21,13102
Bronx,Woodlawn/Wakefield,12525,259,12525
Manhattan,Inwood Hill Park,6808,128,6808
Brooklyn,Columbia Street,33603,54,33603
Staten Island,Westerleigh,1771,251,1771
Staten Island,Great Kills,1070,109,1070
Manhattan,Union Sq,3171687,234,3171687
Brooklyn,Clinton Hill,215507,49,215507
Brooklyn,Brighton Beach,10341,29,10341
Staten Island,Great Kills Park,2,110,2
Manhattan,Hudson Sq,616647,125,616647
Manhattan,Battery Park,82459,12,82459
Queens,Middle Village,34079,160,34079
Brooklyn,East New York,25480,76,25480
Bronx,Claremont/Bathgate,9659,47,9659
Staten Island,Stapleton,2512,221,2512
Staten Island,Arden Heights,611,5,611
Manhattan,Chinatown,318443,45,318443
Bronx,West Concourse,50789,247,50789
Queens,Richmond Hill,25469,197,25469
Brooklyn,Borough Park,23734,26,23734
Queens,Queensboro Hill,9233,192,9233
Queens,Oakland Gardens,8889,175,8889
Brooklyn,Starrett City,3459,222,3459
Manhattan,Seaport,301480,209,301480
Brooklyn,Cobble Hill,96217,52,96217
Brooklyn,Kensington,34944,133,34944
Brooklyn,Brownsville,14361,35,14361
Queens,Saint Albans,13725,205,13725
Queens,Fresh Meadows,13678,98,13678
Queens,Howard Beach,11499,124,11499
Queens,Cambria Heights,7766,38,7766
Manhattan,Marble Hill,4964,153,4964
Queens,Baisley Park,42551,10,42551
Queens,Rockaway Park,4378,201,4378
Queens,Steinway,238998,223,238998
Brooklyn,Bedford,182639,17,182639
Queens,Woodside,139431,260,139431
Bronx,Bedford Park,16344,18,16344
Queens,Whitestone,15449,252,15449
Bronx,East Tremont,10352,78,10352
Queens,East Flushing,6764,73,6764
Staten Island,Oakwood,787,176,787
Manhattan,Inwood,86366,127,86366
Queens,Ridgewood,68936,198,68936
Brooklyn,Gowanus,62901,106,62901
Queens,Rego Park,42534,196,42534
Bronx,Highbridge,23994,119,23994
Bronx,Mount Hope,20643,169,20643
Queens,Woodhaven,20110,258,20110
Brooklyn,Madison,12029,149,12029
Bronx,Fordham South,8565,94,8565
Queens,Willets Point,788,253,788
Brooklyn,Erasmus,16777,85,16777
Queens,Glendale,15964,102,15964
Queens,Broad Channel,399,30,399
Queens,Astoria,529456,7,529456
Queens,Flushing,47744,92,47744
Queens,Jamaica,28346,130,28346
Bronx,Longwood,11983,147,11983
Queens,Douglaston,8688,64,8688
Queens,Glen Oaks,6251,101,6251
Bronx,Pelham Bay,5199,183,5199
Bronx,Co-Op City,9072,51,9072
Bronx,Bronx Park,5750,31,5750
Bronx,Crotona Park,643,59,643
Bronx,Rikers Island,27,199,27
Unknown,NA,276665,265,276665
Bronx,Bronxdale,7916,32,7916
Queens,Hollis,4428,122,4428
Queens,Corona,6137,57,6137
