PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Bronx,Longwood,297,147,297
Queens,Fresh Meadows,129,98,129
Bronx,Eastchester,126,81,126
Queens,Jamaica,2047,130,2047
EWR,Newark Airport,1989,1,1989
Queens,Glen Oaks,89,101,89
Queens,Cambria Heights,89,38,89
Manhattan,Sutton Place/Turtle Bay North,538361,229,538361
Manhattan,Penn Station/Madison Sq West,991302,186,991302
Manhattan,Stuy Town/Peter Cooper Village,82197,224,82197
Manhattan,West Chelsea/Hudson Yards,388532,246,388532
Queens,Saint Michaels Cemetery/Woodside,1320,207,1320
Queens,Long Island City/Queens Plaza,29644,146,29644
Manhattan,Upper East Side North,1051408,236,1051408
Manhattan,Greenwich Village North,481161,113,481161
Manhattan,Greenwich Village South,409325,114,409325
Manhattan,Financial District North,207890,87,207890
Manhattan,Financial District South,108037,88,108037
Brooklyn,Downtown Brooklyn/MetroTech,37686,65,37686
Bronx,East Concourse/Concourse Village,1286,69,1286
Staten Island,Heartland Village/Todt Hill,14,118,14
Brooklyn,Williamsburg (South Side),30488,256,30488
Manhattan,Washington Heights South,29182,244,29182
Brooklyn,Marine Park/Floyd Bennett Field,91,154,91
Manhattan,Two Bridges/Seward Park,54654,232,54654
Staten Island,Saint George/New Brighton,18,206,18
Queens,Flushing Meadows-Corona Park,2984,93,2984
Staten Island,South Beach/Dongan Hills,38,214,38
Manhattan,Lincoln Square East,843803,142,843803
Manhattan,Little Italy/NoLiTa,327064,144,327064
Manhattan,Morningside Heights,145289,166,145289
Bronx,Westchester Village/Unionport,316,250,316
Queens,Queensbridge/Ravenswood,13582,193,13582
Queens,Springfield Gardens South,1390,219,1390
Bronx,Schuylerville/Edgewater Park,165,208,165
Manhattan,Central Harlem North,44521,42,44521
Manhattan,Battery Park City,252216,13,252216
Manhattan,East Harlem South,184427,75,184427
Queens,Briarwood/Jamaica Hills,1727,28,1727
Manhattan,Yorkville East,341797,262,341797
Brooklyn,Flatbush/Ditmas Park,2471,89,2471
Manhattan,Midtown North,757414,163,757414
Manhattan,Midtown South,678829,164,678829
Brooklyn,Crown Heights North,6237,61,6237
Brooklyn,Crown Heights South,1262,62,1262
Queens,Forest Park/Highland Park,70,96,70
Manhattan,West Village,611322,249,611322
Manhattan,Roosevelt Island,1251,202,1251
Brooklyn,Ocean Parkway South,462,178,462
Manhattan,Murray Hill,887652,170,887652
Manhattan,East Chelsea,666974,68,666974
Manhattan,Central Park,377663,43,377663
Manhattan,Clinton West,250426,50,250426
Brooklyn,Carroll Gardens,16495,40,16495
Brooklyn,Prospect Heights,8649,189,8649
Manhattan,Randalls Island,1146,194,1146
Bronx,Soundview/Castle Hill,322,213,322
Bronx,Van Cortlandt Village,293,241,293
Staten Island,Rossville/Woodrow,6,204,6
Brooklyn,Brooklyn Navy Yard,767,34,767
Brooklyn,Green-Wood Cemetery,73,111,73
Manhattan,Bloomingdale,84296,24,84296
Manhattan,Battery Park,10453,12,10453
Bronx,Kingsbridge Heights,382,136,382
Queens,Murray Hill-Queens,163,171,163
Bronx,Allerton/Pelham Gardens,97,3,97
Manhattan,Union Sq,940970,234,940970
Queens,JFK Airport,610431,132,610431
Queens,Elmhurst/Maspeth,3727,83,3727
Brooklyn,Windsor Terrace,968,257,968
Bronx,Morrisania/Melrose,658,167,658
Bronx,Soundview/Bruckner,362,212,362
Brooklyn,Bensonhurst West,340,22,340
Queens,Hillcrest/Pomonok,218,121,218
Manhattan,Flatiron,530402,90,530402
Brooklyn,Park Slope,33239,181,33239
Brooklyn,Boerum Hill,29469,25,29469
Staten Island,Stapleton,195,221,195
Queens,Old Astoria,18149,179,18149
Queens,South Jamaica,1881,215,1881
Brooklyn,Brighton Beach,356,29,356
Queens,Queensboro Hill,257,192,257
Bronx,Crotona Park East,235,60,235
Queens,Jamaica Estates,196,131,196
Manhattan,Seaport,52694,209,52694
Queens,East Elmhurst,3583,70,3583
Bronx,Melrose South,1480,159,1480
Queens,North Corona,1143,173,1143
Brooklyn,East New York,804,76,804
Manhattan,Marble Hill,278,153,278
Queens,Queens Village,231,191,231
Queens,Baisley Park,5072,10,5072
Queens,Forest Hills,4171,95,4171
Brooklyn,Coney Island,247,55,247
Bronx,Pelham Parkway,198,185,198
Queens,Woodside,17639,260,17639
Queens,Steinway,16599,223,16599
Brooklyn,Brownsville,439,35,439
Queens,College Point,182,53,182
Queens,Saint Albans,135,205,135
